 (-0.002850+0.008175j)  (0.009919+0.007665j)  (-0.018744-0.031512j)  (0.024759+0.107893j)  (-0.024913+0.000362j)  (-0.012209+0.178369j)  (-0.008097+0.025305j)  (0.011102-0.073233j)  (-0.009452-0.021271j)  (0.057734-0.049498j)  (-0.009436+0.079495j)  (-0.000960+0.008488j)  (-0.016421-0.037417j)  (0.012795-0.002414j)  (-0.064547-0.048043j)  (-0.003251-0.015863j)  (0.011675+0.000814j)  (-0.007983-0.047389j)  (0.013040-0.003645j)  (0.015878+0.020777j)  (-0.037080+0.096626j)  (-0.936683+0.038072j)  (-0.024461+0.056361j)  (0.024366+0.003732j)  (-0.016952+0.014563j)  (0.027707+0.044466j)  (-0.050250-0.094733j)  (0.028922+0.019228j)  (-0.008740+0.054292j)  (-0.012064+0.015713j)  (0.025945+0.087604j)  (-0.020710+0.025201j)
 (-0.052189+0.078372j)  (-0.051853-0.082896j)  (0.012592-0.078857j)  (-0.004070-0.138914j)  (0.014673-0.000401j)  (0.014946+0.007740j)  (0.037768-0.037329j)  (-0.002087+0.000653j)  (0.021367-0.000931j)  (-0.003176-0.087599j)  (0.019269-0.058172j)  (0.002201-0.019044j)  (-0.028454+0.003794j)  (-0.000634-0.064035j)  (-0.046823+0.046637j)  (-0.001242-0.019774j)  (0.006274+0.000263j)  (0.021943+0.015498j)  (-0.011712+0.036048j)  (-0.003166-0.057315j)  (0.002449+0.027630j)  (0.017950+0.031213j)  (-0.950091+0.001988j)  (-0.036973-0.001233j)  (-0.020474+0.027100j)  (0.039178-0.002795j)  (-0.003808+0.058710j)  (0.012040+0.048360j)  (0.023767+0.073153j)  (-0.026306+0.014527j)  (0.014836+0.050155j)  (-0.004301-0.028142j)
 (-0.011447+0.006592j)  (0.038196+0.106699j)  (-0.033108-0.093386j)  (0.024261+0.008448j)  (-0.020053+0.004138j)  (-0.005783+0.014686j)  (0.009577-0.017629j)  (0.044715+0.034810j)  (-0.003183-0.000973j)  (-0.033497-0.036041j)  (0.017599+0.007269j)  (0.020563-0.010497j)  (-0.042842-0.089237j)  (0.035440+0.010831j)  (-0.023560+0.030581j)  (-0.005903-0.005385j)  (0.010656+0.007636j)  (-0.015341+0.014529j)  (0.009403-0.004511j)  (0.005740-0.000524j)  (-0.002048+0.027369j)  (-0.002432-0.000457j)  (0.042008+0.006231j)  (-0.964946-0.003469j)  (-0.058835+0.015122j)  (-0.004088-0.026650j)  (-0.002630-0.053225j)  (-0.026737+0.088763j)  (-0.011898+0.002406j)  (-0.028839-0.020437j)  (-0.002232+0.003453j)  (0.023059+0.062592j)
 (-0.036603-0.004630j)  (0.007679-0.005496j)  (-0.045238+0.099090j)  (0.010578+0.027089j)  (-0.018378-0.076892j)  (0.005609-0.007415j)  (-0.010654+0.001585j)  (-0.004411+0.014699j)  (-0.007118+0.020232j)  (0.016855+0.004181j)  (-0.006529-0.012227j)  (0.016923+0.054892j)  (-0.014126+0.086752j)  (-0.002061+0.070004j)  (0.006740+0.028930j)  (0.035193-0.082633j)  (-0.013421+0.028728j)  (-0.007197+0.000474j)  (0.024484-0.007118j)  (-0.004270+0.012477j)  (0.001774-0.013075j)  (0.012419-0.000945j)  (0.005049+0.028213j)  (0.045160+0.013630j)  (-0.962714-0.047881j)  (-0.007944-0.068820j)  (-0.046639+0.036803j)  (-0.024575-0.026732j)  (-0.000329+0.057688j)  (0.046763-0.017870j)  (0.018733+0.016249j)  (0.026695+0.046259j)
 (0.001762+0.000309j)  (-0.020696-0.074602j)  (0.016333+0.017691j)  (0.004875+0.041715j)  (0.000857-0.001929j)  (0.009571-0.006214j)  (-0.021089+0.028314j)  (-0.038394+0.062005j)  (0.077446-0.072186j)  (-0.004910-0.009535j)  (0.015997-0.029021j)  (-0.006790-0.005976j)  (0.002001+0.057940j)  (-0.030196+0.057567j)  (-0.026590+0.053740j)  (0.024709+0.093219j)  (-0.037859+0.013713j)  (-0.013496+0.013198j)  (0.002008-0.014071j)  (0.000060-0.108836j)  (0.056321-0.010973j)  (-0.034765+0.030459j)  (-0.031249-0.001418j)  (-0.016487-0.020192j)  (0.020177-0.059592j)  (-0.953263-0.024602j)  (-0.013620-0.059976j)  (-0.012357-0.063983j)  (0.023194+0.078709j)  (-0.027940-0.027128j)  (0.015443+0.019110j)  (0.004868-0.026128j)
 (0.008079+0.009698j)  (0.019803-0.068350j)  (0.018072-0.089592j)  (0.006820+0.016355j)  (-0.058162+0.077361j)  (0.003701-0.015526j)  (-0.000268+0.007381j)  (-0.007559+0.013811j)  (-0.008919-0.056065j)  (0.006944+0.014682j)  (0.015350-0.013037j)  (0.011541-0.014259j)  (0.005593-0.006845j)  (-0.002571-0.045916j)  (0.023992-0.043402j)  (0.004115+0.005713j)  (0.014064+0.007963j)  (-0.020387+0.005272j)  (-0.043519+0.059391j)  (0.000887-0.028795j)  (-0.001406-0.085487j)  (0.044266-0.097549j)  (0.012614+0.066822j)  (0.006497-0.050978j)  (0.028335+0.031515j)  (0.019789-0.065409j)  (-0.961701-0.027761j)  (-0.017328+0.013451j)  (-0.013880+0.001181j)  (-0.026196-0.025221j)  (0.000543+0.009048j)  (0.000794-0.007868j)
 (-0.004903+0.007917j)  (-0.002928-0.009113j)  (0.032023-0.019601j)  (0.001535-0.007364j)  (0.003782-0.058298j)  (-0.006158-0.002889j)  (-0.002511+0.015997j)  (-0.048259-0.112817j)  (0.034939+0.052736j)  (0.020048+0.004131j)  (-0.010274+0.006838j)  (0.010140-0.096620j)  (0.005718-0.018605j)  (0.007632-0.021196j)  (0.019694+0.006733j)  (0.034892+0.090824j)  (-0.004980-0.077547j)  (-0.001305-0.003708j)  (-0.003049+0.022568j)  (-0.009245-0.011612j)  (-0.006167-0.017900j)  (-0.024626+0.024806j)  (-0.002039+0.048446j)  (0.021197+0.090779j)  (0.015708-0.020794j)  (0.012614-0.053494j)  (0.016331+0.019780j)  (-0.962247+0.048600j)  (0.007970-0.007982j)  (0.014420-0.012704j)  (0.008838+0.043891j)  (0.005009-0.014162j)
 (0.023145-0.006525j)  (-0.006240-0.125069j)  (0.010836-0.014957j)  (0.008121+0.020675j)  (-0.047726+0.045840j)  (0.032300+0.040454j)  (-0.040318-0.067778j)  (-0.041403-0.041855j)  (0.010089-0.049593j)  (-0.009248+0.127017j)  (-0.022866-0.075067j)  (0.005094-0.035734j)  (-0.070547+0.057204j)  (-0.010433+0.008409j)  (0.021286-0.009060j)  (0.005357-0.008693j)  (-0.013943+0.035393j)  (-0.000946+0.003307j)  (0.019224+0.001329j)  (0.014351+0.055866j)  (0.010416-0.039868j)  (0.007820+0.059283j)  (-0.021083+0.072350j)  (-0.015337-0.016319j)  (-0.006477+0.051348j)  (-0.009949+0.080953j)  (0.035348+0.013017j)  (-0.007682-0.016128j)  (-0.944544-0.020435j)  (-0.037580-0.073527j)  (0.011819+0.013799j)  (0.014395-0.056890j)
 (0.012067-0.065782j)  (-0.028539+0.062251j)  (-0.016896+0.172663j)  (-0.016708-0.097194j)  (-0.098015-0.003349j)  (-0.003977-0.001050j)  (0.008270+0.012082j)  (0.030486+0.055579j)  (-0.022635+0.019786j)  (-0.003603+0.016056j)  (-0.015270+0.011921j)  (0.003649+0.009207j)  (0.005865+0.017490j)  (-0.030739+0.013499j)  (0.000785-0.005605j)  (-0.010096-0.024126j)  (0.003075+0.007840j)  (0.006947-0.020848j)  (0.011133-0.033967j)  (0.003576+0.031752j)  (0.028281-0.018999j)  (-0.012518+0.016564j)  (-0.000886+0.006313j)  (0.020779-0.014999j)  (-0.020480-0.033527j)  (0.018613-0.037221j)  (0.005425-0.013781j)  (-0.029311-0.011045j)  (0.027912-0.075254j)  (-0.957181-0.002360j)  (-0.017673+0.007566j)  (0.022930+0.012594j)
 (0.018121+0.135647j)  (-0.019352+0.012425j)  (0.017361-0.003990j)  (-0.023691-0.011044j)  (-0.006332+0.008344j)  (0.014640+0.052181j)  (0.010662+0.002186j)  (0.014423-0.072229j)  (0.014961+0.050152j)  (0.018791-0.016304j)  (0.013021-0.003248j)  (-0.040631+0.084911j)  (-0.003661+0.008623j)  (0.022959+0.028549j)  (0.039739+0.021626j)  (-0.011770+0.013788j)  (0.042718+0.038897j)  (0.005805-0.001958j)  (-0.005545+0.003400j)  (-0.001748-0.000888j)  (0.021297-0.065088j)  (-0.019361+0.089771j)  (-0.001638+0.042867j)  (0.003175+0.002828j)  (-0.014671+0.005952j)  (-0.022753+0.008893j)  (-0.008815+0.018952j)  (-0.002576+0.048048j)  (-0.005108+0.021049j)  (0.007959-0.004228j)  (-0.963828-0.053514j)  (-0.022125+0.008667j)
 (-0.028445+0.063130j)  (0.018670+0.015835j)  (-0.011959+0.081150j)  (-0.012013-0.034773j)  (-0.001597+0.076834j)  (-0.006378-0.002950j)  (-0.009648-0.012638j)  (-0.016081-0.009631j)  (-0.000333-0.005060j)  (-0.000442-0.001455j)  (-0.001627-0.003157j)  (-0.020169-0.097108j)  (-0.026575+0.006909j)  (-0.018665+0.011271j)  (0.027989-0.001008j)  (0.038165-0.005160j)  (-0.020055-0.020190j)  (-0.010137+0.019134j)  (0.007338-0.026355j)  (-0.019215-0.019309j)  (0.028330-0.021279j)  (0.006378+0.019838j)  (0.005725-0.039383j)  (-0.025582+0.045043j)  (-0.029004+0.050214j)  (-0.005394-0.028856j)  (-0.005720-0.007094j)  (0.004014-0.021423j)  (-0.009212-0.054845j)  (-0.007111+0.000781j)  (0.021653+0.021186j)  (-0.973605+0.033357j)
