 (-0.998692-0.001909j)  (-0.000150+0.000502j)  (0.001788-0.001453j)  (-0.000391-0.000929j)  (-0.000432-0.003138j)  (0.000029+0.002837j)  (-0.002261-0.001580j)  (0.000364+0.002790j)  (-0.001331-0.000676j)  (0.006052-0.001921j)  (-0.002798+0.003209j)  (-0.000115-0.000932j)  (-0.000077-0.000396j)  (-0.002762+0.000426j)  (-0.000107-0.003878j)  (0.001803-0.002491j)  (-0.001321-0.001752j)  (-0.000002-0.000811j)  (0.000605+0.002126j)  (0.001552-0.002531j)  (-0.000543-0.000440j)  (0.001805+0.002077j)  (-0.000420-0.000386j)  (-0.002233+0.001307j)  (0.000856-0.000661j)  (0.000382+0.001201j)  (0.001961-0.000794j)  (-0.000657+0.001622j)  (-0.001923-0.047882j)  (0.000603+0.011478j)  (0.001090+0.000948j)  (0.000591-0.000868j)
 (0.000318-0.001053j)  (-0.001221+0.001634j)  (0.005789+0.002345j)  (-0.002295+0.003857j)  (-0.001387+0.000826j)  (-0.004384+0.093114j)  (-0.005866+0.003739j)  (0.012231+0.006860j)  (0.000740-0.001495j)  (-0.001518-0.002668j)  (0.000608+0.001005j)  (-0.993240-0.008160j)  (-0.007122+0.007507j)  (0.000942+0.000841j)  (0.000206+0.001906j)  (-0.002799+0.000698j)  (-0.011029+0.008100j)  (0.022182-0.004153j)  (0.002225-0.001037j)  (-0.025187+0.053572j)  (0.001844+0.001404j)  (0.001040+0.001615j)  (0.000797-0.000194j)  (-0.000210-0.002159j)  (0.001767+0.001742j)  (-0.001497+0.000113j)  (0.000447+0.000994j)  (-0.002330+0.001521j)  (-0.001274-0.001289j)  (0.002206+0.001847j)  (-0.000568+0.001552j)  (-0.004003+0.001773j)
 (0.001481+0.001747j)  (0.005133-0.001722j)  (0.037416+0.033429j)  (0.000797-0.001157j)  (0.000704+0.000859j)  (-0.021314+0.005480j)  (0.007739-0.004947j)  (0.076672-0.083848j)  (0.049106-0.115865j)  (0.006216-0.002674j)  (-0.002608-0.001425j)  (-0.001554+0.005447j)  (-0.947052+0.005960j)  (0.046594-0.022175j)  (-0.004830-0.010488j)  (-0.007767+0.005774j)  (-0.008624-0.004740j)  (0.006772+0.008786j)  (0.008500+0.012898j)  (0.115831-0.128411j)  (0.002794+0.001550j)  (0.001303+0.000544j)  (0.003470-0.003122j)  (-0.003561+0.007395j)  (-0.003973+0.004716j)  (0.001214-0.002083j)  (-0.010502-0.014922j)  (0.013967+0.016001j)  (0.006922+0.007607j)  (-0.135720+0.135446j)  (0.004120+0.004876j)  (-0.002093+0.001220j)
 (0.002624+0.000755j)  (0.018300-0.127926j)  (0.003727-0.005215j)  (0.000872-0.025085j)  (-0.053956+0.132287j)  (-0.000294+0.001988j)  (0.006991-0.003549j)  (0.000043+0.005873j)  (-0.001259+0.002267j)  (-0.000025+0.000146j)  (-0.004172+0.006987j)  (-0.001202+0.000742j)  (-0.027628-0.026909j)  (-0.965497+0.002604j)  (0.016925-0.053919j)  (-0.003724+0.117015j)  (0.002424+0.006554j)  (-0.000412-0.000654j)  (-0.012509+0.000328j)  (0.006613-0.001014j)  (0.003927-0.002034j)  (-0.002285+0.003287j)  (-0.003699-0.001235j)  (0.002343+0.006811j)  (-0.007218+0.002879j)  (-0.003162+0.000835j)  (-0.024535-0.048090j)  (0.006625+0.005520j)  (-0.002912+0.008721j)  (-0.043811+0.076058j)  (0.000003-0.015536j)  (0.000272-0.003493j)
 (0.001812-0.002120j)  (0.052184-0.213850j)  (0.001783+0.000492j)  (0.006191-0.007065j)  (0.002023-0.003148j)  (0.004002+0.000905j)  (-0.000705+0.001373j)  (-0.003800-0.001532j)  (0.003042-0.000794j)  (-0.007743-0.000517j)  (0.033417+0.010466j)  (-0.001403+0.001275j)  (-0.001310-0.005179j)  (0.004353-0.048497j)  (-0.968616-0.000596j)  (-0.000725-0.008351j)  (0.002336-0.001268j)  (0.003348+0.001623j)  (-0.000492-0.001483j)  (0.010270-0.008031j)  (-0.002093+0.000568j)  (0.002682+0.004573j)  (0.001009-0.000208j)  (0.005820+0.008990j)  (-0.002615-0.001383j)  (0.000022+0.000347j)  (0.005253+0.009313j)  (-0.005321+0.001456j)  (0.033232-0.056452j)  (0.003066-0.067602j)  (0.002255+0.005619j)  (0.001309+0.001778j)
 (-0.001970-0.003098j)  (0.000102-0.006899j)  (-0.001007+0.000327j)  (-0.002527-0.002094j)  (0.004355+0.003512j)  (-0.011391+0.002055j)  (-0.000525-0.000062j)  (0.008392-0.104257j)  (-0.000074+0.000525j)  (-0.000906+0.000359j)  (0.001475-0.002455j)  (0.002621+0.000957j)  (0.011650-0.000016j)  (-0.000376+0.116344j)  (-0.003188-0.006505j)  (-0.986530-0.030012j)  (-0.012411-0.003658j)  (-0.000549-0.002988j)  (-0.002121-0.002762j)  (-0.005881-0.001110j)  (-0.000230+0.000391j)  (0.001211-0.000597j)  (0.001054-0.002267j)  (0.003943-0.005900j)  (0.000591-0.000432j)  (-0.000569+0.000147j)  (-0.009297+0.011208j)  (0.000269-0.003304j)  (0.000236+0.000011j)  (0.020628-0.000133j)  (-0.000673-0.001736j)  (-0.001426+0.000304j)
 (0.001050-0.001939j)  (-0.000363-0.002583j)  (0.000365-0.008126j)  (0.001267-0.002090j)  (-0.000086+0.001509j)  (-0.016866-0.120062j)  (0.011134+0.005089j)  (0.039667+0.062908j)  (-0.001067+0.001382j)  (-0.002281+0.001057j)  (-0.002240+0.000785j)  (0.000246+0.010299j)  (0.003908+0.005089j)  (-0.003534+0.005969j)  (-0.002776-0.002022j)  (0.006762+0.002628j)  (-0.979748+0.008104j)  (-0.022972-0.011004j)  (0.001582+0.001378j)  (-0.004448+0.002154j)  (0.002080-0.000925j)  (-0.000032-0.000648j)  (0.001233+0.003358j)  (-0.006221-0.001363j)  (-0.001429-0.003082j)  (0.050714-0.121242j)  (0.025414+0.023608j)  (-0.000377+0.004618j)  (-0.000749+0.000603j)  (0.005129+0.002846j)  (0.002721+0.000044j)  (-0.000128-0.000241j)
 (0.000582-0.000563j)  (0.001091-0.001856j)  (0.008998-0.001397j)  (0.002038+0.001292j)  (-0.002637+0.001312j)  (-0.023864+0.182430j)  (-0.027543-0.011278j)  (0.012546+0.020826j)  (-0.000244+0.001386j)  (0.001723-0.000347j)  (-0.000699+0.001593j)  (-0.004786-0.002490j)  (-0.005980+0.006113j)  (0.000056-0.001686j)  (-0.002872+0.003152j)  (-0.000688-0.003236j)  (0.002455-0.016666j)  (-0.975605-0.007433j)  (-0.000814-0.002065j)  (0.009023-0.004166j)  (-0.002258-0.000056j)  (-0.001799-0.002252j)  (-0.000060-0.001249j)  (-0.000115-0.000456j)  (0.000700+0.005291j)  (0.001079-0.003903j)  (0.002103+0.005327j)  (0.013011-0.109101j)  (0.002163-0.000658j)  (-0.000909+0.001327j)  (0.001153-0.002184j)  (0.000534-0.000091j)
 (0.000442+0.001507j)  (0.000719-0.000417j)  (0.007938-0.018425j)  (0.001303+0.000516j)  (-0.024042-0.086604j)  (0.002671+0.001822j)  (-0.001318+0.001486j)  (-0.002182-0.001327j)  (-0.024605-0.017765j)  (-0.000784+0.001473j)  (0.000004-0.002965j)  (-0.002017-0.001151j)  (-0.004568+0.001576j)  (0.004938+0.005580j)  (-0.002143-0.001372j)  (0.002618-0.003036j)  (-0.001973+0.001872j)  (0.000670-0.002552j)  (-0.993960+0.012350j)  (-0.001797-0.001330j)  (-0.019640-0.008727j)  (-0.012954-0.000906j)  (-0.001814-0.000001j)  (-0.000135+0.002417j)  (0.000129-0.002499j)  (-0.001475-0.000071j)  (0.000453-0.004481j)  (0.000160+0.004246j)  (-0.009337-0.004087j)  (0.010654+0.037576j)  (-0.001614+0.001379j)  (0.000808-0.002327j)
 (0.000650-0.001841j)  (0.023685-0.004692j)  (-0.001299-0.006328j)  (-0.001508+0.003811j)  (0.000491-0.001431j)  (0.002223-0.002800j)  (-0.004157-0.003912j)  (0.007252+0.007771j)  (0.003988+0.013321j)  (-0.062351-0.118170j)  (0.010127-0.005176j)  (0.023955+0.054311j)  (-0.113276-0.126976j)  (0.003459+0.003464j)  (-0.004282-0.005878j)  (0.003594-0.001270j)  (0.004262+0.002778j)  (-0.004139-0.002250j)  (0.001683+0.001443j)  (-0.970182-0.000719j)  (-0.001691+0.000509j)  (0.003557+0.005211j)  (0.004087-0.001600j)  (-0.001108+0.000848j)  (-0.001596-0.000219j)  (-0.000602+0.002824j)  (-0.003770+0.001279j)  (0.015486-0.045620j)  (0.020214-0.047230j)  (-0.043239+0.014650j)  (0.001024+0.002479j)  (0.000167-0.000696j)
 (0.000556-0.000284j)  (-0.001541-0.000070j)  (0.001254+0.002733j)  (0.002303+0.000306j)  (0.001085+0.001009j)  (-0.000222+0.001945j)  (0.000419-0.000211j)  (-0.003647-0.002556j)  (-0.003482-0.000516j)  (0.000107-0.000887j)  (0.000343-0.010204j)  (-0.001530+0.001255j)  (-0.001846+0.000849j)  (-0.005101-0.001914j)  (0.002364-0.000206j)  (0.000034+0.000632j)  (-0.002633-0.000321j)  (0.002118+0.000151j)  (0.019676-0.008914j)  (0.001983+0.000418j)  (-0.997108+0.000374j)  (-0.000238-0.001125j)  (-0.000123-0.000246j)  (-0.002094+0.000495j)  (-0.001282-0.000798j)  (0.001793+0.000617j)  (0.000671+0.000075j)  (-0.000297+0.002896j)  (0.000998+0.001269j)  (-0.002055+0.001824j)  (0.006585+0.070783j)  (0.000802+0.001991j)
 (0.001279+0.000678j)  (-0.003359+0.002632j)  (0.001063-0.000581j)  (0.000170+0.000857j)  (0.003471+0.001460j)  (-0.001999+0.001760j)  (0.003004+0.001236j)  (-0.001112-0.002235j)  (0.005949-0.005227j)  (-0.003230-0.004070j)  (0.006135-0.004335j)  (-0.000565+0.001755j)  (0.000241+0.001063j)  (0.001576+0.003113j)  (-0.001164-0.000433j)  (-0.000693-0.000894j)  (-0.000311-0.000506j)  (0.001874-0.002226j)  (0.013430+0.000308j)  (-0.000439+0.002123j)  (0.000434-0.000889j)  (-0.997176-0.005478j)  (-0.001847+0.004121j)  (-0.000740+0.000259j)  (-0.000266+0.001475j)  (0.001086+0.000737j)  (-0.001693+0.002867j)  (-0.001297+0.001314j)  (-0.032237-0.063623j)  (-0.006622+0.003679j)  (-0.000915-0.000342j)  (0.000650-0.001848j)
 (0.000342-0.000459j)  (0.003652+0.001741j)  (-0.000536-0.002863j)  (0.001602+0.001843j)  (-0.001658+0.000813j)  (0.000729+0.000473j)  (-0.001054+0.003925j)  (-0.003333+0.001144j)  (0.002133-0.001804j)  (-0.000018-0.001756j)  (0.000601-0.001420j)  (-0.000706-0.000067j)  (-0.004138-0.003779j)  (0.003406-0.000500j)  (-0.001071+0.000819j)  (-0.001205-0.003166j)  (-0.001304+0.003858j)  (0.000200-0.001515j)  (0.001804-0.000256j)  (-0.002932-0.001554j)  (0.000196-0.000135j)  (0.001839+0.004070j)  (-0.999895+0.001186j)  (-0.000087+0.000107j)  (-0.000917-0.000318j)  (-0.000270-0.000851j)  (-0.001493+0.001465j)  (-0.000335-0.001540j)  (-0.000367+0.001078j)  (0.000166-0.001594j)  (-0.001112+0.000997j)  (-0.001140-0.002104j)
 (0.002392+0.001385j)  (-0.035246-0.014730j)  (-0.002293-0.001579j)  (0.000763-0.000287j)  (-0.002293-0.003930j)  (0.000715+0.002682j)  (-0.041979+0.033706j)  (0.000571+0.002285j)  (-0.000355-0.000422j)  (-0.002178+0.001783j)  (0.000530+0.000510j)  (0.000837-0.002228j)  (0.002301+0.006575j)  (-0.004090+0.001731j)  (-0.004077+0.000961j)  (-0.003435-0.005846j)  (0.006356-0.000173j)  (0.002827-0.001510j)  (0.000500+0.002176j)  (-0.000070-0.000895j)  (0.001933-0.000207j)  (0.000816+0.000929j)  (0.000137+0.000170j)  (-0.997154+0.006285j)  (-0.006370+0.000678j)  (-0.000791+0.000126j)  (-0.004159+0.026567j)  (0.005274-0.009762j)  (0.004682-0.002688j)  (0.001560+0.001367j)  (0.009894-0.002786j)  (-0.000131+0.001158j)
 (-0.001332-0.000396j)  (-0.000901+0.002310j)  (0.001137+0.000102j)  (0.000176-0.001495j)  (-0.001153+0.001077j)  (-0.001319+0.002342j)  (0.029287+0.073381j)  (0.000611-0.005349j)  (0.000677+0.000140j)  (0.005616+0.006904j)  (-0.025998-0.072299j)  (-0.001658+0.001376j)  (0.005834+0.006242j)  (0.006708+0.005128j)  (-0.000158-0.003939j)  (0.000574-0.001421j)  (0.001948-0.003406j)  (-0.002154+0.001356j)  (0.000128-0.002516j)  (-0.001729-0.001995j)  (0.001828-0.000995j)  (0.000372+0.000851j)  (0.001174-0.000608j)  (0.007221-0.004456j)  (-0.993149+0.013683j)  (-0.000787-0.000018j)  (0.019882-0.004525j)  (-0.020796-0.000858j)  (-0.000575+0.004468j)  (-0.004124+0.003645j)  (-0.001021-0.002096j)  (-0.002011-0.001006j)
 (-0.000094+0.001236j)  (-0.000847-0.001143j)  (0.001390-0.001019j)  (-0.000580+0.000096j)  (0.001136+0.000747j)  (0.000909-0.005080j)  (0.002152-0.001428j)  (0.005330+0.001031j)  (0.000920-0.000833j)  (-0.002445+0.000920j)  (-0.001366+0.000949j)  (0.000723+0.001649j)  (-0.000110-0.000428j)  (0.002244-0.000241j)  (0.000388-0.000161j)  (0.001712+0.001876j)  (-0.049269-0.122505j)  (0.000214-0.005343j)  (0.001205+0.000347j)  (0.000440+0.001967j)  (-0.001747+0.000858j)  (-0.000764+0.000713j)  (-0.000113-0.000510j)  (0.000732-0.000512j)  (0.000796-0.000436j)  (-0.990907-0.016022j)  (-0.009041+0.012636j)  (-0.001718-0.001321j)  (-0.001370-0.001949j)  (-0.000732-0.001291j)  (0.000638-0.001080j)  (0.001609-0.003941j)
 (-0.002615-0.000715j)  (-0.004452-0.000838j)  (0.000252+0.003774j)  (-0.000572-0.002761j)  (0.000355+0.001766j)  (0.004178+0.008234j)  (-0.008253+0.166311j)  (-0.000840-0.012096j)  (-0.000435+0.001034j)  (-0.001376+0.003663j)  (-0.005338+0.001135j)  (0.001127-0.000981j)  (0.016661-0.003976j)  (0.025203-0.042083j)  (-0.001138+0.005380j)  (0.004434+0.006838j)  (-0.027797+0.026806j)  (-0.002323-0.004324j)  (-0.002196-0.003090j)  (0.003118+0.002794j)  (-0.000533+0.000430j)  (0.002190+0.003199j)  (0.002308+0.001199j)  (0.009635+0.019123j)  (-0.006787+0.000799j)  (0.006772+0.008045j)  (-0.980694-0.005486j)  (-0.030249-0.011904j)  (-0.005305-0.000637j)  (-0.057115-0.028549j)  (0.000240+0.001453j)  (-0.000782+0.001061j)
 (0.001306+0.001820j)  (-0.001652-0.001004j)  (-0.003221-0.002907j)  (-0.000855+0.001552j)  (-0.000046-0.001413j)  (0.010674+0.003366j)  (-0.092818-0.120430j)  (-0.000418+0.006301j)  (0.000109-0.000008j)  (-0.003306-0.003540j)  (0.003891-0.000826j)  (0.000928+0.000995j)  (-0.010463+0.007623j)  (-0.006805+0.004446j)  (0.005067-0.000501j)  (-0.000335-0.002230j)  (0.000657+0.008050j)  (-0.007492-0.109977j)  (0.000463+0.004819j)  (-0.012898-0.047829j)  (0.000286+0.002180j)  (0.000909+0.001109j)  (0.000254-0.001058j)  (-0.004900-0.001827j)  (0.008929+0.003261j)  (0.001114-0.002138j)  (0.010576+0.004083j)  (-0.980456-0.001259j)  (0.003569+0.000775j)  (-0.007766+0.005542j)  (0.004415+0.000164j)  (0.002125-0.000653j)
 (0.001621-0.048471j)  (-0.004941+0.000037j)  (-0.001360+0.003004j)  (0.001575+0.002207j)  (-0.001302+0.002440j)  (-0.001281+0.000423j)  (-0.001667-0.003326j)  (0.001740+0.007300j)  (0.000932+0.001349j)  (-0.012109-0.155838j)  (-0.000534-0.004344j)  (-0.000422+0.000105j)  (-0.001889+0.001613j)  (0.005231+0.004311j)  (-0.034975-0.056583j)  (0.000315+0.000016j)  (0.001794+0.001085j)  (-0.001682-0.000475j)  (0.008562-0.003673j)  (-0.001451-0.039920j)  (-0.000604+0.000851j)  (0.031632-0.062622j)  (0.000545+0.000960j)  (-0.004741-0.002122j)  (-0.000078+0.003686j)  (0.000799-0.001397j)  (0.002932+0.000331j)  (-0.000542+0.001039j)  (-0.980579+0.017937j)  (0.007453+0.001974j)  (0.001999+0.000260j)  (0.002121-0.001518j)
 (-0.000643+0.010909j)  (0.000557+0.004268j)  (-0.005290-0.001435j)  (0.001597+0.000127j)  (-0.004597-0.003927j)  (0.003261-0.005729j)  (0.012361-0.074172j)  (-0.018063-0.017080j)  (0.009535-0.013191j)  (-0.000285+0.001741j)  (0.001552+0.000261j)  (-0.002609-0.001059j)  (0.140122+0.146091j)  (0.037524+0.078827j)  (-0.008248-0.064906j)  (-0.007999-0.005636j)  (-0.003885+0.000464j)  (-0.001767+0.003291j)  (-0.009628+0.036088j)  (0.007118+0.017831j)  (0.001636+0.001560j)  (0.006614+0.003277j)  (-0.001552-0.001170j)  (-0.004137+0.002482j)  (0.002023+0.000259j)  (0.000229-0.002098j)  (0.042767-0.022223j)  (0.014489+0.010016j)  (-0.004308+0.004650j)  (-0.967192-0.012139j)  (0.001224+0.007135j)  (-0.000711-0.001621j)
 (-0.000922+0.000838j)  (-0.000799+0.001222j)  (-0.000253-0.001073j)  (0.000944-0.010203j)  (-0.003232-0.001955j)  (0.001358-0.001113j)  (-0.024784-0.013650j)  (0.001943+0.001040j)  (0.000550-0.000755j)  (0.000482-0.002054j)  (-0.005421+0.007576j)  (0.000806+0.001750j)  (-0.003131+0.003999j)  (-0.000439-0.015757j)  (-0.002387+0.005551j)  (-0.001253-0.001456j)  (-0.002605+0.000434j)  (-0.000201-0.002640j)  (0.001485-0.000235j)  (-0.000650+0.001322j)  (-0.006960+0.070721j)  (0.000803-0.000478j)  (0.001077+0.001018j)  (-0.009130-0.001201j)  (-0.001407-0.001125j)  (-0.000371-0.001685j)  (-0.001743+0.005249j)  (-0.000009-0.001472j)  (-0.001886-0.000154j)  (-0.002197+0.005851j)  (-0.996687-0.005552j)  (0.001451-0.001204j)
