 (-0.948860+0.019521j)  (-0.004473+0.013020j)  (-0.048454+0.006108j)  (-0.011351+0.008372j)  (0.015418+0.001952j)  (0.062754-0.254748j)  (-0.108870-0.040583j)  (-0.025494+0.055197j)  (-0.001432-0.003084j)  (-0.000607+0.000893j)  (0.004463-0.002918j)  (-0.034840-0.008342j)  (-0.001380+0.001032j)  (-0.011041+0.003513j)  (0.003694-0.007616j)  (-0.000183-0.001097j)  (-0.008543+0.003707j)  (-0.072746-0.011012j)  (0.001477+0.001031j)  (0.001304-0.001144j)  (-0.006335-0.009181j)  (0.002609-0.001296j)  (0.002762+0.001464j)  (-0.000712-0.000473j)  (-0.030993+0.034108j)  (0.001002-0.001803j)  (-0.002319+0.003409j)  (0.003922-0.013418j)  (-0.000083+0.006456j)  (0.000126-0.003049j)  (-0.008342+0.024175j)  (0.002707-0.000495j)
 (0.012415-0.007527j)  (0.003682-0.000566j)  (-0.003412-0.000465j)  (0.007242+0.005011j)  (0.001374-0.000359j)  (-0.014422+0.077508j)  (0.010600-0.004611j)  (0.003760-0.017618j)  (0.000282+0.000046j)  (-0.001408-0.002454j)  (-0.004321+0.002456j)  (-0.993375+0.010246j)  (-0.000697+0.002545j)  (-0.012984+0.040690j)  (0.003118+0.002268j)  (-0.002053+0.001410j)  (0.002534-0.002863j)  (-0.002294+0.006973j)  (-0.003004-0.001625j)  (-0.007898-0.003165j)  (0.000646+0.001787j)  (0.000020+0.001946j)  (0.004815+0.001382j)  (0.000123-0.000888j)  (-0.005176-0.007355j)  (0.000241+0.000889j)  (-0.000507+0.000310j)  (-0.001800-0.002765j)  (0.001416-0.001724j)  (-0.006558+0.015206j)  (-0.000895-0.001984j)  (-0.056346+0.022086j)
 (-0.000971-0.000402j)  (-0.010040-0.002202j)  (-0.002898+0.003500j)  (0.025360-0.127115j)  (-0.000082-0.001640j)  (-0.004783+0.001298j)  (-0.004754+0.000409j)  (0.002263-0.008077j)  (-0.001111-0.000752j)  (0.003763+0.001466j)  (-0.000856-0.000211j)  (0.000360+0.001616j)  (-0.968137+0.010421j)  (0.005915+0.004133j)  (-0.076974-0.057016j)  (-0.001215+0.002031j)  (-0.004279+0.000612j)  (0.001880-0.005802j)  (-0.015897+0.002604j)  (0.031441-0.088442j)  (0.000776+0.001139j)  (-0.001324-0.001274j)  (0.031498-0.160699j)  (0.006483-0.007946j)  (0.005363-0.003242j)  (-0.002541+0.001692j)  (0.003403+0.002410j)  (-0.000765+0.002163j)  (0.004226-0.004210j)  (-0.009866+0.003607j)  (0.004810-0.001761j)  (-0.001276-0.000475j)
 (0.003285+0.001645j)  (0.039792-0.122534j)  (-0.000754-0.003444j)  (0.005573-0.007080j)  (-0.009016-0.095582j)  (-0.002079+0.011105j)  (0.004198+0.002004j)  (-0.019117-0.005969j)  (-0.001579-0.000202j)  (0.004842+0.002078j)  (-0.064987+0.114627j)  (0.015951+0.039294j)  (-0.002834+0.001047j)  (-0.959206+0.036359j)  (-0.075772+0.039772j)  (-0.009486-0.042594j)  (0.024495+0.000146j)  (-0.004188+0.007886j)  (0.020808-0.011405j)  (0.031523-0.118229j)  (-0.001760-0.004661j)  (-0.003146+0.002375j)  (0.007097+0.081686j)  (-0.004583-0.005916j)  (-0.003011-0.014919j)  (-0.000501-0.000408j)  (0.000316-0.001267j)  (-0.001008+0.000278j)  (0.008427+0.002668j)  (0.003679+0.013335j)  (-0.000991-0.001450j)  (0.011901-0.004157j)
 (0.000588-0.007642j)  (0.019220+0.214892j)  (0.005368+0.004371j)  (0.024963+0.157891j)  (0.001030+0.000847j)  (0.012356-0.001510j)  (0.009788-0.005851j)  (0.009868+0.004195j)  (0.000557-0.003634j)  (0.000955-0.001808j)  (0.009346-0.014755j)  (0.000455+0.000712j)  (0.054615-0.056738j)  (0.047890+0.048866j)  (-0.946616+0.038456j)  (-0.002636-0.005997j)  (-0.046158+0.029585j)  (-0.003284-0.007286j)  (-0.000934+0.006435j)  (-0.001885-0.004622j)  (0.002295-0.000516j)  (0.000005+0.000100j)  (-0.004973-0.005365j)  (-0.007415-0.063546j)  (-0.004903+0.010949j)  (0.001602+0.001878j)  (0.000145-0.000538j)  (0.001829-0.001579j)  (-0.001050-0.001741j)  (-0.056176+0.087868j)  (-0.014541-0.006569j)  (0.000750-0.000162j)
 (-0.002796-0.001876j)  (-0.001749+0.000529j)  (0.000580+0.000707j)  (-0.002189-0.000600j)  (-0.000916-0.000480j)  (-0.003658+0.005725j)  (0.003514+0.006099j)  (0.000803+0.001960j)  (0.000331-0.000004j)  (0.000843-0.000293j)  (-0.001757+0.002352j)  (0.000736+0.001732j)  (0.002839+0.000150j)  (0.004970-0.044731j)  (0.000030-0.007692j)  (-0.998290+0.028842j)  (0.000700-0.001678j)  (0.002247-0.000407j)  (-0.002409+0.001427j)  (-0.007079+0.005301j)  (0.003324-0.005778j)  (-0.000210+0.000054j)  (-0.005780-0.012282j)  (0.000348+0.000116j)  (0.001101-0.000500j)  (-0.001129+0.000919j)  (-0.001047-0.000404j)  (0.000263-0.000795j)  (0.000195+0.001412j)  (0.000854-0.001369j)  (0.002860-0.002992j)  (-0.001309+0.002276j)
 (0.005755+0.003798j)  (0.016613-0.129956j)  (-0.000273-0.001091j)  (0.003284+0.003019j)  (0.002183-0.002498j)  (-0.002724+0.002780j)  (0.003619+0.000056j)  (-0.000628-0.000382j)  (-0.000498+0.001277j)  (-0.000350+0.001138j)  (-0.008785-0.000516j)  (-0.001798-0.002568j)  (0.000756+0.001147j)  (-0.007996-0.003589j)  (0.020751+0.022516j)  (-0.000868-0.001630j)  (-0.990507+0.019626j)  (-0.001273+0.002745j)  (-0.000499+0.000451j)  (-0.002615+0.000476j)  (0.001237+0.000986j)  (0.000031+0.000694j)  (-0.002866+0.001472j)  (0.000194-0.000412j)  (-0.001280-0.002292j)  (-0.006967+0.000674j)  (0.001946-0.001094j)  (0.000149-0.000741j)  (0.000551+0.000193j)  (-0.000033+0.002577j)  (0.002221-0.004720j)  (-0.001092+0.000561j)
 (0.016140-0.023867j)  (-0.000313+0.001101j)  (-0.010024-0.001364j)  (0.003112+0.002938j)  (0.005780-0.002744j)  (-0.075771+0.182412j)  (0.013949+0.048544j)  (-0.011081-0.017886j)  (-0.000229+0.001164j)  (-0.001010-0.002106j)  (-0.000650-0.000452j)  (0.019082+0.009945j)  (-0.000549-0.005306j)  (0.007871+0.008854j)  (0.003622-0.005102j)  (-0.000737-0.000099j)  (0.001892+0.002075j)  (-0.969308-0.006803j)  (-0.001712-0.000308j)  (0.001285-0.002799j)  (-0.000814-0.000002j)  (-0.002183-0.000094j)  (0.003283-0.003453j)  (0.000301-0.001536j)  (0.000923-0.012343j)  (0.000693-0.000537j)  (0.000178+0.001580j)  (-0.029292-0.124054j)  (0.001513-0.000641j)  (-0.001576-0.004629j)  (-0.005048-0.014335j)  (-0.001361-0.000667j)
 (-0.003607+0.000281j)  (-0.000897+0.002246j)  (-0.004493+0.001736j)  (0.000371+0.001339j)  (0.036763-0.152854j)  (0.000245-0.000394j)  (0.024668+0.002830j)  (-0.011146+0.006931j)  (-0.000048-0.000995j)  (-0.000888-0.000346j)  (0.004091-0.005132j)  (0.002860-0.001463j)  (0.014985+0.003427j)  (-0.007344-0.006966j)  (0.001323+0.008052j)  (0.002730+0.000934j)  (0.000985+0.000317j)  (0.002785-0.002565j)  (-0.986760+0.006617j)  (0.006116+0.002198j)  (-0.006053-0.004401j)  (0.001096+0.000718j)  (0.004847+0.004022j)  (-0.000783+0.003340j)  (0.002620-0.007044j)  (-0.001293-0.000503j)  (-0.000381-0.000663j)  (-0.000286-0.000130j)  (-0.000507-0.001587j)  (0.001983-0.002896j)  (0.001055-0.000628j)  (-0.000941-0.000013j)
 (0.000175+0.001645j)  (-0.022555+0.014721j)  (0.000290+0.000106j)  (-0.002983-0.005825j)  (0.002324-0.025255j)  (0.000793-0.001619j)  (-0.003386-0.003398j)  (-0.002880+0.000302j)  (0.000154-0.000374j)  (0.003359+0.098939j)  (0.011724+0.007840j)  (0.002592-0.000432j)  (-0.032378-0.088432j)  (-0.036974-0.121898j)  (-0.001325-0.009800j)  (0.012140+0.002504j)  (0.000601-0.001758j)  (-0.002841-0.002280j)  (-0.001710+0.000958j)  (-0.980619-0.000220j)  (0.001634-0.001379j)  (-0.002971+0.004938j)  (0.007449+0.005315j)  (0.001771+0.000115j)  (-0.000191-0.004121j)  (0.001383+0.001253j)  (-0.000247+0.000968j)  (0.012037-0.002992j)  (-0.028113-0.021213j)  (-0.001533+0.003428j)  (0.000310+0.001349j)  (0.000542+0.002727j)
 (0.003662-0.002178j)  (0.000195-0.000049j)  (0.002826-0.000770j)  (-0.001871+0.000703j)  (0.018973+0.003808j)  (0.005379-0.008908j)  (-0.023210+0.002138j)  (-0.061340-0.173682j)  (-0.000703+0.000258j)  (-0.002501-0.000074j)  (0.001610+0.000352j)  (0.001234-0.000545j)  (0.000626-0.000298j)  (0.003438-0.000018j)  (-0.002281-0.001385j)  (-0.004086-0.005238j)  (-0.001278+0.001264j)  (0.002137+0.001023j)  (0.004783+0.001107j)  (-0.001759+0.000296j)  (-0.981940+0.018539j)  (0.000861-0.001313j)  (-0.001603-0.000081j)  (0.000514+0.000477j)  (-0.003130+0.007698j)  (-0.001814-0.001171j)  (-0.000072+0.000118j)  (-0.004362+0.003011j)  (0.000713-0.000284j)  (-0.012189+0.005753j)  (0.000483+0.007637j)  (0.001912+0.001514j)
 (-0.001194-0.001037j)  (0.001460-0.000319j)  (0.000169+0.000951j)  (0.000313-0.000512j)  (0.002607-0.000392j)  (0.001934-0.001564j)  (-0.004332-0.000627j)  (0.000538-0.001168j)  (0.003455-0.008754j)  (0.005413-0.000309j)  (-0.014616+0.006741j)  (-0.000022+0.001671j)  (0.000601-0.000249j)  (0.005335+0.004895j)  (0.000189-0.000724j)  (0.000206+0.000390j)  (-0.000036+0.000777j)  (0.001473+0.000070j)  (-0.001310+0.001034j)  (0.000569+0.002074j)  (-0.000581-0.001034j)  (-0.993621+0.021793j)  (0.002095+0.001370j)  (-0.000538+0.001065j)  (0.001735+0.000142j)  (0.001580+0.000781j)  (-0.040703-0.001916j)  (0.000460+0.001317j)  (-0.016435+0.098900j)  (-0.002136+0.001499j)  (0.001012+0.004433j)  (-0.001346-0.000216j)
 (-0.002473+0.001180j)  (0.005263-0.000216j)  (0.001977-0.001440j)  (-0.009690+0.000896j)  (0.002362+0.001053j)  (0.000033-0.000269j)  (0.004698+0.000434j)  (0.001192+0.003595j)  (-0.000732-0.000803j)  (0.001920-0.000504j)  (-0.005232+0.000087j)  (-0.001623+0.000904j)  (-0.035520-0.161259j)  (-0.005126+0.086138j)  (0.016340-0.012404j)  (0.001460-0.012313j)  (0.002610+0.000715j)  (-0.001658-0.003061j)  (-0.006553+0.001215j)  (-0.002471+0.003340j)  (0.000843+0.000204j)  (-0.001168+0.001754j)  (-0.982011+0.005019j)  (0.003651-0.000802j)  (-0.000312+0.000694j)  (-0.001089-0.000414j)  (-0.000304-0.001836j)  (-0.000488-0.000239j)  (0.000818+0.003485j)  (-0.000056-0.001332j)  (-0.001540-0.000293j)  (-0.001048-0.001847j)
 (-0.000054-0.000058j)  (0.006892+0.000966j)  (0.000464+0.000465j)  (0.004511-0.000403j)  (0.000191-0.000580j)  (0.001389+0.003605j)  (0.001954+0.000647j)  (0.001601-0.003663j)  (-0.000710+0.000345j)  (0.000218-0.000072j)  (0.000583+0.000993j)  (0.000268-0.001138j)  (-0.002603-0.002205j)  (0.001244+0.000107j)  (0.005893-0.068470j)  (0.000190+0.000094j)  (-0.001659-0.000951j)  (0.000912-0.002589j)  (0.000250+0.003159j)  (-0.000990+0.000186j)  (0.000302+0.001257j)  (0.000331-0.000032j)  (-0.002371-0.002296j)  (-0.996867+0.015109j)  (-0.002352+0.001066j)  (-0.000006+0.000063j)  (0.006652+0.028842j)  (-0.000175-0.000594j)  (-0.000992+0.000107j)  (-0.015841+0.003287j)  (-0.001187-0.001172j)  (-0.000680-0.000339j)
 (-0.000782+0.003684j)  (0.001778-0.002146j)  (-0.000484-0.046055j)  (0.012576-0.003992j)  (0.001128+0.003384j)  (-0.042564+0.051506j)  (-0.002498+0.238477j)  (0.001812+0.017675j)  (0.000648-0.001404j)  (0.018033-0.006836j)  (0.040874+0.057071j)  (0.008523-0.008810j)  (-0.004641-0.004626j)  (0.008572-0.022514j)  (0.000214+0.009641j)  (0.002484-0.000071j)  (0.002300-0.001756j)  (0.025315-0.003714j)  (-0.002139-0.000045j)  (0.002396-0.004618j)  (-0.001326+0.000714j)  (-0.002815-0.002811j)  (-0.001216+0.000646j)  (0.001624+0.001747j)  (-0.950158-0.009394j)  (-0.003102+0.001621j)  (-0.001852-0.000437j)  (0.000959-0.000704j)  (0.003270+0.000329j)  (0.029548+0.006434j)  (0.004760-0.119271j)  (0.016976+0.103683j)
 (0.000116-0.000229j)  (-0.001583+0.000457j)  (0.000367-0.001167j)  (-0.002046+0.000123j)  (-0.000399+0.001527j)  (0.003179-0.001891j)  (-0.000427-0.006192j)  (-0.000988+0.000552j)  (-0.001035-0.000371j)  (-0.001299-0.001099j)  (0.001085+0.000262j)  (-0.000524+0.000600j)  (0.002333+0.001122j)  (0.000239-0.001119j)  (-0.001551+0.002277j)  (0.001160+0.000847j)  (0.006930+0.000246j)  (-0.001608-0.001074j)  (0.001091-0.000612j)  (-0.001241+0.001700j)  (0.001797-0.001325j)  (-0.001851+0.001412j)  (0.000689-0.000106j)  (-0.000239-0.000079j)  (0.001262+0.001084j)  (-0.999656+0.021537j)  (-0.000806-0.000445j)  (0.000082-0.000850j)  (-0.004612-0.004104j)  (0.001187+0.002191j)  (-0.003485+0.002075j)  (0.001288-0.000754j)
 (0.002006+0.001894j)  (0.000474+0.000796j)  (0.000346+0.000741j)  (-0.000051-0.000177j)  (-0.000486-0.000941j)  (-0.004135+0.000310j)  (0.000693+0.001023j)  (0.001629+0.001884j)  (0.000040+0.000043j)  (-0.000139+0.001519j)  (-0.000193-0.001370j)  (0.000513+0.000907j)  (-0.003131+0.002645j)  (-0.001022-0.001038j)  (-0.001862+0.000344j)  (0.001075-0.000498j)  (-0.002109-0.000843j)  (0.000002+0.002428j)  (0.000626-0.000840j)  (0.000688+0.000435j)  (-0.000243+0.000395j)  (0.040087-0.002864j)  (-0.000314-0.002347j)  (-0.005412+0.029118j)  (0.002017-0.000418j)  (0.000704-0.000508j)  (-0.998316+0.022096j)  (0.000439+0.000843j)  (-0.006804-0.008267j)  (-0.012707-0.003611j)  (-0.000173-0.002336j)  (0.000547-0.000642j)
 (-0.006105-0.001905j)  (-0.001757-0.000778j)  (0.000088+0.000807j)  (-0.000924-0.001081j)  (-0.001260-0.000105j)  (0.005307+0.001578j)  (0.006495+0.003550j)  (-0.002515+0.003993j)  (0.001268-0.000323j)  (0.000276+0.000801j)  (-0.001274-0.000446j)  (0.000768-0.003135j)  (0.001626+0.000772j)  (-0.000022-0.001313j)  (-0.001328-0.000101j)  (0.000013-0.001028j)  (-0.000490-0.000808j)  (0.028629-0.128914j)  (0.000890-0.000559j)  (-0.011828-0.002229j)  (0.003685+0.001824j)  (-0.000357+0.001164j)  (0.000602+0.000391j)  (0.000533-0.000725j)  (0.001031-0.005752j)  (-0.000012-0.000531j)  (-0.000776+0.000809j)  (-0.990889+0.017758j)  (-0.000438+0.000072j)  (-0.000614+0.000377j)  (0.001894-0.000370j)  (0.000197-0.000047j)
 (0.000373+0.008107j)  (0.002672-0.000522j)  (-0.001341-0.000833j)  (-0.000362+0.001127j)  (0.003209-0.000085j)  (0.002057+0.000338j)  (0.002087-0.001005j)  (0.001280+0.000785j)  (0.000027+0.000879j)  (-0.023521-0.101920j)  (-0.004107+0.000030j)  (-0.000883-0.001311j)  (-0.003006-0.003284j)  (-0.005008+0.004872j)  (0.001092-0.002271j)  (-0.000716+0.001084j)  (-0.000457+0.000563j)  (-0.001499-0.001102j)  (0.000829-0.001341j)  (0.018289-0.020685j)  (-0.001100+0.000433j)  (0.018350+0.097656j)  (0.000452+0.003140j)  (0.001046-0.000023j)  (-0.003738-0.003039j)  (0.004615-0.004257j)  (0.006916-0.004347j)  (0.000374-0.000044j)  (-0.988969+0.002275j)  (0.001562-0.001903j)  (-0.001310-0.001302j)  (0.001771-0.000399j)
 (-0.002195-0.002327j)  (-0.009126+0.002850j)  (-0.000720-0.000822j)  (-0.010446-0.005052j)  (0.000967-0.001234j)  (0.009939+0.006187j)  (-0.019314+0.057033j)  (-0.028421+0.012270j)  (-0.005147+0.000611j)  (-0.001946+0.002180j)  (-0.002001-0.001521j)  (0.006813+0.013864j)  (-0.000803-0.002239j)  (-0.004007+0.003025j)  (0.063929+0.093503j)  (-0.001358-0.001030j)  (0.003156+0.001441j)  (0.005809-0.005524j)  (-0.000937-0.001709j)  (0.001094+0.003436j)  (0.011700-0.001374j)  (0.001115+0.001850j)  (0.000802+0.001936j)  (0.009755+0.007352j)  (-0.006061+0.001801j)  (-0.001097+0.002244j)  (0.012640-0.004600j)  (0.001585+0.001112j)  (-0.001581-0.001616j)  (-0.985384+0.021576j)  (-0.065167-0.074317j)  (0.006608+0.002718j)
 (-0.002803+0.007981j)  (-0.002029+0.000835j)  (-0.002703-0.001196j)  (0.008567-0.006413j)  (-0.001629-0.000647j)  (-0.008614+0.018508j)  (-0.041667+0.149786j)  (-0.003166+0.014526j)  (0.001448+0.000528j)  (-0.001301-0.000384j)  (-0.001357-0.008512j)  (0.001624-0.001061j)  (-0.003363-0.000488j)  (0.000226-0.000512j)  (-0.000697-0.008184j)  (-0.001619-0.002067j)  (-0.002832-0.004312j)  (0.016611-0.009599j)  (-0.000185+0.002748j)  (-0.000300+0.000728j)  (-0.003741+0.003485j)  (-0.000984+0.003530j)  (0.001587-0.000162j)  (0.000201+0.000332j)  (0.035289-0.112516j)  (0.002217+0.001179j)  (-0.000286-0.000980j)  (0.000848+0.002913j)  (0.001867-0.000290j)  (0.068425-0.077470j)  (-0.973216+0.036818j)  (-0.022135+0.027767j)
