 (-0.942702-0.002785j)  (-0.013133-0.020687j)  (-0.012097-0.012219j)  (-0.020811+0.019161j)  (-0.004239-0.023191j)  (0.012875+0.051136j)  (0.086242+0.116136j)  (0.013991-0.013734j)  (-0.043195+0.014395j)  (0.013027-0.008507j)  (-0.008582+0.005989j)  (0.053568+0.007008j)  (-0.023319+0.048627j)  (-0.009589+0.000890j)  (-0.020001-0.014879j)  (0.039030+0.037931j)  (0.012215-0.025418j)  (-0.000372+0.008480j)  (0.001460-0.017677j)  (0.011316-0.003211j)  (-0.035135-0.013270j)  (-0.016206-0.013198j)  (0.004825+0.004410j)  (-0.004656+0.000211j)  (0.014190-0.021930j)  (0.008072+0.009617j)  (-0.094024-0.014709j)  (-0.011972+0.000244j)  (0.010746+0.001221j)  (-0.003500+0.005759j)  (0.004151+0.007950j)  (-0.001941-0.010523j)  (-0.009211+0.011464j)  (-0.013995+0.007594j)  (0.004001+0.021975j)  (-0.000286-0.062814j)  (-0.011219+0.022180j)  (-0.003569+0.083108j)  (0.006915-0.001793j)  (0.012074-0.052727j)  (-0.006546+0.009453j)  (-0.006013-0.003656j)  (-0.037405+0.017340j)  (0.006670-0.003153j)  (0.000968-0.008540j)  (-0.044621-0.083117j)  (0.011779+0.000200j)  (0.023558-0.015380j)  (0.026597+0.013151j)  (0.008853-0.015713j)  (0.005137+0.000091j)  (-0.018510+0.008268j)  (0.018793-0.018554j)  (-0.005701+0.066788j)  (-0.083857-0.086021j)  (0.002532+0.024487j)  (0.000298-0.040318j)  (-0.014469+0.015548j)  (-0.020966-0.005237j)  (0.033169-0.033265j)  (0.032578+0.041749j)  (0.009829+0.004939j)  (-0.009182-0.002188j)  (0.000115+0.050005j)
 (-0.043330+0.013581j)  (0.016813+0.010454j)  (0.031313+0.033378j)  (0.009424-0.008711j)  (-0.014037+0.073529j)  (0.004840+0.006901j)  (0.002943+0.000030j)  (0.023627+0.003282j)  (-0.002047-0.000055j)  (-0.006397-0.002749j)  (-0.003865+0.007561j)  (-0.952823+0.005936j)  (-0.017732-0.010270j)  (-0.006095-0.027292j)  (0.036134-0.040180j)  (-0.004499+0.020297j)  (-0.016242+0.074212j)  (-0.034051+0.017673j)  (-0.007401+0.020997j)  (0.021479-0.001172j)  (-0.017251-0.008852j)  (-0.014643-0.018819j)  (-0.007507+0.005229j)  (-0.002565-0.002739j)  (0.010737-0.001975j)  (-0.009113+0.036920j)  (0.017528-0.008389j)  (0.024804-0.006426j)  (0.012866-0.001066j)  (0.013915-0.001500j)  (0.004063-0.006595j)  (-0.009264-0.010293j)  (0.003807+0.003226j)  (0.023935-0.007872j)  (-0.014452-0.011729j)  (-0.004804-0.007615j)  (0.015879+0.106026j)  (0.014360+0.010315j)  (-0.015100-0.001260j)  (0.016606-0.005999j)  (0.003147-0.000976j)  (0.015710-0.002662j)  (-0.023873-0.003798j)  (0.027280-0.067892j)  (-0.002180+0.017483j)  (-0.005104-0.027062j)  (0.030506+0.009100j)  (0.019285-0.010497j)  (0.006248+0.049367j)  (-0.029790+0.072998j)  (0.005500-0.083460j)  (0.002281+0.037900j)  (-0.019235-0.000352j)  (0.053894+0.054048j)  (0.010257-0.069374j)  (0.020807-0.070771j)  (-0.006008-0.045585j)  (-0.000539-0.015531j)  (-0.001348+0.004100j)  (-0.029953-0.012490j)  (-0.021806+0.014051j)  (-0.004331+0.028694j)  (0.022821+0.050598j)  (0.005194-0.007374j)
 (0.015094+0.045281j)  (-0.003286+0.010006j)  (0.007392+0.011330j)  (-0.014672+0.006236j)  (0.002163-0.000710j)  (-0.058688-0.008460j)  (-0.020205+0.000643j)  (0.002912-0.000626j)  (-0.004368+0.009011j)  (-0.008171+0.010468j)  (0.006598+0.000880j)  (0.010541-0.001991j)  (-0.965942-0.011511j)  (0.001373-0.007793j)  (0.009185-0.013504j)  (-0.004960+0.010321j)  (0.002893-0.015537j)  (-0.012849+0.004324j)  (-0.011065+0.007038j)  (-0.018672+0.039673j)  (0.009841+0.004832j)  (0.010449+0.010378j)  (-0.004235+0.010211j)  (0.005703+0.006051j)  (-0.000357-0.005406j)  (0.002252+0.094868j)  (0.003519+0.007707j)  (-0.001143-0.002570j)  (-0.019269+0.067293j)  (0.017364+0.006333j)  (-0.014021-0.023341j)  (-0.006888+0.001417j)  (0.001831-0.007522j)  (0.019066+0.016105j)  (0.006270-0.009189j)  (-0.039579-0.084410j)  (-0.029143+0.048540j)  (-0.015621+0.031813j)  (0.007715-0.008528j)  (0.006619+0.008861j)  (-0.012492+0.013239j)  (-0.009546+0.008416j)  (0.001896+0.001853j)  (0.014694+0.048257j)  (-0.006343+0.001889j)  (-0.005138+0.000768j)  (-0.024427+0.001054j)  (-0.001297+0.003114j)  (-0.022782-0.061612j)  (-0.020111-0.031419j)  (-0.012901+0.000028j)  (-0.006883-0.006130j)  (0.004744-0.017705j)  (0.017789-0.006924j)  (-0.014017+0.072716j)  (-0.021481+0.004218j)  (0.019839+0.012406j)  (0.008764+0.009618j)  (0.021153+0.002347j)  (-0.023795+0.055695j)  (-0.011011-0.069702j)  (-0.014050-0.015212j)  (0.000015-0.001633j)  (-0.008747-0.008610j)
 (0.010650+0.004701j)  (-0.003163-0.000872j)  (-0.013917+0.010965j)  (-0.004624+0.011468j)  (0.011041-0.118188j)  (-0.018116-0.003147j)  (0.001093-0.115140j)  (-0.005075+0.004109j)  (0.003598+0.004071j)  (-0.017364-0.001877j)  (0.066187-0.030875j)  (-0.001169-0.016900j)  (-0.000280-0.011334j)  (-0.934950+0.019941j)  (-0.002261+0.002855j)  (0.015758-0.002782j)  (0.000647+0.008646j)  (0.009845+0.039243j)  (-0.016378-0.014005j)  (-0.030838+0.004955j)  (0.036700-0.057117j)  (-0.000453+0.010290j)  (-0.022727-0.009613j)  (-0.017171-0.075540j)  (-0.023505+0.033964j)  (-0.005704+0.012912j)  (-0.009316-0.001994j)  (0.034262+0.037962j)  (0.103722+0.069833j)  (-0.020331-0.010754j)  (-0.011190-0.009536j)  (0.005070+0.031105j)  (-0.035428+0.018452j)  (-0.004590+0.041757j)  (-0.029061-0.009848j)  (0.031981-0.022347j)  (-0.006116+0.021125j)  (0.001020+0.030288j)  (-0.005180+0.005362j)  (0.010575+0.045608j)  (-0.046825-0.093639j)  (0.013265-0.017995j)  (0.010835-0.018359j)  (0.001999-0.001983j)  (-0.009393+0.015182j)  (-0.004774-0.076033j)  (0.022129+0.070949j)  (0.007134+0.007425j)  (-0.005298-0.005374j)  (0.006662+0.005633j)  (0.024439+0.072881j)  (-0.020011+0.007985j)  (0.010371-0.010397j)  (-0.000040-0.005077j)  (-0.015445-0.014990j)  (-0.002336+0.004094j)  (0.004203-0.010785j)  (-0.021911-0.060490j)  (0.008759-0.009989j)  (0.021273-0.002970j)  (0.017802+0.075924j)  (-0.000703-0.028514j)  (-0.003212+0.019314j)  (0.023885-0.034226j)
 (0.031402-0.016296j)  (0.003034+0.006967j)  (-0.003019+0.002040j)  (0.002877-0.001791j)  (0.002800-0.003688j)  (0.004489-0.000546j)  (-0.009419-0.020325j)  (-0.001262-0.073057j)  (-0.001126+0.009111j)  (-0.005056+0.010167j)  (0.003260+0.002519j)  (-0.018264-0.041723j)  (-0.005514-0.006999j)  (0.012194-0.001815j)  (-0.949944+0.006907j)  (-0.013272-0.074040j)  (-0.009925-0.006215j)  (0.005790+0.049037j)  (0.018156-0.016072j)  (0.000785+0.002506j)  (-0.006466+0.010628j)  (-0.016716-0.002555j)  (-0.005787-0.000535j)  (0.009081+0.010214j)  (0.003441-0.001836j)  (-0.012317+0.070045j)  (-0.011470-0.019477j)  (0.030699-0.000895j)  (0.000670+0.004986j)  (-0.008679-0.053157j)  (0.010969-0.017505j)  (0.007162-0.080947j)  (0.005729-0.011834j)  (0.006301+0.009028j)  (0.008416+0.058461j)  (0.015731-0.064021j)  (0.001136+0.018715j)  (-0.024546-0.033466j)  (0.019138+0.008191j)  (0.013979-0.000643j)  (-0.014820-0.006863j)  (0.020057-0.004077j)  (0.010574+0.012652j)  (0.014171-0.067901j)  (0.019608-0.005727j)  (0.004365+0.002994j)  (-0.020362-0.033493j)  (0.024892-0.000549j)  (-0.006022-0.068685j)  (0.008811-0.060127j)  (0.014872-0.038830j)  (-0.043470+0.068272j)  (-0.002341-0.007106j)  (0.034418+0.009625j)  (0.030577-0.048089j)  (0.002335-0.041681j)  (0.004876-0.064877j)  (0.012244-0.025947j)  (0.006675+0.048097j)  (0.013446+0.005844j)  (0.037200+0.067647j)  (-0.007013-0.003070j)  (0.015325+0.021240j)  (0.027409+0.067047j)
 (-0.040262+0.044698j)  (0.010030+0.012091j)  (0.009766-0.001111j)  (-0.007055+0.000305j)  (-0.001296+0.012779j)  (0.006014+0.003767j)  (0.010727+0.010670j)  (0.018447-0.085730j)  (-0.011797-0.000150j)  (-0.010135+0.009015j)  (0.008375-0.038527j)  (0.006970+0.008736j)  (-0.000548+0.007405j)  (-0.012729+0.008114j)  (0.013976-0.067449j)  (-0.952005+0.002993j)  (0.001320+0.002806j)  (-0.004936-0.057048j)  (0.049837-0.005973j)  (0.001633+0.006043j)  (0.000868+0.004063j)  (0.012500-0.066233j)  (-0.020854+0.030123j)  (-0.002899-0.010632j)  (-0.004012+0.000914j)  (-0.014604+0.014431j)  (0.007331-0.006734j)  (0.015036-0.001778j)  (-0.013389+0.059730j)  (0.004746-0.062005j)  (-0.001900-0.015162j)  (-0.009402+0.003812j)  (-0.007586-0.006859j)  (0.040855-0.072272j)  (0.003185+0.006192j)  (-0.006107+0.015114j)  (0.005553-0.006637j)  (-0.012416+0.010356j)  (-0.008402+0.026776j)  (-0.012820+0.056327j)  (0.023260+0.000009j)  (-0.006104-0.021707j)  (-0.012033+0.001937j)  (-0.011753-0.073927j)  (0.019955-0.020209j)  (-0.008914+0.011597j)  (0.008296-0.000629j)  (-0.014636-0.001269j)  (0.004554+0.031934j)  (0.004963+0.001549j)  (-0.011567+0.035835j)  (-0.000121-0.010056j)  (-0.037052+0.076669j)  (0.016381-0.010672j)  (-0.001167+0.012081j)  (0.019690+0.058304j)  (0.033455+0.048124j)  (-0.021547-0.038426j)  (-0.025515-0.019255j)  (-0.005982-0.053329j)  (-0.002268+0.040515j)  (-0.010740-0.070717j)  (0.014313-0.058429j)  (0.002320+0.014688j)
 (-0.018337-0.025778j)  (-0.010319-0.001226j)  (-0.033770+0.043584j)  (-0.005827-0.006412j)  (-0.006547-0.005150j)  (-0.004454+0.003650j)  (-0.003366-0.000423j)  (-0.006382+0.003792j)  (-0.001002-0.006486j)  (0.005423+0.000832j)  (0.004836-0.009589j)  (0.023220+0.082103j)  (-0.004714-0.008500j)  (0.002024-0.001520j)  (0.003730-0.003071j)  (-0.008582+0.013830j)  (-0.964277+0.022248j)  (0.003754+0.002949j)  (0.024649+0.076945j)  (0.004621+0.009005j)  (0.017401-0.008529j)  (-0.001125-0.069131j)  (-0.016091-0.009260j)  (0.001229+0.005304j)  (-0.001231-0.000181j)  (0.006156-0.007260j)  (0.020650+0.062480j)  (0.051820+0.037245j)  (0.000560-0.010105j)  (0.006726+0.007617j)  (-0.010982+0.002275j)  (0.005323-0.000113j)  (-0.016007+0.023690j)  (-0.007109+0.078402j)  (-0.025826-0.002771j)  (0.028129+0.013289j)  (-0.022120+0.035674j)  (0.005106-0.009553j)  (-0.022933-0.054809j)  (-0.029673+0.028186j)  (-0.012539+0.018322j)  (-0.020032+0.036294j)  (0.011849-0.002794j)  (-0.024917-0.003638j)  (-0.003990+0.007176j)  (0.005921+0.012093j)  (0.024033-0.048086j)  (0.021178-0.049651j)  (-0.005474+0.004984j)  (0.023411-0.003352j)  (-0.000907-0.027125j)  (0.007399+0.004976j)  (0.034260-0.055762j)  (-0.023591-0.020156j)  (-0.002293+0.000583j)  (0.005674-0.007943j)  (-0.004706-0.003727j)  (-0.000301+0.002766j)  (0.001235+0.040706j)  (0.003133-0.008021j)  (0.004502+0.009706j)  (0.011384-0.012710j)  (0.012862-0.035790j)  (-0.015649-0.030785j)
 (0.001805+0.012422j)  (0.012540-0.010907j)  (-0.011305-0.006903j)  (0.003874+0.005626j)  (-0.006498-0.038651j)  (-0.009147+0.015285j)  (0.011219+0.006791j)  (-0.000809+0.005759j)  (-0.009403+0.002360j)  (0.008106-0.086778j)  (-0.018500-0.082527j)  (0.028958+0.018424j)  (0.009648-0.003813j)  (-0.012996+0.032276j)  (-0.004602+0.056490j)  (0.004983-0.062100j)  (-0.001214+0.002847j)  (-0.947570-0.016502j)  (0.039905+0.009122j)  (0.004674-0.009593j)  (-0.019452-0.017084j)  (-0.009636-0.004738j)  (-0.014696+0.010234j)  (-0.001668-0.011518j)  (-0.007825-0.000609j)  (0.024200+0.006896j)  (-0.012548-0.028567j)  (-0.009345+0.007910j)  (0.003278-0.000722j)  (0.019745-0.009403j)  (0.018444-0.025926j)  (0.010811-0.014478j)  (-0.016496+0.009141j)  (0.000526-0.060602j)  (0.024894+0.004134j)  (-0.000696+0.042462j)  (-0.009616+0.032418j)  (-0.015516+0.035787j)  (0.022170-0.067407j)  (-0.007508+0.011202j)  (0.008092+0.026428j)  (-0.013888+0.065954j)  (-0.010695+0.002388j)  (-0.012597+0.012048j)  (0.024464+0.050184j)  (-0.000585+0.053013j)  (0.032632+0.066413j)  (-0.006573+0.002810j)  (0.007597-0.020203j)  (0.010289-0.039815j)  (0.007582-0.069654j)  (0.035762-0.057711j)  (-0.019349+0.028750j)  (-0.011713+0.013387j)  (0.023293+0.015087j)  (0.004570+0.004781j)  (-0.003131+0.003012j)  (-0.019931+0.068969j)  (0.009288-0.008212j)  (-0.001864+0.076761j)  (0.019120+0.094713j)  (0.000064+0.038909j)  (0.011767+0.012932j)  (-0.003321-0.008412j)
 (-0.001480-0.012026j)  (-0.003075-0.005212j)  (-0.002278+0.005946j)  (0.001623-0.005961j)  (0.005523+0.052536j)  (-0.005318+0.003456j)  (0.008894+0.001195j)  (0.025433-0.030082j)  (0.005324-0.016500j)  (-0.047804-0.080653j)  (0.005796+0.005662j)  (0.016782+0.015507j)  (0.000037+0.007229j)  (0.005227-0.005713j)  (-0.002358-0.021119j)  (-0.038396-0.008735j)  (-0.027346+0.072799j)  (-0.020515+0.005410j)  (-0.958496-0.019393j)  (0.014850+0.012716j)  (-0.023618+0.025536j)  (-0.026224-0.007210j)  (0.001632-0.002783j)  (0.031055-0.052345j)  (-0.003653-0.005377j)  (0.007941-0.007636j)  (0.002380-0.006785j)  (0.015839-0.006930j)  (0.007031-0.023091j)  (-0.008760-0.012289j)  (0.012864-0.034222j)  (-0.012903-0.065731j)  (0.029786+0.005789j)  (0.005119-0.003217j)  (0.000760+0.042552j)  (-0.000158+0.060704j)  (0.024952-0.006924j)  (-0.006807+0.018631j)  (-0.019357+0.014141j)  (-0.011547-0.007577j)  (0.013175+0.008686j)  (-0.013348+0.015383j)  (-0.006192-0.042520j)  (-0.018448-0.000612j)  (0.000064+0.043260j)  (-0.007781-0.020101j)  (-0.039549+0.063262j)  (0.004646+0.016964j)  (0.007056-0.068744j)  (0.022947-0.044806j)  (0.018251-0.027941j)  (-0.004009+0.009320j)  (-0.013511+0.064012j)  (-0.001688-0.032501j)  (0.006476-0.051992j)  (0.025230+0.013768j)  (0.001233+0.012065j)  (-0.010951-0.003137j)  (-0.011213+0.026880j)  (-0.005255-0.006571j)  (-0.005794-0.005053j)  (0.006040+0.037207j)  (0.023286-0.062011j)  (-0.005325+0.028732j)
 (-0.010823-0.000079j)  (-0.004072-0.011675j)  (-0.005364+0.002800j)  (-0.012799+0.004407j)  (0.021249+0.096774j)  (-0.011342+0.003977j)  (0.002870-0.001938j)  (-0.008707-0.003732j)  (-0.000131-0.009530j)  (-0.010178-0.005682j)  (-0.002051-0.005706j)  (-0.008720+0.002602j)  (0.028189+0.042555j)  (0.027125+0.006103j)  (-0.002245-0.006913j)  (-0.002378+0.009042j)  (0.002012+0.005964j)  (-0.007011-0.007509j)  (-0.010563+0.005893j)  (-0.976085+0.018188j)  (0.010265+0.019744j)  (0.015686-0.070919j)  (-0.000277+0.003158j)  (-0.005119-0.058498j)  (0.006076+0.004835j)  (0.016671+0.008428j)  (0.001750+0.007615j)  (-0.000794-0.002904j)  (-0.000239+0.011039j)  (-0.026143+0.072283j)  (-0.016421-0.008215j)  (0.014206-0.007569j)  (0.001225+0.003685j)  (0.008946+0.013537j)  (-0.012739-0.008695j)  (0.010689-0.055616j)  (0.012930-0.005677j)  (-0.014821+0.008979j)  (0.016086-0.001820j)  (-0.007315+0.046346j)  (0.005853+0.016625j)  (-0.005262+0.000859j)  (0.003591-0.004002j)  (0.021736+0.015925j)  (-0.008066+0.004243j)  (0.013627-0.007048j)  (0.001104+0.007672j)  (0.001325+0.001996j)  (-0.013239+0.008354j)  (-0.025535-0.002441j)  (-0.006516-0.041037j)  (0.008740+0.000832j)  (-0.007574-0.005541j)  (-0.010506+0.007676j)  (-0.007564-0.004054j)  (-0.010982+0.002065j)  (-0.001151-0.000345j)  (-0.013348-0.009803j)  (0.052690-0.004617j)  (-0.016278+0.000748j)  (0.012232+0.008209j)  (0.004438+0.002758j)  (0.005516+0.030323j)  (-0.003189+0.003455j)
 (0.018738-0.009569j)  (-0.008011+0.000679j)  (0.006555+0.006017j)  (0.011528+0.001251j)  (0.005560-0.132595j)  (0.014280-0.071724j)  (-0.003079-0.067031j)  (-0.010075+0.005549j)  (0.001150-0.014861j)  (0.002220+0.007207j)  (-0.009163+0.012905j)  (0.008091+0.000844j)  (-0.003374+0.006307j)  (-0.009522-0.065913j)  (-0.001429+0.006166j)  (-0.008098+0.006216j)  (-0.008846-0.014048j)  (0.028140-0.013738j)  (0.023360+0.023948j)  (-0.009101+0.014791j)  (-0.954672+0.014960j)  (-0.029468-0.033681j)  (0.008258+0.008123j)  (0.000652-0.019000j)  (0.005247+0.012980j)  (0.005056+0.003833j)  (0.008138+0.000744j)  (0.000848-0.003824j)  (-0.021517+0.002401j)  (-0.011657+0.018860j)  (-0.035544-0.036815j)  (0.012435-0.055756j)  (0.007914+0.063158j)  (-0.012481+0.003567j)  (0.003646-0.017944j)  (0.019471-0.021827j)  (0.022722+0.023437j)  (0.005209-0.005357j)  (0.003123+0.005777j)  (-0.013188+0.054616j)  (-0.035638+0.060613j)  (0.001220-0.002038j)  (0.005838-0.075513j)  (-0.005000+0.002438j)  (-0.005839-0.020858j)  (0.011812-0.013909j)  (-0.003536+0.060713j)  (0.017523+0.007421j)  (0.006367-0.000896j)  (0.001955-0.005184j)  (0.014263+0.001794j)  (0.012154+0.002197j)  (0.006306-0.001205j)  (-0.016041+0.007437j)  (0.005301+0.023694j)  (0.017821+0.014977j)  (-0.006192+0.001570j)  (-0.003200-0.017039j)  (0.036891-0.056137j)  (0.002721+0.007008j)  (-0.023890-0.003794j)  (0.022574+0.051762j)  (-0.021110+0.001848j)  (-0.034319-0.070420j)
 (0.009164-0.010231j)  (0.002312+0.030016j)  (-0.003212+0.006601j)  (-0.001146+0.007159j)  (0.003078-0.008448j)  (-0.000802-0.004562j)  (-0.014837+0.015410j)  (0.000895+0.011606j)  (-0.001337-0.007849j)  (-0.003216-0.008246j)  (0.008096-0.072056j)  (0.006676-0.011869j)  (-0.009276+0.006797j)  (-0.002987-0.000538j)  (0.010695-0.004662j)  (-0.007939-0.063614j)  (0.000687-0.070450j)  (0.017184-0.002246j)  (0.009152+0.002822j)  (-0.015896-0.068039j)  (0.027679-0.027662j)  (-0.965183+0.022113j)  (-0.015728+0.024101j)  (-0.001789-0.003729j)  (0.029283-0.030018j)  (0.029503-0.043762j)  (0.003762+0.008051j)  (0.000462-0.025992j)  (0.007207+0.002656j)  (-0.021894+0.005437j)  (0.014046+0.049428j)  (0.004254+0.010294j)  (-0.023179-0.019087j)  (0.013559-0.020188j)  (-0.012470-0.046879j)  (-0.010424-0.040916j)  (-0.025328+0.047957j)  (0.008677-0.045464j)  (-0.000277-0.005725j)  (-0.014259-0.007795j)  (-0.008335+0.014101j)  (-0.021986-0.019747j)  (0.008022+0.005464j)  (0.006731+0.027763j)  (0.014813+0.010197j)  (0.015514-0.007431j)  (-0.012883-0.064364j)  (0.005396-0.001214j)  (-0.014433+0.007982j)  (-0.010537+0.009868j)  (0.038791-0.040519j)  (-0.006653-0.035441j)  (0.012530+0.064307j)  (0.006658+0.005334j)  (0.011130-0.001763j)  (-0.010456+0.053387j)  (-0.001611+0.013441j)  (0.009539-0.008732j)  (0.023533-0.000217j)  (0.000472-0.013924j)  (-0.019366-0.007876j)  (-0.007258-0.024530j)  (0.011138-0.002541j)  (-0.000537-0.045818j)
 (0.001753+0.006936j)  (0.027806+0.005800j)  (-0.005729+0.010862j)  (-0.003553+0.000252j)  (0.006621+0.001490j)  (0.003574+0.002862j)  (-0.003328-0.008191j)  (0.010127-0.008493j)  (-0.004972-0.001714j)  (-0.028846-0.011681j)  (-0.002161+0.046687j)  (0.002365+0.002223j)  (0.006403+0.008571j)  (0.015951-0.001597j)  (0.003617+0.005031j)  (0.024259+0.028767j)  (0.008253-0.007644j)  (0.004350+0.000276j)  (-0.004999-0.003719j)  (-0.000468+0.002678j)  (-0.007645+0.002743j)  (0.005419+0.029719j)  (-0.978621+0.010364j)  (0.001129-0.001363j)  (-0.000674+0.002041j)  (0.021645-0.011371j)  (0.005398+0.000926j)  (-0.001870-0.005321j)  (-0.011473+0.015596j)  (0.010056-0.002773j)  (-0.013945-0.044389j)  (0.006677-0.012852j)  (0.003812-0.004353j)  (-0.038114-0.009703j)  (0.005232-0.004266j)  (-0.004601+0.010394j)  (0.001646-0.010406j)  (-0.014892+0.059572j)  (0.001314+0.008034j)  (-0.004433+0.003082j)  (-0.008717+0.068709j)  (0.011970-0.048174j)  (0.002221-0.009305j)  (0.003182-0.001604j)  (-0.013931-0.009501j)  (0.020684-0.009556j)  (0.021986-0.061847j)  (0.002081+0.011570j)  (0.018992+0.011293j)  (-0.012036-0.003617j)  (-0.021587+0.061757j)  (0.012784+0.001047j)  (0.007153+0.010781j)  (0.013039-0.005394j)  (0.015114+0.009068j)  (0.001975+0.000290j)  (0.011298-0.001138j)  (-0.009118+0.013719j)  (-0.008815+0.010493j)  (-0.001331-0.001988j)  (-0.010532+0.000733j)  (0.019860-0.003204j)  (-0.023959+0.036883j)  (-0.016955+0.060731j)
 (-0.004229-0.003672j)  (0.003557+0.001312j)  (-0.006858+0.001499j)  (0.021000-0.005995j)  (-0.005341-0.004219j)  (-0.000272+0.001865j)  (-0.049878-0.071447j)  (-0.002865+0.004564j)  (0.003406-0.002108j)  (-0.006414-0.087274j)  (-0.013359-0.003908j)  (-0.000153+0.003305j)  (-0.003501+0.008263j)  (0.020318-0.078585j)  (-0.003226+0.004142j)  (0.000227-0.008491j)  (-0.000428-0.000246j)  (0.000573-0.001172j)  (-0.018762-0.043606j)  (0.009750-0.064439j)  (0.003714-0.023496j)  (-0.002074-0.008878j)  (0.004038+0.002295j)  (-0.956159+0.018617j)  (-0.018894-0.002542j)  (0.002651+0.005595j)  (0.024662+0.064697j)  (-0.017445-0.010552j)  (-0.015560+0.011924j)  (0.016829+0.035849j)  (-0.009209-0.000699j)  (0.013096-0.007456j)  (0.028317-0.038004j)  (-0.007009+0.004230j)  (-0.035279+0.081266j)  (-0.029597-0.030646j)  (-0.005760-0.012858j)  (-0.030217+0.013161j)  (0.000425-0.006081j)  (-0.016494+0.035715j)  (0.021051-0.002995j)  (0.015013+0.029453j)  (0.049723-0.031942j)  (0.003751+0.008931j)  (-0.014693-0.046695j)  (0.013757-0.017976j)  (-0.015347+0.007674j)  (0.000674-0.009973j)  (-0.017268+0.019733j)  (0.001290+0.002119j)  (0.017172-0.011550j)  (-0.003786-0.003200j)  (-0.012461-0.034131j)  (0.017560+0.003393j)  (-0.004540-0.010292j)  (-0.011088+0.007464j)  (-0.009434+0.018780j)  (-0.101523+0.000022j)  (-0.031046+0.008440j)  (0.005568+0.007816j)  (-0.029160-0.010285j)  (-0.001447+0.017685j)  (0.003011-0.037982j)  (0.034776+0.072752j)
 (-0.010341-0.018087j)  (-0.009941+0.011988j)  (-0.006277+0.041041j)  (-0.006023-0.002847j)  (0.003820-0.007326j)  (0.030887+0.020271j)  (-0.001921+0.001568j)  (0.001757+0.000736j)  (0.008330-0.001916j)  (0.012959+0.082256j)  (0.000506+0.006266j)  (-0.005760+0.001658j)  (-0.002753-0.009434j)  (0.024893+0.026952j)  (-0.000710-0.000994j)  (-0.003158+0.005658j)  (0.004675-0.007425j)  (0.003405-0.001585j)  (0.003567-0.002267j)  (-0.005374-0.003085j)  (0.006230+0.010893j)  (-0.031917-0.025628j)  (0.000717-0.001950j)  (0.003582-0.005390j)  (-0.973276+0.001325j)  (-0.002643-0.042118j)  (-0.004295-0.014023j)  (-0.009718+0.000774j)  (-0.004827-0.004708j)  (0.012216-0.040011j)  (-0.004086+0.055029j)  (0.033459-0.069750j)  (-0.010577+0.028493j)  (-0.011290+0.006163j)  (-0.000750-0.049039j)  (-0.011447-0.008469j)  (-0.003908+0.001231j)  (0.026800+0.054273j)  (0.009835+0.035982j)  (0.010009-0.001998j)  (-0.013949+0.005900j)  (-0.001277+0.001277j)  (-0.021097-0.066647j)  (0.007177+0.015079j)  (-0.011970+0.045232j)  (-0.005435-0.013389j)  (0.009277+0.001908j)  (0.008528-0.003691j)  (0.005269-0.013811j)  (0.009748-0.014953j)  (-0.008415-0.018383j)  (0.010002+0.007657j)  (-0.037813-0.027214j)  (-0.000875+0.002656j)  (0.027351-0.008923j)  (-0.017664-0.048277j)  (-0.013090-0.003689j)  (-0.006370-0.007304j)  (0.006589-0.026088j)  (0.003427+0.012273j)  (0.009026-0.012828j)  (-0.003238-0.000016j)  (0.003565-0.012880j)  (-0.011568+0.000361j)
 (0.004276+0.000555j)  (-0.011774-0.100788j)  (-0.002858+0.005327j)  (-0.003210-0.001313j)  (-0.012300-0.002148j)  (-0.013587+0.004462j)  (-0.003559-0.003253j)  (-0.011892-0.005712j)  (-0.006725+0.006258j)  (0.005139+0.005079j)  (-0.000148+0.001140j)  (-0.000430+0.037310j)  (0.001241+0.100533j)  (0.007235+0.009686j)  (0.014312+0.063992j)  (0.005315+0.012158j)  (0.006451-0.004017j)  (-0.016885+0.000993j)  (-0.007691-0.011890j)  (-0.002574+0.012570j)  (-0.000078+0.001195j)  (-0.032314-0.042331j)  (-0.022407-0.016168j)  (0.000953+0.005104j)  (0.000574-0.039412j)  (-0.966767+0.023146j)  (-0.001457+0.004166j)  (0.000774-0.013471j)  (0.020104-0.004503j)  (0.007699+0.039395j)  (-0.011296-0.004153j)  (0.004754-0.021749j)  (-0.014013-0.008897j)  (-0.044197+0.041875j)  (0.017066-0.012986j)  (-0.002473+0.020106j)  (0.009480+0.018354j)  (0.014605+0.001068j)  (0.014804+0.002647j)  (-0.017734+0.017534j)  (0.002074+0.007137j)  (0.041182+0.015584j)  (0.011890-0.002825j)  (-0.011392+0.011306j)  (0.011185-0.043548j)  (-0.002698-0.009572j)  (-0.008339-0.010525j)  (-0.001792-0.006217j)  (-0.027437-0.043185j)  (-0.002071-0.044607j)  (0.021089-0.038838j)  (0.014649-0.032780j)  (0.015353+0.000604j)  (-0.009951-0.016993j)  (-0.051423+0.018260j)  (-0.008923-0.001893j)  (-0.001061-0.000342j)  (-0.013477+0.011727j)  (0.004077-0.009020j)  (0.020767-0.032853j)  (-0.002722+0.020816j)  (0.007979-0.040490j)  (0.025091+0.039171j)  (-0.003475-0.001385j)
