 (-0.954170+0.000777j)  (-0.001491+0.004088j)  (0.034109+0.007248j)  (0.001802+0.002424j)  (-0.005072-0.001019j)  (0.068034-0.243495j)  (-0.018749+0.008945j)  (-0.007051+0.135993j)  (0.000043-0.001923j)  (0.001443+0.002419j)  (0.000403-0.002989j)  (-0.031715-0.004010j)  (-0.001277-0.006425j)  (-0.004338+0.001683j)  (-0.004323-0.006501j)  (-0.000946-0.002803j)  (-0.001926+0.001055j)  (-0.051764-0.000888j)  (0.004629+0.000597j)  (-0.000176-0.000562j)  (-0.030935+0.000323j)  (-0.001264-0.002752j)  (0.003050+0.001107j)  (-0.000649-0.001614j)  (0.004877+0.004067j)  (0.001309+0.000689j)  (-0.001005+0.005186j)  (0.003430-0.009236j)  (-0.002697+0.017175j)  (-0.005713+0.003169j)  (0.002667+0.002557j)  (0.001755-0.000782j)
 (0.009860-0.000130j)  (-0.000562-0.001092j)  (0.005543-0.001262j)  (0.003400+0.001949j)  (-0.001789-0.000502j)  (-0.008987+0.079547j)  (-0.001493-0.000231j)  (-0.007246-0.008125j)  (0.000404-0.000533j)  (-0.000768-0.000046j)  (0.000093+0.001096j)  (-0.995382-0.014716j)  (-0.000347+0.003127j)  (-0.001307+0.012532j)  (0.003298+0.000052j)  (-0.000661+0.002039j)  (-0.000958-0.001213j)  (0.021498+0.018797j)  (-0.002750-0.002740j)  (0.005629+0.007306j)  (0.003692-0.001887j)  (-0.000586+0.000359j)  (0.000138-0.001069j)  (-0.000805-0.000116j)  (-0.004942+0.000394j)  (0.001166+0.000416j)  (-0.001955-0.000708j)  (0.001821+0.018434j)  (0.000672+0.000376j)  (-0.002803-0.001897j)  (-0.001254+0.000694j)  (0.028065+0.004454j)
 (-0.002572-0.005368j)  (-0.002208-0.002691j)  (-0.001358+0.002113j)  (-0.002941-0.013982j)  (-0.000608-0.004854j)  (-0.000965-0.000429j)  (0.000429-0.001486j)  (-0.011248-0.023732j)  (-0.000976+0.000705j)  (-0.004019+0.000949j)  (0.000785-0.001480j)  (0.002030+0.003702j)  (-0.984545+0.007179j)  (0.003651+0.045430j)  (-0.004959-0.002213j)  (-0.003721+0.001901j)  (-0.003564-0.001388j)  (0.003033-0.000327j)  (-0.042987-0.013955j)  (-0.047001+0.114928j)  (0.002345-0.004954j)  (0.000704-0.000035j)  (0.008764-0.097379j)  (-0.000309+0.000836j)  (0.003079-0.004892j)  (0.000394+0.000861j)  (-0.002172-0.001612j)  (0.010349+0.001667j)  (-0.002620+0.000807j)  (-0.014414-0.005128j)  (-0.002129+0.002049j)  (-0.001084-0.001930j)
 (0.002074+0.002172j)  (-0.019552-0.103067j)  (0.000002-0.013307j)  (0.011486+0.011308j)  (0.119960-0.095489j)  (0.002925+0.003818j)  (-0.007396+0.001769j)  (0.004539+0.000841j)  (-0.000238+0.000784j)  (-0.000277+0.002425j)  (-0.041774-0.009999j)  (0.001170+0.009242j)  (0.000856+0.045239j)  (-0.965990+0.021754j)  (0.005533+0.010470j)  (-0.056331-0.054087j)  (-0.012206-0.000266j)  (0.003889-0.000462j)  (0.020342+0.013671j)  (0.001128+0.016226j)  (-0.001524+0.002177j)  (0.007477-0.001069j)  (0.002364-0.016043j)  (0.000399+0.002372j)  (0.051457+0.045459j)  (-0.002655+0.000125j)  (0.001157+0.001845j)  (0.001366-0.001516j)  (-0.021373-0.068388j)  (-0.008546+0.013532j)  (-0.009375+0.001397j)  (0.000063-0.097622j)
 (0.003369-0.004030j)  (0.015301-0.119584j)  (0.002545-0.001909j)  (0.074795+0.164683j)  (-0.002668+0.008727j)  (0.006355+0.006461j)  (0.011597-0.011736j)  (-0.003088+0.001625j)  (0.001349+0.001740j)  (-0.002510-0.000031j)  (0.003077-0.001805j)  (-0.001518-0.000435j)  (0.003084-0.002169j)  (0.008831+0.016930j)  (-0.974964-0.008551j)  (0.003094+0.004106j)  (-0.019977+0.003386j)  (0.003273+0.002756j)  (0.000213+0.002778j)  (0.001738+0.000650j)  (-0.001405-0.001403j)  (0.003183-0.001225j)  (-0.000345+0.001140j)  (-0.003557-0.017521j)  (0.005119+0.006729j)  (0.001219+0.000507j)  (0.002133+0.002952j)  (0.001422-0.000581j)  (-0.000678+0.000879j)  (0.012276+0.008948j)  (0.004895+0.002323j)  (0.008789+0.000679j)
 (-0.000079-0.002255j)  (0.002150+0.000597j)  (-0.000987-0.001336j)  (0.001553-0.000313j)  (0.003994-0.001631j)  (0.000956+0.001250j)  (-0.000539+0.003384j)  (-0.002849-0.000775j)  (0.001191+0.000086j)  (0.000421+0.000528j)  (-0.002910+0.000886j)  (-0.000201+0.001392j)  (0.001399-0.001076j)  (0.055847-0.058603j)  (-0.003593+0.002554j)  (-0.996362+0.018617j)  (-0.004403+0.005129j)  (0.001584+0.000854j)  (-0.001611-0.000364j)  (0.000458-0.001317j)  (0.005016-0.002195j)  (-0.000577-0.000707j)  (-0.000784-0.001321j)  (-0.003419+0.000274j)  (-0.001441-0.001124j)  (0.004739+0.006076j)  (0.000132+0.000211j)  (0.000208-0.001334j)  (0.002796-0.000972j)  (0.001984-0.001592j)  (0.000511-0.001740j)  (-0.008602+0.003819j)
 (0.003868-0.000673j)  (-0.047759+0.114347j)  (0.000778+0.000213j)  (-0.000591+0.002234j)  (0.007016-0.002502j)  (-0.011206+0.002517j)  (0.001436-0.004785j)  (-0.003185+0.020355j)  (0.001284-0.001027j)  (0.003032+0.000787j)  (-0.002956-0.003081j)  (0.000963-0.000956j)  (0.000454+0.000463j)  (0.002305-0.006371j)  (0.006029-0.000450j)  (0.004882+0.004977j)  (-0.990819+0.005401j)  (0.003426+0.000775j)  (0.002230+0.005032j)  (-0.002136-0.008556j)  (0.001062-0.010735j)  (-0.000670-0.002449j)  (0.023161+0.013508j)  (0.000167+0.000113j)  (-0.004607+0.006319j)  (0.001708-0.006958j)  (0.000897-0.001315j)  (0.001069+0.000164j)  (0.001166-0.003698j)  (-0.003684+0.003686j)  (0.018674+0.024133j)  (-0.001562-0.004096j)
 (0.010282+0.013767j)  (0.001542+0.000121j)  (0.011797-0.001580j)  (0.001733+0.002303j)  (-0.000888-0.002455j)  (0.008930+0.159570j)  (-0.003221-0.005725j)  (0.002031-0.031021j)  (0.000193+0.000391j)  (-0.000893-0.001262j)  (-0.001232+0.001948j)  (-0.011265+0.015233j)  (-0.002207+0.000212j)  (-0.003138+0.000066j)  (-0.001774+0.003648j)  (-0.001282+0.000900j)  (-0.003767-0.001398j)  (-0.976330-0.035113j)  (-0.002673+0.000352j)  (-0.010950-0.004243j)  (0.006180-0.002536j)  (-0.002289-0.000242j)  (0.001250+0.000025j)  (-0.000347+0.001010j)  (-0.001956-0.005976j)  (-0.000080-0.000164j)  (0.000482-0.003838j)  (0.024606-0.131322j)  (0.003061-0.001237j)  (-0.000071-0.001741j)  (-0.001315-0.001878j)  (0.001056+0.000539j)
 (-0.003674-0.000278j)  (-0.001372-0.001888j)  (-0.023915+0.017456j)  (0.001066+0.001534j)  (-0.026947-0.166169j)  (-0.005997-0.008225j)  (0.007728+0.000084j)  (0.004590+0.001055j)  (0.000857-0.000878j)  (-0.001185+0.001358j)  (0.003748-0.001958j)  (0.001972-0.001851j)  (0.042737-0.011751j)  (-0.008289-0.010184j)  (-0.001267+0.003199j)  (0.001861-0.002224j)  (-0.001649+0.003799j)  (0.001143+0.001489j)  (-0.983810+0.007394j)  (-0.004892-0.009199j)  (0.001834-0.001257j)  (-0.000286+0.002169j)  (0.014161-0.003858j)  (0.000090+0.002204j)  (-0.000253-0.003250j)  (-0.000763-0.000437j)  (0.000941-0.000731j)  (-0.002933+0.000805j)  (0.003009-0.000013j)  (0.001532-0.000046j)  (-0.001247-0.000159j)  (0.006244-0.004487j)
 (-0.001389+0.000427j)  (-0.010456-0.012697j)  (-0.000065+0.000461j)  (-0.003035-0.004007j)  (0.023717-0.018326j)  (0.000880+0.000635j)  (-0.002897+0.000661j)  (-0.002979-0.002293j)  (0.000742+0.000351j)  (0.017063+0.095134j)  (-0.036338-0.009591j)  (-0.003955+0.006625j)  (0.049623+0.112161j)  (0.011582+0.012914j)  (-0.001443-0.000696j)  (-0.000388+0.000454j)  (0.001053-0.006109j)  (0.003218-0.001503j)  (0.007606+0.000178j)  (-0.983842+0.007884j)  (-0.000437-0.001168j)  (0.000187+0.002169j)  (-0.018016-0.002322j)  (-0.000970-0.000336j)  (0.002295-0.005863j)  (0.001524+0.002667j)  (0.000330-0.000022j)  (0.011755+0.061083j)  (0.009669+0.010909j)  (0.004262-0.002464j)  (0.001729+0.002484j)  (-0.000455+0.000251j)
 (0.011346-0.002678j)  (-0.002253-0.000036j)  (-0.002832-0.004823j)  (0.000654-0.002938j)  (-0.002373-0.002535j)  (0.005803-0.012723j)  (0.008671-0.000981j)  (0.036514-0.168285j)  (-0.001681+0.000471j)  (-0.002140+0.000485j)  (0.000649-0.000550j)  (-0.003625-0.000922j)  (0.001549-0.002455j)  (0.002187+0.000055j)  (0.000804-0.001325j)  (-0.004875-0.001449j)  (-0.004611-0.010431j)  (-0.002600-0.003024j)  (-0.001308-0.002202j)  (0.000612-0.000772j)  (-0.984599-0.011917j)  (0.002335-0.000691j)  (-0.003756-0.001824j)  (-0.001551+0.000772j)  (0.005419+0.003791j)  (-0.000984+0.000377j)  (0.002751+0.000178j)  (0.000122-0.000487j)  (-0.000206+0.000462j)  (-0.000539+0.001061j)  (-0.000066+0.002642j)  (-0.000311+0.000307j)
 (-0.000201-0.001200j)  (-0.001228-0.001989j)  (-0.000434-0.000213j)  (0.001529-0.000515j)  (-0.002351+0.009080j)  (0.003079+0.000242j)  (0.000942-0.000233j)  (0.000122-0.000891j)  (0.021466-0.008716j)  (0.001356+0.001306j)  (0.002259-0.008698j)  (0.000496+0.000021j)  (-0.000336+0.000326j)  (-0.001869-0.000618j)  (-0.003022-0.001768j)  (0.000456-0.001045j)  (0.000683-0.002459j)  (0.002366-0.000927j)  (-0.001217+0.001267j)  (-0.001265+0.002241j)  (-0.002234-0.000765j)  (-0.995445+0.007930j)  (-0.000373+0.000557j)  (0.000002+0.000026j)  (0.006030-0.000234j)  (-0.000076+0.000987j)  (-0.005957-0.028044j)  (0.000553+0.001008j)  (-0.030320-0.080364j)  (-0.000054+0.000010j)  (-0.000580+0.000177j)  (-0.002846-0.001634j)
 (-0.001344+0.001068j)  (0.000972+0.002274j)  (0.001117-0.000670j)  (0.001166-0.000359j)  (0.000572-0.001678j)  (0.001446+0.001339j)  (0.004482+0.000245j)  (0.004830+0.009816j)  (0.002055+0.000385j)  (0.000078+0.002055j)  (0.000323-0.000035j)  (-0.000651-0.001181j)  (-0.013128-0.098035j)  (-0.007900-0.015858j)  (0.000507+0.000601j)  (0.001484-0.002825j)  (-0.022453+0.013826j)  (-0.001312+0.000341j)  (-0.013212-0.007540j)  (0.005900-0.006526j)  (0.002457-0.001167j)  (0.000252+0.000344j)  (-0.994052+0.022174j)  (0.000558-0.001201j)  (-0.001506+0.000495j)  (-0.000031-0.000635j)  (-0.007815+0.002590j)  (0.000203+0.000345j)  (-0.000322+0.000785j)  (0.000916+0.000253j)  (-0.000086-0.000429j)  (-0.001060-0.001349j)
 (-0.000307-0.001111j)  (-0.003188-0.000180j)  (-0.000802-0.000514j)  (0.000254-0.002059j)  (0.001772-0.000742j)  (0.001186+0.004199j)  (0.000041-0.000270j)  (0.000440+0.000686j)  (-0.000262+0.000194j)  (-0.000593+0.000177j)  (0.000183+0.000246j)  (0.001160-0.000404j)  (0.000453+0.000633j)  (0.000034+0.002259j)  (0.003375-0.018583j)  (0.003261+0.000380j)  (0.000032+0.000309j)  (0.001074+0.000727j)  (-0.000058+0.002593j)  (0.001087-0.000204j)  (0.001446+0.000918j)  (0.000064+0.000143j)  (-0.000706-0.001190j)  (-0.999725+0.010450j)  (0.000159+0.000807j)  (0.000035+0.000099j)  (0.000573+0.000255j)  (-0.001070-0.001725j)  (0.000167-0.000825j)  (-0.000050+0.000449j)  (0.000766+0.000352j)  (0.000324-0.002031j)
 (-0.004314+0.000925j)  (0.006082-0.000015j)  (-0.004383-0.029526j)  (0.026297+0.006851j)  (0.005210-0.000492j)  (0.003470-0.009192j)  (-0.016836+0.175791j)  (-0.002507-0.023296j)  (0.000202+0.001252j)  (-0.059534+0.018684j)  (0.019510+0.063040j)  (0.004909+0.000623j)  (-0.000628+0.000190j)  (-0.050717+0.046720j)  (-0.004501+0.005195j)  (-0.003218-0.001721j)  (0.000875+0.002991j)  (0.001167-0.008025j)  (-0.000374-0.000745j)  (-0.002849-0.001355j)  (-0.001769+0.004302j)  (-0.006625+0.001412j)  (0.000737-0.000208j)  (-0.000196+0.000817j)  (-0.967405+0.022407j)  (-0.002589+0.001392j)  (0.025408+0.002428j)  (-0.001085-0.001707j)  (0.003279-0.001264j)  (-0.012384-0.083417j)  (0.053273-0.078761j)  (0.001057+0.002406j)
 (-0.000899+0.000780j)  (0.000225-0.001310j)  (0.000010-0.000882j)  (-0.002223-0.000694j)  (-0.000571+0.000343j)  (0.000431-0.000576j)  (0.002102-0.002245j)  (-0.000403+0.002499j)  (-0.000313-0.000179j)  (0.000858-0.000148j)  (0.000400-0.000446j)  (-0.001215+0.000417j)  (0.000002+0.000749j)  (0.002591-0.000346j)  (-0.001260+0.000978j)  (-0.004464+0.006365j)  (-0.001989-0.006857j)  (-0.000041-0.000184j)  (0.000643-0.000463j)  (-0.001317+0.002677j)  (0.000692+0.000368j)  (0.000003+0.000972j)  (-0.000156-0.000404j)  (-0.000080+0.000097j)  (0.001827+0.000774j)  (-0.999880+0.007990j)  (0.000177-0.000866j)  (0.000142+0.000088j)  (0.000451+0.001485j)  (0.000777-0.000161j)  (-0.001454+0.000441j)  (0.000566+0.001724j)
 (-0.000188+0.001624j)  (0.001028-0.001705j)  (0.000020+0.001663j)  (0.011987+0.003754j)  (0.000053-0.001009j)  (-0.006095-0.000559j)  (0.009326+0.090534j)  (0.004243-0.011585j)  (-0.000236+0.000974j)  (0.001418-0.003028j)  (-0.001999-0.005376j)  (0.001994-0.000170j)  (0.001870-0.000216j)  (-0.001237+0.001605j)  (-0.001320+0.002456j)  (0.000071+0.000257j)  (-0.001320-0.001493j)  (-0.000883-0.002862j)  (-0.000481-0.000141j)  (-0.000416-0.000594j)  (-0.000750+0.001204j)  (0.005533-0.027969j)  (0.007865+0.002925j)  (-0.000680+0.000304j)  (-0.008616+0.001573j)  (-0.000461-0.000666j)  (-0.995020+0.000808j)  (0.000779+0.001720j)  (0.001061+0.001276j)  (0.010036-0.005482j)  (0.010646-0.001370j)  (-0.000229-0.000005j)
 (-0.002127+0.000653j)  (-0.000817-0.000703j)  (-0.000748-0.000545j)  (-0.001953-0.001317j)  (0.001800+0.001382j)  (0.009749+0.003421j)  (-0.004274+0.001237j)  (-0.004117+0.002641j)  (0.001150+0.000463j)  (-0.003564+0.000649j)  (0.002417-0.002760j)  (-0.004071+0.015360j)  (-0.002821-0.000452j)  (0.000201-0.001456j)  (-0.002084-0.000876j)  (-0.000360-0.001533j)  (-0.001919-0.000297j)  (-0.023355-0.135485j)  (0.001671+0.000562j)  (-0.009402+0.062020j)  (-0.000339-0.000724j)  (0.000003+0.000649j)  (-0.000535+0.000663j)  (0.000868-0.001884j)  (0.002198-0.001596j)  (0.000082+0.000024j)  (-0.000468+0.002168j)  (-0.987818+0.029585j)  (-0.000497-0.002874j)  (0.001302+0.000608j)  (-0.000699-0.000292j)  (-0.001213-0.000268j)
 (0.004094+0.018859j)  (-0.004183+0.002137j)  (0.002408-0.000165j)  (0.001921+0.001182j)  (-0.007414+0.002119j)  (0.001621-0.003058j)  (0.005725+0.001039j)  (-0.002555-0.001879j)  (0.001841+0.000607j)  (0.020739+0.098716j)  (-0.005043+0.006193j)  (-0.002038-0.000139j)  (0.000420-0.001178j)  (0.020192-0.072265j)  (-0.000329-0.001144j)  (0.002547-0.003589j)  (0.000057-0.002758j)  (-0.002874-0.001219j)  (-0.002721-0.000912j)  (-0.000979+0.008762j)  (0.000689-0.000327j)  (0.028990-0.079882j)  (0.001644+0.001727j)  (-0.000342-0.000948j)  (-0.007148-0.004910j)  (-0.000454+0.001341j)  (0.001189+0.001360j)  (0.001162-0.003698j)  (-0.987837+0.007383j)  (-0.002660-0.000205j)  (0.002195+0.000645j)  (-0.003249-0.015891j)
 (0.005367-0.002149j)  (-0.000280+0.000543j)  (-0.000260+0.000965j)  (0.013385+0.006131j)  (-0.000342-0.001568j)  (-0.010171+0.002824j)  (-0.014056+0.089175j)  (0.004940+0.000005j)  (-0.001381-0.000509j)  (0.004676-0.005868j)  (0.002590+0.000468j)  (0.002610-0.000934j)  (0.014243-0.005169j)  (0.006680+0.005142j)  (-0.012033+0.007775j)  (-0.001432-0.000598j)  (0.003546+0.004096j)  (0.000312-0.000230j)  (-0.000409+0.000553j)  (-0.004022-0.005060j)  (0.000301+0.002069j)  (0.000100-0.000332j)  (-0.000790+0.002129j)  (-0.000197+0.000246j)  (0.023851-0.083867j)  (-0.001085-0.000146j)  (-0.002070-0.002113j)  (-0.001413+0.000547j)  (0.002228+0.000754j)  (-0.990988+0.020229j)  (0.006220+0.023032j)  (-0.011749-0.001675j)
 (-0.003406+0.000233j)  (0.002036-0.002367j)  (0.001885+0.001710j)  (0.007149+0.017823j)  (-0.001017-0.001391j)  (-0.005619-0.001058j)  (0.017072+0.073007j)  (-0.006073-0.003429j)  (0.002096+0.001679j)  (0.007425+0.003052j)  (0.001896+0.000757j)  (0.001415+0.001261j)  (0.002079+0.001090j)  (0.004291-0.001961j)  (-0.001903+0.003410j)  (0.000388-0.001567j)  (-0.018761+0.025597j)  (0.001477-0.001424j)  (0.002222+0.000155j)  (-0.000942+0.000817j)  (-0.000340+0.001509j)  (0.000223-0.000381j)  (0.000781+0.000092j)  (-0.000957+0.000420j)  (-0.047459-0.082172j)  (0.001027+0.000283j)  (-0.003346-0.000861j)  (0.000896-0.000706j)  (-0.000555+0.001117j)  (0.007244+0.014911j)  (-0.991279+0.028534j)  (0.001657-0.001781j)
