 (0.000922+0.000324j)  (-0.001887-0.000041j)  (0.002991+0.000507j)  (0.002127-0.000882j)  (-0.003479-0.001026j)  (0.000963+0.001687j)  (0.005609+0.000723j)  (0.001152-0.001565j)  (0.007324-0.006505j)  (-0.001916-0.003003j)  (0.001887+0.010811j)  (-0.000622-0.001020j)  (0.001265+0.000043j)  (0.002729-0.002171j)  (-0.001004-0.000412j)  (0.000505+0.000068j)  (0.002722+0.003026j)  (-0.000681-0.001244j)  (0.002528+0.003133j)  (0.000404-0.000445j)  (0.000812-0.000626j)  (-0.995015-0.007099j)  (0.000593+0.000199j)  (-0.002029+0.000414j)  (-0.004644+0.002820j)  (0.000908+0.000970j)  (-0.026401+0.056505j)  (0.000706+0.000338j)  (-0.010606-0.074079j)  (0.001435-0.002218j)  (0.000504-0.002222j)  (0.000906-0.001285j)
 (-0.000245+0.000450j)  (0.002945+0.001478j)  (0.000739-0.004452j)  (0.000854-0.000076j)  (-0.000825+0.000528j)  (-0.001980+0.001381j)  (0.003361+0.004651j)  (-0.000763+0.003010j)  (0.001252-0.000736j)  (0.000167-0.001418j)  (0.001357-0.000715j)  (0.000293+0.000962j)  (-0.003233+0.006151j)  (0.003497-0.000612j)  (-0.004810+0.000824j)  (-0.001861+0.001571j)  (-0.000450+0.000450j)  (-0.001389+0.001694j)  (-0.002531+0.001533j)  (-0.003292-0.000950j)  (0.000322-0.000126j)  (-0.000273+0.000019j)  (-0.999870-0.001946j)  (-0.000027+0.000050j)  (-0.001225-0.001524j)  (-0.000314-0.000080j)  (0.000925+0.006147j)  (0.000811-0.000938j)  (0.000057+0.000502j)  (0.001074+0.001099j)  (0.001500-0.000235j)  (-0.000590-0.000777j)
 (0.001061-0.000189j)  (-0.014398+0.017596j)  (0.000082+0.000763j)  (0.000155-0.001001j)  (-0.000971-0.000056j)  (-0.000056-0.002277j)  (-0.009182+0.001401j)  (0.000338+0.002012j)  (0.000286+0.000757j)  (-0.001636+0.002330j)  (0.000397+0.001111j)  (-0.001461-0.001679j)  (0.000207+0.000372j)  (-0.001236+0.001459j)  (0.001162+0.001471j)  (-0.004322+0.001658j)  (-0.001804+0.002451j)  (-0.001042+0.002250j)  (0.002311+0.000287j)  (0.000635-0.000596j)  (-0.000721-0.000505j)  (0.001796+0.000660j)  (-0.000132+0.000295j)  (-0.995837-0.003684j)  (-0.001339-0.002031j)  (0.000891+0.000811j)  (-0.002574-0.004484j)  (-0.001015-0.001599j)  (0.000119-0.002188j)  (-0.013611-0.012526j)  (-0.025977+0.080919j)  (0.000637+0.000604j)
 (0.000430-0.000752j)  (0.004893+0.003123j)  (-0.040694-0.009960j)  (0.006523-0.006144j)  (-0.002027+0.000797j)  (-0.004432+0.013709j)  (-0.010443+0.162675j)  (0.016245+0.007480j)  (0.001808+0.001038j)  (-0.019051+0.002772j)  (-0.056798+0.052213j)  (0.005813-0.003049j)  (0.000797-0.003015j)  (0.101301+0.111347j)  (0.016067-0.024859j)  (0.000104+0.000213j)  (0.004366-0.005162j)  (-0.005433+0.011330j)  (0.001524-0.005049j)  (-0.004506+0.000853j)  (0.001057+0.000182j)  (0.005753+0.006761j)  (0.002118-0.000352j)  (-0.002410-0.005304j)  (-0.966470+0.005874j)  (-0.002020+0.000896j)  (-0.035562-0.000582j)  (0.000642+0.000730j)  (-0.003320+0.001508j)  (-0.000966+0.060068j)  (0.017783-0.036962j)  (-0.001347-0.007885j)
 (-0.001228-0.000607j)  (-0.000998+0.000028j)  (0.000677-0.000499j)  (-0.001491+0.000516j)  (-0.000040+0.000506j)  (-0.000255-0.004101j)  (0.002308-0.002623j)  (0.001056+0.001734j)  (-0.000320-0.000018j)  (0.000439+0.001250j)  (-0.000475-0.000861j)  (0.000568+0.000608j)  (-0.000258-0.000342j)  (0.002160+0.000767j)  (-0.002141-0.000884j)  (0.000435+0.001169j)  (-0.000906+0.003698j)  (0.001032-0.000146j)  (0.000342-0.000143j)  (-0.000842+0.002594j)  (-0.000794+0.000430j)  (-0.000899+0.000942j)  (0.000328-0.000087j)  (-0.000785+0.000784j)  (0.001699+0.000408j)  (-0.999943-0.004584j)  (-0.000334+0.001496j)  (-0.000607-0.000111j)  (0.000188+0.000774j)  (0.000320-0.001113j)  (0.000224+0.001481j)  (0.000283+0.000008j)
 (-0.000050-0.001325j)  (0.003679-0.004150j)  (-0.000501-0.002534j)  (-0.001660-0.018092j)  (-0.000449+0.002138j)  (0.014783+0.016209j)  (0.051630-0.145851j)  (-0.010810+0.001675j)  (-0.000246+0.000358j)  (-0.003648-0.000677j)  (0.008866+0.000686j)  (-0.005089+0.013676j)  (-0.005642-0.008879j)  (-0.049866-0.138618j)  (-0.014350+0.013983j)  (-0.000483+0.009381j)  (-0.000145+0.151440j)  (-0.009789-0.010532j)  (-0.007560-0.002337j)  (0.003130-0.001088j)  (0.000887-0.000080j)  (0.024855+0.054606j)  (-0.001371+0.004504j)  (0.002040-0.002179j)  (-0.012239-0.019072j)  (0.001075+0.000895j)  (-0.959471-0.024104j)  (-0.006061+0.005885j)  (0.001552-0.003733j)  (0.060373+0.010438j)  (-0.004223+0.009358j)  (0.002038+0.000954j)
 (-0.000082+0.001745j)  (-0.001801-0.001006j)  (-0.001120-0.002920j)  (-0.005392+0.001099j)  (-0.003170+0.003423j)  (-0.016590-0.011262j)  (-0.003291+0.036243j)  (-0.005629-0.004146j)  (0.000189+0.000428j)  (0.000311+0.000548j)  (-0.000813+0.000467j)  (-0.000035-0.006549j)  (-0.001888-0.004053j)  (-0.004128+0.005574j)  (0.001592-0.002362j)  (-0.000645-0.001885j)  (-0.003533+0.004448j)  (0.007486-0.143515j)  (-0.000502+0.002769j)  (0.005359+0.006163j)  (0.001062+0.001046j)  (0.000031+0.000429j)  (-0.000914-0.000491j)  (0.001253-0.001888j)  (0.003888+0.003160j)  (0.000614-0.000239j)  (0.000896+0.009221j)  (-0.988453-0.001044j)  (0.000690-0.002085j)  (-0.008570+0.003233j)  (-0.001635+0.004413j)  (-0.000176+0.000232j)
 (-0.011737-0.001006j)  (0.003540-0.002926j)  (-0.001956+0.001497j)  (0.000378+0.002315j)  (-0.000566+0.001372j)  (-0.000097-0.000089j)  (-0.001212+0.001028j)  (0.001734-0.001079j)  (0.000853+0.000930j)  (-0.017304-0.097951j)  (-0.007194+0.010842j)  (-0.000997-0.000626j)  (-0.000179-0.001173j)  (0.002116+0.002436j)  (-0.001566-0.001488j)  (0.000411-0.000793j)  (0.000797+0.002095j)  (0.001836-0.000595j)  (-0.000106-0.000143j)  (0.015537+0.051173j)  (0.000002-0.000501j)  (0.012408-0.072726j)  (-0.000106+0.000377j)  (-0.000247-0.002054j)  (0.004820+0.002733j)  (-0.000268+0.000705j)  (-0.005657-0.006005j)  (-0.000203-0.001616j)  (-0.990493-0.015195j)  (0.000148-0.001889j)  (-0.000793+0.001250j)  (0.000524-0.002001j)
 (0.000775-0.001163j)  (-0.000960+0.002380j)  (0.000821+0.006120j)  (0.002494+0.004460j)  (0.002276+0.000217j)  (0.003255-0.039759j)  (0.096786-0.183043j)  (-0.005926-0.040259j)  (-0.001514+0.000252j)  (-0.001917+0.001380j)  (-0.008740+0.003050j)  (-0.007781+0.007390j)  (0.005604+0.007431j)  (-0.012994+0.008674j)  (-0.092015-0.093788j)  (-0.005021+0.003052j)  (-0.007886-0.012049j)  (0.004836-0.014498j)  (0.027309-0.107087j)  (0.000274+0.001245j)  (-0.000899+0.000536j)  (0.001096-0.002358j)  (-0.001680+0.000878j)  (0.006858-0.005917j)  (-0.026848+0.039832j)  (0.000613-0.000931j)  (-0.031589+0.016882j)  (0.003641+0.002149j)  (0.000122-0.001690j)  (-0.955426+0.002295j)  (-0.038923-0.072359j)  (0.002200+0.001924j)
 (-0.000894+0.000048j)  (0.001592-0.000694j)  (0.000336-0.001958j)  (-0.016249+0.019706j)  (-0.002381-0.001080j)  (-0.002933+0.012256j)  (-0.022986+0.076071j)  (0.002126+0.001702j)  (-0.001276-0.000180j)  (-0.003318-0.000459j)  (0.004859+0.005927j)  (0.003914-0.000783j)  (-0.003931-0.000705j)  (-0.013066+0.001407j)  (0.000470+0.000600j)  (0.001668-0.001055j)  (0.002777-0.007679j)  (-0.004395+0.005760j)  (-0.004177-0.001591j)  (-0.000877-0.001267j)  (-0.001295-0.000168j)  (-0.000144-0.001422j)  (-0.001176+0.000131j)  (0.026235+0.081061j)  (-0.010783-0.035046j)  (-0.000468+0.001428j)  (-0.008161+0.003143j)  (0.002969+0.004878j)  (0.000877+0.000727j)  (0.021700-0.069656j)  (-0.989130-0.002063j)  (0.001335+0.000174j)
 (0.000766+0.000111j)  (0.001066-0.000278j)  (0.000717+0.000308j)  (0.001508-0.002362j)  (-0.000172+0.000770j)  (-0.000668+0.001384j)  (0.000063+0.000252j)  (0.000533+0.000337j)  (0.000629+0.001000j)  (-0.002281+0.000616j)  (-0.000959+0.001262j)  (-0.002046-0.002631j)  (0.001515+0.001597j)  (-0.023500+0.015194j)  (-0.000600-0.002410j)  (0.000171+0.001020j)  (0.001050-0.001379j)  (-0.001143+0.001507j)  (-0.003191-0.001822j)  (-0.001069-0.000846j)  (0.000294+0.000957j)  (-0.000915-0.001026j)  (0.000507-0.000701j)  (-0.000547+0.000621j)  (0.001260-0.003810j)  (-0.000348+0.000063j)  (-0.003367-0.003049j)  (0.000097+0.000127j)  (-0.000468-0.002239j)  (-0.001661+0.001956j)  (-0.001011+0.000104j)  (-0.999525-0.006587j)
