 (-0.947647+0.001942j)  (-0.040745-0.013713j)  (-0.011534+0.014969j)  (-0.034266+0.010947j)  (0.027726-0.008265j)  (0.025623-0.012308j)  (0.027863+0.014083j)  (0.018181-0.000819j)  (-0.013526+0.000021j)  (-0.017982-0.007448j)  (0.082227-0.121369j)  (-0.022103+0.010364j)  (0.015965-0.007070j)  (-0.008072-0.008908j)  (0.008183-0.079079j)  (-0.009265+0.002124j)  (-0.012784-0.018383j)  (-0.041625-0.076632j)  (-0.015479-0.006550j)  (0.007411+0.000482j)  (-0.003269-0.071661j)  (0.018007+0.077159j)  (0.000884-0.014090j)  (0.005007+0.012602j)  (0.015754-0.000215j)  (0.009829-0.003683j)  (-0.016233-0.086137j)  (-0.000140+0.007664j)  (-0.001977-0.013319j)  (-0.011050+0.001732j)  (0.008122+0.034370j)  (-0.036869-0.075154j)  (0.008056+0.001449j)  (-0.022579+0.079444j)  (-0.023347-0.000781j)  (0.022991+0.004945j)  (-0.007838-0.009385j)  (-0.000525-0.003967j)  (-0.007236+0.016221j)  (-0.010572+0.005935j)  (-0.000193+0.010191j)  (-0.017342+0.001520j)  (-0.012046+0.023027j)  (-0.007690-0.014917j)  (0.000347+0.000342j)  (-0.028844+0.018636j)  (0.015841+0.003427j)  (0.006338-0.004764j)  (0.037438-0.007258j)  (0.017074+0.020737j)  (-0.001105-0.002131j)  (0.001702-0.008456j)  (-0.010750-0.001286j)  (0.010553+0.059192j)  (0.008664+0.016226j)  (-0.002010-0.019601j)  (0.017706-0.000822j)  (-0.000961-0.002646j)  (0.006536-0.010252j)  (-0.016716+0.001653j)  (0.029013-0.051653j)  (0.013218+0.059030j)  (-0.046689-0.023319j)  (-0.015598-0.001452j)
 (0.005237+0.010475j)  (0.001276+0.004850j)  (-0.024781+0.003539j)  (0.015375-0.011148j)  (0.005338+0.064404j)  (0.003696-0.000408j)  (-0.002197+0.004370j)  (0.026947+0.007244j)  (-0.023257-0.001595j)  (-0.011174-0.003834j)  (-0.022910-0.000492j)  (-0.938755+0.015139j)  (-0.001089-0.002447j)  (0.021904-0.020503j)  (-0.006178+0.056399j)  (-0.014384-0.005118j)  (-0.031873+0.081338j)  (0.020260+0.011737j)  (-0.008084+0.003629j)  (-0.004784+0.013879j)  (0.012186-0.089209j)  (-0.027896-0.021004j)  (0.015617+0.003466j)  (-0.013469+0.003933j)  (0.034152+0.065033j)  (-0.020411-0.010013j)  (0.005599-0.015929j)  (0.005729-0.007083j)  (0.001546-0.006335j)  (-0.009708-0.033257j)  (0.001199+0.004179j)  (-0.023633-0.007825j)  (-0.034934-0.011928j)  (0.009455-0.025328j)  (0.002704+0.008729j)  (0.004225-0.009180j)  (-0.023841-0.111814j)  (0.009636+0.012101j)  (-0.004744-0.068210j)  (0.017350-0.045492j)  (0.037609-0.002720j)  (0.038994+0.087869j)  (-0.042765-0.100049j)  (0.017332+0.008910j)  (0.010547-0.022461j)  (-0.028540-0.042291j)  (-0.006784+0.014559j)  (-0.029080+0.010570j)  (-0.017851-0.056014j)  (-0.022448-0.037363j)  (-0.015766+0.020370j)  (0.015672+0.002402j)  (0.005806-0.025954j)  (0.014295-0.033989j)  (0.004439-0.017760j)  (0.009905+0.033871j)  (-0.017080-0.059251j)  (-0.010387+0.023470j)  (0.003048-0.007492j)  (0.014784+0.031250j)  (-0.019235+0.062156j)  (-0.018850-0.012493j)  (-0.043627+0.061243j)  (0.020547-0.063043j)
 (-0.007515-0.008075j)  (-0.017108+0.003795j)  (-0.011240-0.012395j)  (-0.011632+0.013611j)  (-0.004799-0.007772j)  (-0.023372-0.084512j)  (-0.001965-0.005589j)  (-0.025428-0.006022j)  (-0.003401-0.013670j)  (-0.004370+0.000528j)  (0.001512+0.009141j)  (-0.001955+0.001884j)  (-0.962819-0.007181j)  (-0.001821-0.008223j)  (-0.011271+0.001679j)  (0.029611-0.006162j)  (0.003217-0.002567j)  (0.010796+0.001566j)  (-0.015596+0.005976j)  (-0.025727-0.044003j)  (0.006854-0.010230j)  (-0.022152-0.000947j)  (-0.008781+0.009492j)  (0.006922-0.064908j)  (-0.000659+0.001098j)  (-0.005209+0.013916j)  (-0.021317+0.004779j)  (0.003107-0.019576j)  (0.010615+0.044714j)  (0.005698+0.002421j)  (-0.051548+0.097318j)  (0.021783-0.018503j)  (-0.014678-0.006013j)  (0.012706+0.020866j)  (-0.011312-0.011630j)  (0.028583+0.016817j)  (0.005717+0.003005j)  (-0.019332+0.070170j)  (0.009700+0.008346j)  (-0.008121+0.003896j)  (0.016252-0.007973j)  (0.011629-0.003402j)  (0.005410-0.011022j)  (0.004924-0.057702j)  (-0.031935-0.006889j)  (-0.026065-0.033406j)  (0.027043-0.005138j)  (0.008604-0.003452j)  (0.000691+0.035348j)  (0.018779-0.064430j)  (-0.005237-0.002712j)  (0.003271-0.008079j)  (0.002036-0.004110j)  (0.004172+0.012200j)  (-0.017537+0.043816j)  (-0.004222-0.009354j)  (-0.000813-0.009827j)  (0.005326-0.007724j)  (0.018150+0.014715j)  (0.079704+0.036653j)  (0.010186-0.047993j)  (0.045572+0.012699j)  (-0.011172-0.015777j)  (-0.019657-0.003483j)
 (0.004883-0.013520j)  (-0.002677-0.000909j)  (-0.000102+0.005305j)  (0.005663+0.010090j)  (0.024712-0.059437j)  (-0.003576-0.004551j)  (0.006348-0.005232j)  (0.015996+0.002797j)  (0.006616+0.007674j)  (-0.005872+0.001062j)  (0.004566+0.001612j)  (-0.014324-0.008408j)  (0.004290-0.004839j)  (-0.973379-0.000030j)  (0.010588+0.001145j)  (0.028240-0.001619j)  (-0.012515+0.000888j)  (-0.010937-0.006402j)  (0.005958+0.010043j)  (0.036494-0.092167j)  (-0.000799+0.003288j)  (0.015279-0.013241j)  (0.003141+0.011920j)  (0.012171-0.000804j)  (-0.010497+0.012542j)  (0.000863+0.006866j)  (-0.004482+0.000930j)  (0.003682+0.007183j)  (0.003188+0.007439j)  (0.001010-0.011818j)  (0.009470-0.010134j)  (0.013744-0.003272j)  (0.007685-0.007718j)  (0.005106-0.010366j)  (-0.003414-0.000415j)  (0.006986-0.056730j)  (-0.004127-0.046756j)  (-0.016600+0.000487j)  (0.011438-0.001865j)  (-0.008146+0.008002j)  (0.004545-0.021725j)  (-0.100795+0.023101j)  (-0.007981-0.012263j)  (0.005636-0.004649j)  (-0.007485+0.030410j)  (0.005641-0.007858j)  (0.021844+0.051637j)  (0.012147+0.004700j)  (-0.024976+0.004683j)  (-0.012243-0.041210j)  (0.010759-0.033632j)  (0.013918-0.006284j)  (0.011086+0.010352j)  (0.007523-0.001066j)  (0.002535+0.014045j)  (-0.004673-0.001460j)  (-0.007973-0.002124j)  (-0.032630+0.028228j)  (0.006632-0.002124j)  (0.003572+0.006744j)  (-0.007828+0.065554j)  (-0.002522-0.004413j)  (-0.019079+0.012846j)  (0.025103+0.008298j)
 (-0.017373-0.088619j)  (-0.004070-0.005868j)  (0.003304+0.012775j)  (0.009843+0.015851j)  (0.005594-0.005819j)  (-0.017579-0.020901j)  (0.023340-0.048433j)  (0.004486-0.006751j)  (0.013966+0.037936j)  (-0.003648+0.003619j)  (-0.018977-0.008545j)  (0.013443+0.052876j)  (0.016925+0.005791j)  (-0.008748-0.002995j)  (-0.959734+0.011649j)  (0.005070+0.019991j)  (0.037124+0.003929j)  (0.005714+0.079624j)  (-0.005842-0.021988j)  (0.012320-0.004673j)  (0.006412+0.002450j)  (-0.021662-0.012446j)  (-0.015353-0.011438j)  (-0.021797-0.001818j)  (-0.002249+0.004161j)  (-0.013254-0.006546j)  (-0.000984-0.004701j)  (0.024711-0.010162j)  (0.001775-0.012431j)  (0.013592-0.015120j)  (-0.010214-0.000845j)  (0.021008-0.008365j)  (-0.019279-0.061817j)  (0.003138+0.008022j)  (0.015685+0.030276j)  (-0.007205-0.009068j)  (-0.001433-0.006338j)  (-0.017395+0.011454j)  (0.005502+0.006878j)  (-0.008510-0.017864j)  (-0.015688-0.037881j)  (-0.010462+0.007339j)  (-0.021993-0.017282j)  (0.009350+0.030505j)  (-0.009536-0.015384j)  (-0.002622-0.001382j)  (0.007041+0.004959j)  (0.000125-0.000347j)  (-0.003015-0.036459j)  (0.014653+0.011366j)  (-0.065705+0.029907j)  (-0.008888-0.025376j)  (-0.005062-0.005530j)  (-0.026835+0.080474j)  (-0.000179-0.024974j)  (-0.007943-0.006941j)  (-0.053754-0.069516j)  (-0.005863-0.008456j)  (0.011175+0.049926j)  (0.011600-0.005620j)  (0.049245-0.019584j)  (0.003513-0.066784j)  (0.008770+0.018892j)  (-0.005661+0.060924j)
 (0.007521-0.008528j)  (0.006847+0.008190j)  (-0.044374+0.077039j)  (0.021115+0.000388j)  (-0.009166-0.002424j)  (-0.007967-0.049784j)  (-0.000197+0.004134j)  (0.008755+0.064302j)  (-0.003288+0.000536j)  (-0.055231+0.049856j)  (0.003676-0.006465j)  (0.021493-0.002071j)  (-0.006843-0.007410j)  (-0.009529+0.006462j)  (0.001397+0.010638j)  (-0.946947+0.006159j)  (-0.011150+0.006699j)  (0.033203+0.000311j)  (-0.011890-0.017483j)  (0.029385-0.090423j)  (-0.016993-0.011598j)  (0.020468+0.004107j)  (-0.016258+0.009618j)  (-0.015825-0.037661j)  (-0.016367-0.019483j)  (-0.014962+0.000782j)  (-0.012184-0.016804j)  (-0.000624-0.008859j)  (-0.012035+0.013770j)  (0.014124+0.007126j)  (-0.016754+0.009040j)  (0.006848+0.008217j)  (-0.000310-0.016374j)  (0.004662-0.064553j)  (-0.025556-0.010749j)  (0.031790+0.000755j)  (0.038473-0.110985j)  (-0.014082-0.012055j)  (0.013210+0.007468j)  (-0.008341+0.002237j)  (0.012803+0.002397j)  (0.001695+0.004794j)  (-0.004419+0.075650j)  (-0.002876-0.050133j)  (-0.015801-0.043395j)  (0.002247-0.007408j)  (0.021576+0.029730j)  (-0.001381-0.003758j)  (-0.007043+0.003119j)  (0.001722-0.034816j)  (-0.000458+0.010363j)  (0.053669-0.004251j)  (0.004806+0.056044j)  (-0.002946+0.016386j)  (0.003021-0.006983j)  (0.011553+0.032211j)  (-0.007779+0.058080j)  (-0.021050+0.049882j)  (0.001512+0.001956j)  (0.030548+0.034549j)  (-0.038860-0.075332j)  (-0.007478-0.060389j)  (-0.007335+0.048301j)  (-0.028507+0.032544j)
 (0.003076-0.016864j)  (-0.028008-0.017434j)  (0.006004-0.011395j)  (0.002105-0.002697j)  (-0.027165+0.007577j)  (-0.002071-0.001721j)  (0.005324+0.006995j)  (-0.039524-0.124693j)  (-0.017832+0.064784j)  (-0.000708-0.009252j)  (-0.003357-0.016678j)  (0.032706+0.070930j)  (0.009169+0.002386j)  (-0.000093-0.006252j)  (-0.012559+0.005088j)  (0.002598+0.010772j)  (-0.951003+0.057920j)  (0.012787+0.006127j)  (0.012395-0.009282j)  (-0.005182-0.012606j)  (0.005666-0.051641j)  (-0.037153+0.002926j)  (-0.008274+0.009641j)  (-0.003497+0.003132j)  (-0.022214+0.000891j)  (-0.020416-0.066856j)  (-0.000875-0.002873j)  (0.025070-0.056529j)  (0.011991+0.004747j)  (-0.000249-0.008061j)  (-0.012691+0.000414j)  (0.032825+0.044936j)  (-0.005285+0.004536j)  (-0.008348+0.008323j)  (0.045725-0.007344j)  (-0.039924+0.052844j)  (-0.013771+0.027473j)  (0.002567+0.012820j)  (-0.004072+0.002300j)  (0.011281+0.001907j)  (0.011511-0.075069j)  (0.012117-0.014828j)  (-0.008947+0.002113j)  (0.004847-0.020832j)  (0.012407-0.044205j)  (0.004342-0.012349j)  (-0.000858-0.011733j)  (-0.018965-0.051441j)  (-0.004946+0.001493j)  (-0.014914-0.057118j)  (-0.017912+0.012638j)  (-0.008837-0.004134j)  (-0.003218+0.006617j)  (-0.046076-0.039000j)  (-0.018300-0.016483j)  (0.015775-0.024035j)  (-0.004914+0.003283j)  (0.015213-0.006200j)  (0.009394+0.069543j)  (0.002315-0.051365j)  (0.008970-0.037258j)  (0.023309-0.009683j)  (0.027640-0.027279j)  (0.023072+0.048341j)
 (0.039057-0.078885j)  (0.013362-0.036348j)  (-0.001562+0.005678j)  (0.007002-0.013657j)  (0.016140+0.006699j)  (-0.002233-0.004772j)  (-0.006563-0.005341j)  (-0.003493+0.006000j)  (-0.001387-0.002842j)  (-0.009658-0.011936j)  (-0.015440+0.000930j)  (-0.023636-0.000705j)  (-0.006730+0.008075j)  (0.007787-0.005160j)  (-0.007053+0.087014j)  (-0.028413+0.009866j)  (-0.014261+0.007356j)  (-0.968218-0.013750j)  (-0.010512+0.003406j)  (0.000168+0.000901j)  (0.025023-0.002998j)  (0.006746+0.068188j)  (0.000980-0.000799j)  (0.049137-0.025063j)  (0.006347+0.012709j)  (-0.012339+0.005088j)  (-0.005892+0.004706j)  (-0.001717+0.006812j)  (0.004562+0.001546j)  (-0.005936+0.052796j)  (-0.023610-0.037779j)  (0.008338+0.039422j)  (-0.004493+0.005487j)  (-0.013106-0.002310j)  (-0.006138+0.012389j)  (0.020513+0.012239j)  (0.006073+0.031936j)  (0.007610+0.003724j)  (-0.012072-0.005559j)  (0.001831-0.019560j)  (-0.002651+0.004436j)  (0.000126+0.024238j)  (-0.011693+0.033326j)  (0.006542-0.010046j)  (0.003483+0.008666j)  (0.019395+0.043087j)  (0.003970-0.000756j)  (-0.018135+0.009748j)  (-0.013819+0.012890j)  (0.004784+0.004566j)  (0.005103+0.021472j)  (-0.014609+0.005698j)  (0.019257-0.000029j)  (-0.024129-0.017534j)  (0.004943+0.098119j)  (-0.001278-0.003124j)  (-0.007739-0.005873j)  (-0.015604+0.000042j)  (-0.007802-0.028702j)  (0.018669+0.007337j)  (0.001478-0.032231j)  (0.009483+0.032276j)  (0.017637+0.054991j)  (-0.013940+0.010049j)
 (0.006379+0.002548j)  (0.003254-0.014439j)  (-0.006795-0.004594j)  (-0.015449+0.032915j)  (0.001911-0.077012j)  (0.003353-0.011706j)  (0.009097+0.005304j)  (-0.007200-0.012711j)  (0.006132-0.012049j)  (-0.000337+0.017410j)  (0.007470+0.019720j)  (-0.000461+0.007719j)  (0.005417+0.015361j)  (-0.009049+0.005168j)  (-0.002055-0.020270j)  (-0.000731-0.005051j)  (-0.005825-0.004050j)  (0.003445+0.005815j)  (-0.954233-0.005387j)  (-0.005791+0.002026j)  (0.014487+0.003917j)  (-0.003551-0.031339j)  (0.000166-0.077914j)  (0.007422+0.054262j)  (-0.012210+0.000008j)  (-0.004564-0.005777j)  (-0.002678+0.001551j)  (0.015901+0.010951j)  (0.005714+0.010154j)  (-0.024429+0.025462j)  (0.044646-0.056411j)  (0.017602+0.001894j)  (-0.009344-0.008628j)  (-0.020940-0.027495j)  (0.056493-0.016456j)  (-0.018496+0.053927j)  (0.029430+0.050943j)  (-0.003045+0.000495j)  (-0.008271-0.001288j)  (-0.018179-0.001460j)  (-0.006108+0.106871j)  (-0.011338+0.006585j)  (0.012507-0.016335j)  (0.002936+0.024796j)  (0.007827-0.098798j)  (0.003162-0.006256j)  (-0.018328+0.017861j)  (0.026681+0.012250j)  (0.010713+0.018462j)  (-0.014900-0.022890j)  (0.023742-0.005127j)  (-0.012450-0.000521j)  (0.000823-0.027387j)  (0.001709-0.052568j)  (0.005977-0.008366j)  (0.012871-0.007859j)  (0.004589-0.029350j)  (-0.010608+0.081047j)  (0.015956+0.013793j)  (0.006265-0.043765j)  (0.012131-0.008134j)  (-0.002527-0.018976j)  (0.011980-0.064345j)  (-0.015994-0.069105j)
 (-0.007959+0.005107j)  (0.015212+0.028255j)  (0.004993+0.006433j)  (-0.007448+0.004934j)  (0.013998-0.004322j)  (0.010940+0.000847j)  (0.004924+0.002805j)  (-0.004483+0.054071j)  (0.019641-0.001222j)  (-0.014702+0.003133j)  (0.012884-0.012865j)  (0.002239+0.013541j)  (0.022198-0.041087j)  (-0.034150-0.089078j)  (-0.007788-0.001639j)  (-0.023284-0.072321j)  (-0.008692-0.014292j)  (-0.004039+0.000479j)  (0.009522-0.000036j)  (-0.962744-0.003886j)  (0.004150+0.000921j)  (0.019757+0.030658j)  (0.006112+0.061861j)  (0.015987-0.049175j)  (0.011615-0.009583j)  (0.003697-0.010347j)  (0.003225+0.001193j)  (-0.016765+0.064511j)  (-0.036310-0.018989j)  (0.005725+0.006628j)  (-0.017122-0.017214j)  (-0.005506+0.003410j)  (-0.002248+0.012613j)  (0.030373-0.064718j)  (-0.008442-0.003007j)  (-0.001547+0.011106j)  (0.047514-0.001937j)  (-0.015252-0.007243j)  (-0.015394+0.024134j)  (-0.041543+0.007289j)  (-0.008909+0.019007j)  (-0.003190-0.003625j)  (-0.020014-0.018027j)  (0.012645+0.045594j)  (-0.025173-0.013140j)  (0.016484-0.052272j)  (-0.029987+0.007432j)  (-0.009312-0.010880j)  (-0.010088+0.006045j)  (0.015140+0.027513j)  (0.009919-0.010875j)  (-0.006970-0.064919j)  (-0.021789+0.010905j)  (0.011142-0.001175j)  (0.006102-0.015577j)  (-0.003260+0.006122j)  (-0.005680-0.006208j)  (-0.011544-0.006087j)  (0.009015+0.029329j)  (0.017384-0.045764j)  (0.059607+0.025458j)  (-0.003449-0.016982j)  (-0.011147-0.013015j)  (-0.027599+0.003029j)
 (0.008394-0.067889j)  (-0.003281-0.004054j)  (0.059596-0.154929j)  (0.063827+0.055837j)  (0.004620+0.016133j)  (-0.006643+0.006617j)  (0.005650+0.000659j)  (-0.020980-0.009639j)  (0.004727+0.000635j)  (0.002557-0.001990j)  (0.002098-0.017816j)  (-0.014697-0.083530j)  (-0.000895-0.000318j)  (0.001601+0.006886j)  (-0.006514+0.004907j)  (-0.008485-0.004928j)  (-0.010461-0.049638j)  (-0.012461+0.000279j)  (-0.015477-0.002381j)  (-0.007477+0.000653j)  (-0.955802-0.019660j)  (-0.009428+0.014394j)  (-0.006315+0.008923j)  (0.000819-0.022483j)  (-0.019430+0.014780j)  (0.005975-0.003624j)  (0.018026-0.005139j)  (0.013835+0.001050j)  (-0.000863+0.010601j)  (0.001143-0.015501j)  (-0.029933+0.015791j)  (0.003682+0.000617j)  (-0.012209-0.015107j)  (-0.022891+0.000145j)  (0.000203+0.003210j)  (-0.022479-0.013280j)  (0.013809+0.029218j)  (-0.006685+0.002588j)  (-0.009480-0.003255j)  (-0.007007-0.000872j)  (0.047995-0.029975j)  (-0.000403-0.002674j)  (-0.030539-0.014333j)  (-0.019034-0.009504j)  (-0.005893+0.009269j)  (0.022237+0.072431j)  (-0.009639+0.047657j)  (-0.004073+0.011249j)  (0.000334-0.010325j)  (0.067347+0.020309j)  (0.011373+0.003733j)  (0.002949-0.007993j)  (0.013584-0.006662j)  (-0.000923-0.002308j)  (0.012033+0.014560j)  (0.023477-0.013713j)  (0.005283-0.041402j)  (0.000551+0.003529j)  (0.008204+0.002789j)  (0.003494+0.001449j)  (0.002888-0.002060j)  (-0.012140+0.034858j)  (-0.008270-0.015837j)  (0.009714-0.070775j)
 (-0.014095+0.083268j)  (0.013153-0.087437j)  (-0.000807-0.017715j)  (-0.003941-0.005047j)  (0.000482-0.003030j)  (0.003304+0.001961j)  (0.016690+0.057178j)  (-0.010430+0.052957j)  (-0.015066+0.005329j)  (-0.001631-0.001094j)  (0.030171+0.020691j)  (0.022607-0.021929j)  (0.011510-0.004312j)  (-0.024000-0.011433j)  (0.008256-0.010640j)  (-0.027170+0.004184j)  (0.016582-0.003751j)  (-0.008296+0.068053j)  (0.007392-0.034806j)  (-0.005379+0.035151j)  (0.009122+0.019343j)  (-0.967145-0.004144j)  (0.002576+0.015132j)  (-0.004426-0.007990j)  (0.017629+0.018223j)  (-0.004626-0.004637j)  (-0.026918-0.007470j)  (-0.017642+0.007427j)  (-0.039818-0.012649j)  (0.006627+0.016795j)  (0.025260-0.010700j)  (-0.027702-0.014684j)  (-0.001078+0.000949j)  (0.008218-0.007086j)  (0.002628-0.005741j)  (-0.005094+0.002459j)  (0.013030+0.017485j)  (-0.010597-0.014638j)  (-0.016837+0.007290j)  (-0.022837-0.016014j)  (0.012112+0.006533j)  (-0.004461+0.015387j)  (0.009391-0.001186j)  (-0.001268+0.022349j)  (-0.033316+0.014640j)  (0.002204+0.005939j)  (-0.005288-0.002231j)  (-0.004187-0.005922j)  (-0.006064-0.000517j)  (-0.036557+0.068093j)  (0.012572+0.012374j)  (0.017095-0.067280j)  (0.007267+0.017500j)  (0.014399+0.003045j)  (0.036688+0.026275j)  (-0.032088-0.021875j)  (0.019290+0.013150j)  (0.001071+0.006195j)  (-0.001678-0.015465j)  (0.004720+0.002225j)  (-0.030808-0.010668j)  (0.002182+0.041479j)  (-0.000299-0.008233j)  (-0.017940-0.024811j)
 (-0.008792-0.012805j)  (-0.010740+0.005216j)  (0.004753+0.018229j)  (0.046996+0.005195j)  (-0.018197-0.009599j)  (-0.008738+0.022228j)  (0.003824+0.002604j)  (0.001924+0.010115j)  (0.005305-0.002906j)  (-0.005294+0.003453j)  (-0.012561+0.003798j)  (-0.004740+0.005817j)  (0.000184-0.001299j)  (0.003249+0.003214j)  (0.020967-0.003214j)  (0.015946+0.003929j)  (0.007726+0.008559j)  (-0.002752-0.005187j)  (-0.000253-0.077963j)  (-0.009220+0.066355j)  (-0.001783+0.003618j)  (-0.001568+0.017019j)  (-0.972638+0.019429j)  (-0.019063+0.011741j)  (0.008735-0.016667j)  (-0.007866+0.004586j)  (0.006649+0.005621j)  (0.008909+0.016424j)  (0.012932+0.012666j)  (-0.003174-0.001575j)  (0.026379-0.019422j)  (0.018565-0.031027j)  (0.012335-0.073902j)  (0.002117-0.005762j)  (-0.016348+0.013570j)  (0.004188-0.010791j)  (-0.008585+0.005230j)  (0.001131-0.049824j)  (-0.008135+0.004253j)  (0.008982-0.006217j)  (-0.011038-0.031730j)  (0.002468+0.077653j)  (-0.009059-0.018376j)  (0.016924+0.015611j)  (0.013556+0.002439j)  (-0.009549-0.010992j)  (-0.012106+0.001821j)  (0.004816+0.003440j)  (-0.007471+0.013862j)  (-0.043201-0.072090j)  (0.013100-0.049641j)  (0.000925-0.011319j)  (0.005267-0.000656j)  (-0.017433-0.001413j)  (-0.004165+0.001286j)  (-0.003369-0.013587j)  (0.001566+0.011015j)  (-0.006946+0.009869j)  (-0.026489-0.029227j)  (0.019159+0.000610j)  (-0.025634+0.031000j)  (0.011502-0.018131j)  (0.003680-0.006302j)  (-0.007658+0.024358j)
 (-0.003418+0.012620j)  (-0.008365+0.014887j)  (0.025020+0.004339j)  (0.013268+0.001473j)  (-0.011688-0.003402j)  (-0.001742-0.001542j)  (-0.009965+0.005721j)  (0.003320-0.001170j)  (-0.000737-0.006262j)  (-0.008682-0.094306j)  (-0.009007+0.000278j)  (0.009076+0.003184j)  (0.000238-0.062992j)  (-0.005860-0.001770j)  (0.010842-0.009267j)  (0.013669-0.031587j)  (0.006319+0.005100j)  (-0.048090-0.019625j)  (-0.021099+0.052721j)  (-0.013835-0.052805j)  (0.001155-0.017101j)  (-0.002763-0.001827j)  (0.010865+0.013306j)  (-0.970489-0.023713j)  (0.011366-0.001110j)  (0.001710+0.003832j)  (0.007587+0.001099j)  (0.003340-0.041724j)  (0.005109+0.084973j)  (-0.008216-0.002555j)  (-0.009982-0.025924j)  (0.002075-0.010130j)  (0.000201+0.022028j)  (0.000848-0.001918j)  (-0.008243-0.004728j)  (-0.002929+0.004341j)  (0.014647+0.007268j)  (0.001792+0.009547j)  (0.016881+0.004035j)  (0.020208+0.001599j)  (0.021971-0.000994j)  (-0.008302-0.039628j)  (-0.031856-0.030260j)  (0.011576+0.018100j)  (0.017901+0.014614j)  (-0.000845+0.006178j)  (-0.000973-0.003240j)  (-0.009923-0.013543j)  (-0.018340-0.009180j)  (0.011715+0.008243j)  (-0.038368-0.011508j)  (0.027556+0.001602j)  (-0.008845-0.005375j)  (0.011631-0.008745j)  (-0.030211+0.020792j)  (0.007839-0.007045j)  (-0.023602+0.065423j)  (-0.021945-0.027070j)  (0.000810-0.051091j)  (-0.003721+0.002803j)  (0.004979-0.003854j)  (-0.008883+0.018827j)  (0.019341-0.005611j)  (0.006132+0.016510j)
 (-0.008899+0.003302j)  (0.006853-0.004681j)  (-0.006283-0.005777j)  (-0.011971-0.019604j)  (0.038989-0.003054j)  (0.024665+0.090078j)  (-0.002738+0.006632j)  (0.025332+0.107955j)  (-0.014379-0.021023j)  (-0.002532+0.028043j)  (0.000348-0.009769j)  (-0.024031+0.073472j)  (0.003324-0.012908j)  (0.006225+0.008198j)  (-0.001189+0.003752j)  (0.005677-0.010175j)  (0.003499+0.001639j)  (-0.007337+0.009287j)  (0.004720+0.005160j)  (-0.004666-0.001236j)  (0.010907+0.003830j)  (-0.013653+0.019143j)  (-0.008548-0.013791j)  (-0.011062-0.003456j)  (-0.956772+0.040501j)  (-0.012361+0.028184j)  (0.019636-0.002472j)  (-0.036914-0.010918j)  (-0.001883-0.009126j)  (0.000273+0.009946j)  (-0.038138+0.042868j)  (-0.000669-0.051245j)  (-0.017403+0.007195j)  (0.057210+0.051832j)  (-0.007715+0.015679j)  (-0.015807+0.020771j)  (-0.003928-0.011962j)  (0.026224+0.035709j)  (-0.034268-0.017256j)  (0.014701-0.007095j)  (0.006413+0.011953j)  (0.004925-0.006173j)  (-0.001146-0.056350j)  (-0.000399+0.011206j)  (0.017020+0.047354j)  (-0.006939+0.037957j)  (-0.001721-0.061504j)  (0.009967+0.004291j)  (0.010340+0.064620j)  (0.019352-0.004467j)  (0.010097-0.015304j)  (-0.007272-0.019318j)  (-0.042214+0.007832j)  (0.016123-0.052268j)  (0.014383+0.006214j)  (-0.017568-0.001890j)  (-0.000982-0.000391j)  (0.001706-0.004719j)  (0.013267-0.026167j)  (-0.010936+0.006575j)  (0.027526-0.002686j)  (0.031411-0.067042j)  (-0.017386+0.003353j)  (0.011988-0.013600j)
 (-0.001622-0.001259j)  (-0.009303-0.000939j)  (-0.009386-0.008720j)  (-0.014467-0.068876j)  (-0.014857+0.011987j)  (-0.019991+0.007509j)  (0.007456+0.007608j)  (0.003156-0.069793j)  (-0.009833+0.004722j)  (0.007197-0.021105j)  (-0.010622+0.001879j)  (0.014705-0.007483j)  (0.008532+0.011260j)  (-0.005247+0.004987j)  (0.010125-0.015532j)  (0.001208-0.005564j)  (0.026043-0.068442j)  (0.004272-0.001355j)  (-0.005884+0.004643j)  (-0.022060-0.003177j)  (-0.002550-0.005169j)  (-0.001380-0.002863j)  (-0.000509+0.006703j)  (0.002119-0.002170j)  (0.013003+0.025294j)  (-0.971357+0.006884j)  (-0.004382+0.003698j)  (0.001007+0.013238j)  (0.022582+0.015707j)  (0.001943+0.003794j)  (-0.014185+0.034783j)  (-0.006631-0.002582j)  (0.009007+0.043967j)  (0.010031+0.086336j)  (0.016596-0.000876j)  (-0.009575-0.015825j)  (-0.012495-0.033895j)  (0.024655-0.001852j)  (-0.030018-0.022303j)  (0.008455+0.000875j)  (0.000950+0.004439j)  (-0.006796-0.003674j)  (-0.002606+0.021567j)  (-0.005187+0.000547j)  (0.045592+0.040237j)  (-0.001489+0.003313j)  (0.005354-0.004087j)  (0.000502+0.012059j)  (0.018165-0.035948j)  (0.013153+0.006820j)  (-0.008169+0.012108j)  (0.021869+0.028961j)  (0.031796+0.033391j)  (0.010179+0.012747j)  (-0.014167-0.010377j)  (-0.007934+0.002297j)  (-0.005741-0.013997j)  (0.001553-0.005670j)  (-0.019413-0.000846j)  (0.010068+0.009374j)  (-0.015683-0.011572j)  (0.002879-0.023501j)  (0.037349-0.077764j)  (0.024238-0.021857j)
