 (-0.000355-0.005450j)  (-0.002084+0.012924j)  (0.012611-0.005272j)  (-0.003781+0.000980j)  (-0.000480+0.006993j)  (0.008933-0.002249j)  (0.015189-0.001019j)  (0.002483-0.002579j)  (-0.003792+0.014425j)  (-0.014365+0.005386j)  (0.001133-0.011812j)  (-0.013529-0.054765j)  (-0.001074+0.007659j)  (0.013004-0.016252j)  (-0.016761-0.014087j)  (0.003892+0.001603j)  (-0.008912+0.008134j)  (0.021579+0.089404j)  (0.000875-0.000123j)  (-0.004445+0.005003j)  (-0.001770-0.003546j)  (-0.988652+0.038160j)  (-0.005612+0.018061j)  (0.008543-0.002705j)  (0.011127+0.015431j)  (-0.004442+0.013076j)  (-0.002138+0.002265j)  (-0.005469+0.010170j)  (0.026347-0.060924j)  (-0.033114+0.013127j)  (-0.008512+0.003027j)  (0.000154-0.001397j)
 (0.004820-0.000112j)  (0.097577+0.145131j)  (0.004069-0.015972j)  (0.013912+0.022500j)  (-0.008005-0.004463j)  (-0.006437-0.011093j)  (0.007561+0.002649j)  (-0.026953+0.015296j)  (0.005786-0.142540j)  (-0.003692-0.001365j)  (0.002693-0.010970j)  (0.004437-0.003431j)  (0.005386+0.005708j)  (0.010904-0.030057j)  (-0.001458+0.005493j)  (0.050586-0.034708j)  (0.006412+0.004820j)  (-0.000444-0.004717j)  (-0.030252-0.091970j)  (0.019151+0.003948j)  (0.005319-0.008086j)  (0.002709+0.010452j)  (-0.943362-0.046130j)  (-0.004112+0.000245j)  (-0.012266+0.002504j)  (-0.007110-0.013790j)  (-0.087113-0.078999j)  (-0.009909-0.009525j)  (-0.009383-0.006591j)  (0.107813+0.112019j)  (0.009867-0.016840j)  (-0.015890-0.016141j)
 (-0.002546+0.007150j)  (-0.006178+0.009429j)  (-0.010541+0.000857j)  (0.001546+0.006301j)  (0.001395-0.011493j)  (-0.009439+0.011594j)  (-0.000962+0.001506j)  (-0.017742+0.006175j)  (-0.011416+0.014305j)  (-0.005219-0.000694j)  (0.003403+0.006665j)  (0.068662-0.124219j)  (-0.013382+0.009510j)  (0.005814-0.037247j)  (0.057549-0.003681j)  (-0.012047-0.003139j)  (-0.000343+0.027719j)  (0.000414-0.003346j)  (0.025043+0.008925j)  (0.004014-0.000072j)  (0.012881-0.010197j)  (-0.002604+0.005528j)  (-0.002339-0.004212j)  (-0.982460-0.043736j)  (-0.004786-0.009901j)  (-0.000033+0.000863j)  (-0.006759-0.009432j)  (-0.009121-0.008252j)  (0.007271-0.009568j)  (-0.004088-0.059524j)  (-0.010261+0.002051j)  (0.003352+0.002674j)
 (-0.041312-0.098470j)  (0.004090-0.006623j)  (0.004233-0.000708j)  (0.055174-0.164334j)  (0.004280+0.000311j)  (0.002396+0.004914j)  (0.000339-0.012430j)  (-0.009403+0.005922j)  (0.013810+0.060130j)  (0.008811+0.007775j)  (0.000011+0.009255j)  (-0.004302+0.003260j)  (0.001487+0.000447j)  (-0.009578-0.002707j)  (0.000761+0.019958j)  (0.052616-0.130299j)  (-0.021955+0.067097j)  (0.006049+0.002970j)  (-0.006810-0.019039j)  (0.014667+0.001889j)  (0.019066-0.002141j)  (-0.005835+0.006793j)  (0.011593-0.002088j)  (0.005544-0.010135j)  (-0.957185-0.007245j)  (0.026630+0.001441j)  (-0.011032-0.003870j)  (-0.027320+0.005284j)  (-0.048448-0.072327j)  (-0.011984+0.003690j)  (0.036184+0.022415j)  (-0.005682+0.000848j)
 (-0.005024-0.001314j)  (0.004366+0.001681j)  (0.006613-0.009945j)  (0.000656+0.003543j)  (0.003813-0.003015j)  (-0.007161-0.004091j)  (-0.000548-0.014164j)  (0.002866-0.020216j)  (-0.010116-0.006078j)  (0.011611+0.013451j)  (-0.024328-0.001444j)  (0.005313+0.008393j)  (0.001825-0.007714j)  (0.000037-0.010618j)  (-0.003247+0.011691j)  (-0.006942+0.007976j)  (0.078329+0.128778j)  (-0.018534-0.004336j)  (0.010177-0.021511j)  (-0.002488-0.005155j)  (0.001405+0.016105j)  (0.003445+0.011527j)  (0.012931-0.010688j)  (0.002628+0.001103j)  (-0.020791-0.005437j)  (-0.983653+0.059001j)  (0.006448-0.019126j)  (0.002782-0.009194j)  (-0.000541+0.003020j)  (-0.002243+0.000929j)  (0.028947-0.014334j)  (-0.004997-0.005253j)
 (0.053658+0.111251j)  (-0.003616+0.009155j)  (0.000629+0.014097j)  (-0.013270-0.011185j)  (0.019413+0.034601j)  (-0.006458+0.005372j)  (-0.012021-0.002631j)  (-0.098053-0.149080j)  (-0.000389-0.025409j)  (0.007536+0.007718j)  (0.079848-0.002118j)  (-0.013765-0.016160j)  (0.006779-0.054506j)  (0.126576-0.123673j)  (0.007418+0.020688j)  (-0.002269+0.003012j)  (-0.013329-0.009623j)  (0.013585+0.003827j)  (0.090098+0.180950j)  (0.047571-0.100869j)  (0.012389+0.015032j)  (0.003311+0.002019j)  (0.078251-0.048423j)  (0.018909-0.000220j)  (-0.007457-0.003060j)  (-0.006787-0.013692j)  (-0.911960-0.085390j)  (-0.038930-0.006538j)  (-0.010790+0.030590j)  (-0.043844+0.001336j)  (-0.025178+0.025488j)  (-0.000162-0.004579j)
 (0.004753-0.006363j)  (-0.016782+0.005372j)  (0.001927-0.101941j)  (-0.098227-0.052041j)  (-0.012396-0.076035j)  (0.005991+0.010637j)  (0.013972-0.008812j)  (0.028489-0.113544j)  (0.004462+0.029286j)  (-0.013770-0.008420j)  (0.023653+0.027649j)  (0.014824-0.006744j)  (-0.004770-0.008925j)  (0.011464-0.001894j)  (0.002898-0.007731j)  (0.014522-0.013052j)  (-0.003942+0.005433j)  (0.008169+0.016082j)  (-0.011581+0.011951j)  (-0.011533+0.006037j)  (0.047219-0.005440j)  (0.009773+0.009228j)  (-0.005116+0.003063j)  (0.010626-0.002662j)  (0.035761-0.012473j)  (-0.001476-0.008801j)  (0.056666+0.018186j)  (-0.967604+0.005060j)  (-0.005771+0.003785j)  (-0.018574-0.000350j)  (-0.001330+0.001567j)  (-0.066501-0.061881j)
 (0.118057+0.041648j)  (0.006784+0.004013j)  (-0.005000+0.009653j)  (-0.003606-0.009308j)  (-0.004932+0.009648j)  (0.012652-0.006932j)  (-0.004425-0.000803j)  (0.017094+0.011611j)  (-0.000983+0.030246j)  (0.003830-0.000249j)  (-0.004928+0.001135j)  (-0.011435-0.009203j)  (0.003548-0.014714j)  (-0.004302+0.005434j)  (0.012668-0.021198j)  (0.006313-0.001350j)  (0.004431-0.006962j)  (-0.006318+0.000164j)  (0.013971-0.019324j)  (-0.009040-0.002195j)  (-0.006539-0.001113j)  (-0.024933-0.061496j)  (0.002353-0.005039j)  (-0.005606-0.015566j)  (0.047568-0.060379j)  (-0.002463+0.004528j)  (0.012277+0.018426j)  (0.007773+0.006731j)  (-0.982777-0.054828j)  (-0.005885-0.005275j)  (0.004347+0.010941j)  (-0.000030-0.008398j)
 (0.007524-0.008728j)  (-0.028718+0.006459j)  (-0.015163+0.005301j)  (0.013778-0.013605j)  (0.019753+0.001532j)  (0.003083-0.009167j)  (-0.011995+0.009077j)  (-0.004727+0.000059j)  (-0.016341-0.104989j)  (0.001550+0.012275j)  (-0.014163+0.004599j)  (0.013268+0.036236j)  (-0.002237+0.004654j)  (0.018717+0.121898j)  (-0.001940-0.014351j)  (-0.028466+0.009610j)  (0.001254+0.017258j)  (-0.007172-0.001068j)  (0.015171-0.013462j)  (0.011808-0.026121j)  (-0.005972+0.001389j)  (0.031483+0.012234j)  (-0.099022+0.125025j)  (-0.008344-0.054024j)  (0.005424+0.000189j)  (0.003012+0.003998j)  (0.017714+0.015352j)  (0.013960+0.000916j)  (0.002692-0.005144j)  (-0.962680+0.096137j)  (0.002520-0.005492j)  (0.003853+0.007897j)
 (-0.005065+0.006890j)  (-0.003329-0.004688j)  (0.001785-0.006725j)  (-0.007523+0.016903j)  (-0.006476-0.006863j)  (0.037370-0.091104j)  (0.023693-0.015140j)  (0.008443+0.009374j)  (0.002378+0.009522j)  (-0.013144-0.013298j)  (-0.020280+0.008484j)  (0.015763+0.009755j)  (-0.004258+0.001996j)  (-0.002579-0.003158j)  (-0.019513-0.003759j)  (-0.013708-0.000572j)  (-0.052832+0.125946j)  (-0.021995-0.001643j)  (-0.001244-0.079024j)  (0.018051+0.006418j)  (-0.012099+0.014390j)  (0.009846+0.002659j)  (-0.008152-0.013242j)  (0.010447+0.002272j)  (-0.026513+0.026729j)  (-0.014916+0.008639j)  (0.007746+0.015769j)  (-0.000086+0.002466j)  (-0.004969+0.010175j)  (-0.000898-0.001043j)  (-0.963386+0.173141j)  (0.001629+0.007299j)
 (-0.006311-0.002676j)  (0.011889+0.000570j)  (-0.012017+0.004324j)  (0.003404+0.009354j)  (-0.000869-0.010497j)  (-0.004035+0.001566j)  (0.008610+0.002881j)  (-0.014604+0.000162j)  (0.016999+0.008899j)  (-0.000778+0.023204j)  (-0.004527-0.006046j)  (0.010484+0.004713j)  (0.003713+0.155372j)  (0.001520-0.007184j)  (-0.007113-0.004072j)  (0.006915+0.006292j)  (0.009303-0.007210j)  (-0.008407-0.008690j)  (0.037684+0.062807j)  (0.005820-0.004386j)  (-0.080404+0.005850j)  (-0.000341-0.002807j)  (0.012469-0.007241j)  (-0.002146+0.001755j)  (0.000078+0.005008j)  (0.004164-0.002592j)  (0.007433-0.001716j)  (0.067313-0.061143j)  (-0.001984-0.007193j)  (-0.006157+0.007577j)  (-0.005742+0.010367j)  (-0.969596-0.111605j)
