 (-0.000379-0.010301j)  (0.005257-0.024770j)  (-0.053071+0.073741j)  (0.013646-0.012592j)  (-0.013402+0.013029j)  (-0.023742-0.038944j)  (0.009213+0.029162j)  (0.042017+0.077031j)  (-0.013976+0.013286j)  (-0.009687+0.013968j)  (0.019532-0.083543j)  (0.020852+0.017259j)  (0.005239+0.016182j)  (-0.001004-0.002340j)  (-0.016725-0.045669j)  (0.000117-0.003439j)  (0.040915-0.050284j)  (-0.014788+0.001400j)  (0.027754-0.021577j)  (0.026355+0.067921j)  (-0.010070+0.121254j)  (-0.950301-0.021749j)  (-0.060992+0.026687j)  (0.030684+0.008001j)  (-0.031222-0.005030j)  (-0.035580-0.044144j)  (-0.037031-0.046197j)  (0.030683-0.001112j)  (0.038410+0.081999j)  (-0.011732-0.077398j)  (0.038189-0.041305j)  (-0.068462+0.050659j)
 (-0.005870+0.010972j)  (0.020466+0.097549j)  (-0.024896-0.104035j)  (0.060841-0.105882j)  (0.000569-0.004247j)  (0.023265+0.005309j)  (-0.015384-0.014013j)  (0.018182+0.003052j)  (0.010765-0.000670j)  (0.006345-0.045863j)  (-0.007661+0.007085j)  (-0.017175-0.008511j)  (-0.001974-0.014652j)  (-0.023460+0.022237j)  (-0.017385-0.012031j)  (0.022213-0.077788j)  (0.016016-0.014284j)  (0.011960-0.084351j)  (-0.017700+0.043878j)  (-0.015993-0.001905j)  (-0.058715-0.052608j)  (0.042783+0.045481j)  (-0.961343-0.038986j)  (0.015745+0.001702j)  (-0.009496+0.002120j)  (-0.001885+0.017481j)  (0.000653-0.041744j)  (0.007658+0.006004j)  (0.016181-0.046565j)  (-0.002040+0.008098j)  (-0.008169-0.006011j)  (-0.003702+0.007968j)
 (-0.005111+0.001165j)  (-0.000549-0.115055j)  (0.002740-0.079964j)  (0.020868-0.005054j)  (-0.009269-0.006838j)  (-0.012017+0.061398j)  (0.000033-0.015347j)  (0.019962+0.062239j)  (-0.006716+0.008653j)  (0.027169-0.012833j)  (-0.000802-0.014238j)  (0.015460+0.022371j)  (0.032846+0.101826j)  (-0.004492+0.008156j)  (0.030981-0.002811j)  (-0.004075+0.014264j)  (0.002938-0.002850j)  (-0.055860-0.062553j)  (-0.016683-0.040603j)  (-0.027793+0.006784j)  (0.003021+0.022073j)  (-0.008287-0.000909j)  (-0.019195+0.004267j)  (-0.958545-0.079851j)  (-0.009905-0.007118j)  (-0.052297-0.035482j)  (-0.017117+0.050329j)  (-0.018299+0.036212j)  (0.041818+0.011993j)  (-0.009213-0.037048j)  (0.006335-0.012264j)  (-0.021334+0.089926j)
 (-0.000564+0.004240j)  (-0.001239-0.008505j)  (0.025849+0.097800j)  (0.005449-0.006923j)  (-0.001065-0.015738j)  (0.004690+0.016313j)  (-0.028602-0.013802j)  (0.015956+0.001280j)  (-0.021933+0.010384j)  (0.008593+0.009505j)  (-0.014284+0.002116j)  (-0.026978+0.111065j)  (-0.030236-0.032240j)  (-0.048083-0.019774j)  (-0.005238-0.009613j)  (0.003711+0.011417j)  (-0.023541+0.045586j)  (-0.005508-0.018792j)  (0.038553+0.113289j)  (-0.016282+0.005425j)  (-0.012196+0.028358j)  (0.021595-0.000350j)  (0.008139-0.008257j)  (-0.008408-0.001953j)  (-0.964697-0.047088j)  (0.037473-0.018317j)  (0.005331+0.003163j)  (-0.005235-0.054637j)  (-0.025767-0.094212j)  (0.027598+0.014263j)  (-0.029953+0.011832j)  (0.012869-0.015313j)
 (-0.011809-0.001235j)  (-0.012591-0.004718j)  (0.009855+0.018259j)  (-0.003022-0.005704j)  (0.007413+0.018841j)  (0.008275-0.000994j)  (-0.028890+0.082462j)  (0.003499-0.013839j)  (0.008991+0.003179j)  (-0.001620+0.004291j)  (0.003922-0.009026j)  (-0.032373+0.009158j)  (0.009210-0.118025j)  (0.033764-0.043019j)  (-0.030587+0.008738j)  (-0.003500-0.009619j)  (0.010539-0.058586j)  (0.003649-0.012650j)  (0.016770-0.003849j)  (0.019231-0.079873j)  (-0.041833-0.024538j)  (0.036149-0.032644j)  (0.004534+0.006771j)  (0.028288-0.025621j)  (-0.025361-0.026966j)  (-0.962519-0.095629j)  (0.001091-0.057606j)  (-0.004005-0.043072j)  (-0.103144+0.000322j)  (-0.012285-0.002894j)  (-0.014041+0.027596j)  (-0.004776-0.022072j)
 (0.007894-0.009250j)  (0.016110-0.002204j)  (-0.017654-0.083319j)  (-0.010954+0.027705j)  (0.012567+0.072718j)  (-0.002062-0.022908j)  (-0.016926+0.107735j)  (-0.027556-0.005568j)  (-0.005263-0.068545j)  (0.023774+0.007154j)  (0.012213-0.007202j)  (-0.036430+0.101757j)  (-0.006269+0.004182j)  (-0.014576+0.023597j)  (0.005861+0.000190j)  (-0.002548+0.012902j)  (-0.001454+0.103771j)  (-0.021263-0.011878j)  (-0.000674+0.016765j)  (-0.013732-0.026455j)  (0.007679+0.008097j)  (0.034189-0.004244j)  (0.002863-0.047167j)  (0.016219+0.068157j)  (-0.000504-0.005927j)  (0.008573-0.066596j)  (-0.952034-0.018531j)  (0.043773+0.036948j)  (-0.006012+0.027241j)  (0.039144+0.060446j)  (0.098952+0.043942j)  (-0.035756-0.006420j)
 (0.005544-0.016079j)  (0.026886+0.047293j)  (0.012439+0.016196j)  (0.036422+0.000191j)  (-0.003186+0.033979j)  (0.006633-0.023823j)  (0.011942+0.074234j)  (-0.040906+0.088371j)  (0.005388+0.007612j)  (-0.010594-0.065327j)  (-0.014792-0.009506j)  (-0.019189-0.047568j)  (-0.004921+0.001556j)  (-0.000302-0.001022j)  (0.068301-0.010901j)  (0.017818+0.003105j)  (-0.078025+0.103160j)  (0.027898+0.009082j)  (0.023683+0.029028j)  (-0.017726-0.015815j)  (-0.034200-0.012064j)  (-0.029480+0.018664j)  (-0.003504+0.015554j)  (0.013743+0.048440j)  (0.011480-0.052674j)  (0.002496-0.046273j)  (-0.013149+0.038470j)  (-0.954253-0.013185j)  (0.002099-0.042426j)  (-0.027040-0.039629j)  (0.135669+0.023555j)  (0.004238+0.010279j)
 (0.025729+0.002143j)  (-0.002805-0.029115j)  (0.014887-0.007254j)  (-0.003994-0.002838j)  (0.019176-0.044341j)  (0.011059+0.045792j)  (-0.007099+0.007562j)  (0.031011+0.125091j)  (0.003477+0.047681j)  (-0.009958+0.008638j)  (-0.014342+0.036518j)  (-0.009623+0.025636j)  (-0.037519+0.094620j)  (0.023820-0.011808j)  (-0.052326-0.079042j)  (-0.017551-0.004842j)  (-0.042328+0.065321j)  (0.061802+0.062124j)  (0.034822+0.054585j)  (-0.036220-0.035904j)  (-0.013478+0.051145j)  (-0.046197+0.109864j)  (-0.020203-0.038175j)  (-0.041358+0.024112j)  (0.057912-0.089996j)  (0.079214+0.014782j)  (0.017018+0.036333j)  (0.032402-0.043033j)  (-0.931635-0.045977j)  (0.089514-0.009961j)  (0.031045+0.055612j)  (-0.027217-0.068277j)
 (0.010228-0.007885j)  (-0.028135+0.009857j)  (0.015642+0.027918j)  (-0.016132-0.012140j)  (0.026322-0.093271j)  (-0.019693+0.003584j)  (-0.032320+0.004207j)  (0.042850-0.053616j)  (0.002362-0.007562j)  (0.023291+0.008466j)  (0.024287-0.005882j)  (-0.017827+0.026348j)  (-0.027173-0.008126j)  (-0.017157-0.015748j)  (-0.022461-0.104037j)  (-0.015634-0.018587j)  (-0.008240+0.000714j)  (0.012777-0.020249j)  (-0.012690-0.002860j)  (0.004373+0.011555j)  (0.007342+0.010424j)  (0.008289-0.082638j)  (-0.004262-0.003276j)  (0.002911-0.033855j)  (-0.006357+0.005020j)  (0.027988-0.005334j)  (-0.052473+0.074056j)  (0.008287-0.035650j)  (-0.086224-0.008869j)  (-0.965207-0.017283j)  (-0.059344+0.060029j)  (-0.006106-0.010329j)
 (0.012341-0.122268j)  (0.004866+0.002983j)  (0.023499+0.007075j)  (0.004694-0.005798j)  (0.006697-0.014697j)  (-0.031740-0.112034j)  (0.008259+0.009370j)  (0.000695+0.073080j)  (-0.022379+0.043427j)  (0.007919+0.011148j)  (0.035830-0.002582j)  (-0.034386+0.053785j)  (-0.024085+0.002896j)  (-0.000568+0.032197j)  (0.007408-0.003674j)  (-0.007081-0.002438j)  (-0.058120+0.096800j)  (-0.000673+0.013835j)  (-0.004149+0.010657j)  (-0.013370-0.022492j)  (0.007299-0.003983j)  (-0.038062-0.027696j)  (-0.007750-0.006545j)  (-0.008892+0.013480j)  (0.036849+0.004272j)  (0.001944+0.001535j)  (-0.077125+0.046502j)  (-0.113376+0.018335j)  (-0.009951+0.075944j)  (0.066896+0.053327j)  (-0.949593-0.018304j)  (0.002967-0.029294j)
 (0.008204+0.081309j)  (0.004068+0.017027j)  (-0.022557+0.049409j)  (-0.007516-0.092832j)  (0.003626+0.051790j)  (0.002539-0.005062j)  (-0.024137-0.051792j)  (0.006143-0.008810j)  (0.012073-0.013123j)  (-0.003021+0.003874j)  (0.001728+0.007458j)  (0.013962-0.068128j)  (-0.002748-0.016675j)  (0.000026-0.020290j)  (0.011458-0.005702j)  (0.015160+0.004826j)  (-0.005072-0.004639j)  (-0.000404-0.067192j)  (-0.004154+0.064093j)  (-0.018675-0.012559j)  (-0.024967-0.035307j)  (0.053014+0.051052j)  (0.034056+0.002745j)  (0.003848+0.081301j)  (0.001904+0.002401j)  (0.002982-0.000914j)  (0.023531+0.006877j)  (0.000293+0.006509j)  (0.024650-0.073438j)  (-0.006017+0.012361j)  (-0.029458-0.028484j)  (-0.967439-0.013767j)
