 (-0.968916+0.012721j)  (-0.007780+0.023765j)  (0.051894+0.020433j)  (-0.028204+0.009700j)  (-0.073867+0.010940j)  (0.012832+0.003999j)  (-0.004976-0.007766j)  (-0.005517-0.019356j)  (0.003343+0.012644j)  (-0.020336+0.019715j)  (-0.014748+0.012031j)  (0.004960+0.022087j)  (-0.008530+0.003940j)  (-0.019062+0.089546j)  (0.017748-0.011133j)  (-0.079742-0.014696j)  (-0.012135-0.091089j)  (-0.011606-0.008856j)  (0.012380-0.000540j)  (-0.011065-0.010506j)  (0.008980+0.001287j)  (-0.015782-0.011388j)  (0.022934-0.112025j)  (-0.023371+0.005893j)  (-0.002834+0.014920j)  (0.015398-0.003338j)  (-0.024455+0.020467j)  (-0.006116+0.018678j)  (-0.051499-0.055780j)  (0.023572-0.002452j)  (0.032440-0.015890j)  (0.011336-0.005861j)
 (0.001364+0.019190j)  (0.004677-0.006640j)  (0.029599-0.006457j)  (-0.029304-0.015067j)  (0.005021+0.018445j)  (0.001147-0.014791j)  (-0.008355-0.011140j)  (-0.013892+0.002999j)  (0.023355+0.006576j)  (0.010337-0.127980j)  (-0.002658+0.019681j)  (-0.963610+0.001837j)  (-0.009809+0.019285j)  (0.003544-0.010338j)  (-0.041942+0.012186j)  (0.013760+0.008478j)  (-0.008747-0.015560j)  (-0.015630-0.072859j)  (-0.007501+0.004367j)  (0.006392-0.021745j)  (-0.014933+0.025574j)  (0.007823+0.005486j)  (0.009281-0.023673j)  (-0.008097+0.017794j)  (-0.021576+0.102074j)  (-0.001724+0.027582j)  (-0.029241-0.000801j)  (0.001157-0.003458j)  (0.010988-0.009908j)  (0.027758-0.030560j)  (-0.000381-0.058374j)  (-0.051793-0.137177j)
 (0.014674-0.003175j)  (0.004235-0.002426j)  (0.022809-0.015988j)  (-0.026985-0.002905j)  (-0.037428-0.049166j)  (-0.008914+0.002951j)  (0.004004+0.001881j)  (0.002487-0.010099j)  (-0.030333-0.040783j)  (0.058465+0.131973j)  (0.004889+0.011839j)  (-0.002586+0.030553j)  (-0.958283+0.036285j)  (-0.016699-0.045776j)  (0.009210-0.017739j)  (-0.019365+0.087238j)  (0.016696-0.058223j)  (0.016019+0.028276j)  (0.006962-0.026995j)  (0.011132+0.024226j)  (0.038681-0.002014j)  (-0.016300-0.035984j)  (-0.019445-0.018987j)  (-0.032646-0.020117j)  (-0.044366+0.093600j)  (0.020794+0.075848j)  (0.003852+0.019951j)  (0.020219-0.004543j)  (0.018511+0.072370j)  (0.026456+0.044796j)  (-0.027381+0.004531j)  (0.000182+0.031652j)
 (0.023544+0.084993j)  (-0.011389+0.008921j)  (0.007830+0.082844j)  (-0.011980-0.006167j)  (0.007192+0.021942j)  (-0.015429-0.001001j)  (-0.003899+0.019641j)  (0.016626-0.095632j)  (0.011885-0.003853j)  (-0.017412-0.011555j)  (-0.021161+0.004084j)  (0.002538-0.010631j)  (0.015573-0.038101j)  (-0.969334-0.000540j)  (0.030442-0.010690j)  (-0.012140+0.012328j)  (-0.042944+0.025952j)  (0.015353-0.015026j)  (0.011470+0.011237j)  (-0.010178+0.013288j)  (0.005754+0.032556j)  (-0.009417-0.016006j)  (-0.017401+0.010993j)  (-0.026236+0.044658j)  (-0.051071+0.031880j)  (-0.034372+0.053196j)  (0.044107+0.018989j)  (0.000324+0.009359j)  (-0.025474-0.020826j)  (-0.010540-0.091130j)  (-0.026341+0.046464j)  (-0.002985+0.006446j)
 (-0.009435-0.004103j)  (-0.003574-0.000934j)  (0.037398+0.044159j)  (0.006116-0.012440j)  (0.010191+0.023603j)  (-0.003253-0.015072j)  (-0.002551+0.002242j)  (0.029881+0.063024j)  (0.001209+0.097658j)  (-0.015256-0.018399j)  (-0.014914-0.090288j)  (0.041191+0.003354j)  (-0.010642-0.013911j)  (-0.024485-0.002579j)  (-0.946100+0.084789j)  (-0.063147-0.036971j)  (-0.022137-0.037268j)  (-0.060078+0.028901j)  (-0.020906+0.019258j)  (-0.020419-0.106598j)  (-0.009720+0.032119j)  (0.033645-0.092963j)  (-0.005222-0.016544j)  (-0.007538-0.005478j)  (0.009218+0.044690j)  (-0.008256+0.032324j)  (-0.002807-0.024142j)  (-0.029947-0.093420j)  (-0.024608+0.086565j)  (0.012439-0.032990j)  (0.002989+0.083839j)  (0.025660+0.034097j)
 (0.090080-0.029913j)  (-0.009228+0.012561j)  (-0.020838-0.093767j)  (-0.021414+0.024878j)  (0.012531+0.026338j)  (0.037742+0.062748j)  (-0.009010-0.099852j)  (0.012812-0.058049j)  (0.003837+0.010128j)  (0.016080-0.008009j)  (0.028381-0.007423j)  (-0.009414+0.005116j)  (0.024541+0.066509j)  (0.005268+0.005996j)  (0.043375-0.055146j)  (-0.964315+0.001630j)  (-0.028950+0.007183j)  (0.000504-0.012419j)  (-0.005229+0.032680j)  (-0.014477+0.004237j)  (-0.016489-0.014579j)  (-0.008300+0.003721j)  (-0.032251-0.077170j)  (0.006219+0.015171j)  (0.030650+0.021510j)  (0.040557-0.002948j)  (0.003389+0.016546j)  (0.001042+0.054680j)  (0.038239-0.010142j)  (0.022819+0.004961j)  (0.014929+0.006082j)  (0.018869-0.007430j)
 (0.011127-0.087697j)  (-0.007270+0.020085j)  (-0.020835-0.057988j)  (0.030221+0.011677j)  (-0.028921-0.073495j)  (0.055563-0.060438j)  (-0.023412-0.005452j)  (-0.005130-0.003870j)  (-0.020453-0.012155j)  (-0.009235-0.026011j)  (0.031649+0.000246j)  (0.008905-0.014543j)  (-0.015724-0.064334j)  (0.028018+0.021831j)  (0.001852-0.032921j)  (0.036587-0.014693j)  (-0.957061+0.045190j)  (-0.006016+0.016857j)  (-0.031149-0.002207j)  (0.002630+0.031616j)  (-0.006792-0.051111j)  (-0.027581-0.094842j)  (0.012703+0.016349j)  (0.005553+0.002177j)  (-0.047473+0.057700j)  (0.033361-0.037401j)  (0.020730+0.101547j)  (0.025266-0.010487j)  (0.001886-0.064531j)  (-0.001061+0.044716j)  (0.042973-0.039576j)  (-0.004488+0.001271j)
 (0.002714-0.002383j)  (-0.030435+0.004637j)  (0.021915+0.008146j)  (0.025981-0.004751j)  (0.003249+0.010862j)  (0.011935-0.005329j)  (-0.001021+0.000305j)  (0.023345+0.010085j)  (0.006018+0.007931j)  (-0.003562+0.073022j)  (-0.022584-0.006764j)  (0.005697-0.075350j)  (-0.008495+0.027130j)  (-0.016822-0.020970j)  (0.058476+0.015150j)  (-0.008759-0.000690j)  (0.007664+0.019693j)  (-0.973964-0.013655j)  (-0.036903-0.072893j)  (0.011510+0.012945j)  (0.035885-0.101388j)  (-0.027984+0.011029j)  (0.024515+0.075757j)  (-0.001044-0.017785j)  (0.012758+0.029923j)  (-0.009521+0.002754j)  (-0.022841-0.027543j)  (-0.017306-0.009232j)  (0.012620-0.020132j)  (-0.005655-0.021802j)  (-0.000663+0.000915j)  (-0.024773-0.005283j)
 (-0.003864+0.000089j)  (0.010924+0.019923j)  (0.015870+0.078762j)  (-0.026100+0.078653j)  (0.028326+0.008864j)  (-0.007173+0.122950j)  (-0.044923+0.003789j)  (-0.028390-0.008826j)  (-0.012423-0.004537j)  (0.022041-0.014397j)  (0.002611+0.070385j)  (0.007915+0.000724j)  (0.009195-0.034974j)  (0.002925-0.007073j)  (0.015526+0.026861j)  (0.007705+0.041926j)  (0.026634+0.013494j)  (0.037129-0.071831j)  (-0.959475-0.031183j)  (0.013024+0.016835j)  (0.019494-0.016642j)  (-0.011731-0.005952j)  (0.012350-0.062260j)  (-0.038063+0.023066j)  (-0.019926+0.075018j)  (0.032242+0.006807j)  (-0.015679+0.006666j)  (-0.005456-0.016221j)  (-0.006991+0.008661j)  (-0.046761+0.000623j)  (-0.000691-0.004329j)  (-0.012218+0.103358j)
 (-0.000207-0.012906j)  (0.000359+0.015591j)  (0.018290+0.012577j)  (0.005028-0.014568j)  (0.024429+0.009812j)  (0.010114+0.006271j)  (-0.078935+0.007891j)  (0.040158+0.028709j)  (0.025969-0.016284j)  (0.034345+0.004735j)  (0.027153+0.023936j)  (-0.007377-0.017803j)  (-0.011912+0.022278j)  (-0.002637+0.012320j)  (0.012173-0.105711j)  (0.021340-0.007202j)  (0.010889+0.044508j)  (-0.007597-0.001736j)  (-0.011721+0.002482j)  (-0.974148-0.018113j)  (-0.037900-0.020941j)  (0.059827-0.047569j)  (-0.024058+0.034571j)  (0.015665+0.006695j)  (0.012623+0.002367j)  (0.033865-0.019894j)  (-0.050525-0.007255j)  (0.018216-0.015953j)  (0.011785-0.002790j)  (-0.013317+0.059228j)  (-0.042007-0.029558j)  (0.009870+0.000824j)
 (-0.001031-0.005016j)  (-0.018899+0.063625j)  (-0.004799-0.049596j)  (0.080684+0.035045j)  (-0.012909-0.002191j)  (-0.011293+0.015229j)  (-0.013116+0.003996j)  (-0.017248-0.016029j)  (-0.035339+0.016458j)  (0.004679+0.156687j)  (-0.007607+0.048962j)  (0.006444+0.019205j)  (-0.015462+0.007807j)  (-0.012520+0.021472j)  (0.002551+0.048817j)  (0.015786-0.005189j)  (-0.001450-0.042848j)  (-0.026858-0.106676j)  (-0.009138-0.024880j)  (0.031190-0.004457j)  (-0.953303+0.041449j)  (0.048643+0.044669j)  (0.025256-0.009398j)  (0.020514+0.002464j)  (0.031643-0.006903j)  (-0.017641+0.078458j)  (-0.017219+0.076574j)  (0.013976-0.001636j)  (-0.007308+0.042800j)  (-0.055032+0.003427j)  (-0.000943-0.028264j)  (-0.005967-0.015654j)
 (0.016102-0.013153j)  (0.000806+0.014351j)  (-0.016145+0.012393j)  (0.057105-0.075378j)  (0.004845+0.009258j)  (0.012774-0.006146j)  (-0.017361+0.005005j)  (0.003119+0.026993j)  (-0.053125-0.011940j)  (-0.014691-0.013839j)  (-0.018045+0.024460j)  (-0.007497+0.007853j)  (0.013530-0.045967j)  (0.002540-0.008257j)  (-0.023992-0.084751j)  (0.008643-0.009356j)  (0.032353-0.104353j)  (0.012997+0.005468j)  (-0.002597-0.025622j)  (-0.050765-0.065404j)  (-0.047275+0.043016j)  (-0.956104+0.024088j)  (-0.030063+0.000858j)  (0.040423+0.013222j)  (0.035096+0.030648j)  (-0.004171-0.108420j)  (0.019770+0.084995j)  (-0.000056-0.008193j)  (0.022964+0.051197j)  (0.021514+0.005465j)  (-0.016013+0.078445j)  (0.011264-0.030864j)
 (-0.032180-0.116169j)  (0.016190+0.079148j)  (0.000617-0.014344j)  (0.011348+0.027796j)  (0.040565+0.043551j)  (0.009076+0.008840j)  (-0.003890-0.052470j)  (0.005402-0.001894j)  (-0.025785-0.083497j)  (-0.003465+0.000521j)  (0.007536+0.038526j)  (-0.012325-0.029442j)  (-0.001576-0.020713j)  (0.006985-0.001621j)  (-0.006925+0.004855j)  (0.034759-0.096915j)  (0.004339+0.011273j)  (-0.021605+0.072906j)  (-0.016379-0.064821j)  (0.033172+0.040540j)  (-0.018080-0.012384j)  (0.035467+0.007026j)  (-0.949679-0.016184j)  (0.061992+0.104199j)  (0.009477-0.031551j)  (0.016065-0.006854j)  (0.052671-0.026499j)  (0.038830-0.070753j)  (-0.026503-0.016057j)  (-0.030144-0.030621j)  (-0.012986-0.009049j)  (0.004069-0.061079j)
 (0.016018-0.004432j)  (-0.005326+0.098721j)  (-0.004773-0.066460j)  (0.007543+0.021706j)  (-0.017283-0.049856j)  (0.011346+0.018985j)  (-0.012964-0.007647j)  (0.009474+0.057043j)  (-0.000246+0.033785j)  (-0.017897-0.025222j)  (-0.015515-0.061182j)  (0.002681+0.005021j)  (0.007782-0.028254j)  (0.018574+0.053854j)  (0.008917-0.016516j)  (-0.003388-0.006244j)  (0.010028+0.003741j)  (0.002300-0.013343j)  (0.018819+0.014744j)  (-0.013295-0.002828j)  (-0.017157+0.015623j)  (-0.018575+0.011016j)  (-0.065171+0.111641j)  (-0.961934-0.009576j)  (0.048629-0.039281j)  (-0.018219-0.079405j)  (-0.020016+0.074435j)  (-0.010654-0.001576j)  (0.004286+0.003444j)  (0.011290-0.078165j)  (0.005522-0.005212j)  (-0.017191-0.010715j)
 (0.008158+0.006193j)  (0.019687-0.016136j)  (-0.011662+0.005392j)  (-0.002677+0.113951j)  (-0.012801-0.020913j)  (-0.012614+0.007128j)  (-0.009017-0.013855j)  (-0.012135+0.064148j)  (-0.020786+0.072154j)  (0.022302+0.002823j)  (0.016269+0.072610j)  (0.024023+0.103286j)  (0.036204+0.089920j)  (0.032196+0.040553j)  (-0.016638+0.041920j)  (-0.018164+0.013218j)  (0.037434+0.056945j)  (-0.028801+0.031442j)  (0.021120+0.074661j)  (-0.018340+0.001937j)  (-0.032332-0.004267j)  (-0.048578+0.035174j)  (-0.026403-0.032513j)  (-0.037167-0.031751j)  (-0.954852-0.036969j)  (-0.027532-0.045507j)  (-0.017321-0.008309j)  (-0.004993+0.029075j)  (0.024669-0.007740j)  (-0.002209+0.004438j)  (0.008964+0.003172j)  (0.006708-0.059743j)
 (-0.002380-0.013548j)  (-0.005384+0.001126j)  (-0.014296+0.030197j)  (-0.008714+0.133427j)  (0.005602+0.006031j)  (0.000657+0.009632j)  (-0.016819+0.002722j)  (0.015536-0.028430j)  (-0.017058-0.109540j)  (-0.005372+0.005166j)  (0.004430+0.029366j)  (-0.003336+0.005276j)  (-0.019536+0.080872j)  (0.041348+0.059712j)  (0.017842+0.016769j)  (-0.031749-0.005144j)  (-0.042646-0.028607j)  (0.001143+0.011628j)  (-0.023618+0.015680j)  (-0.032409-0.030082j)  (0.021322+0.082938j)  (-0.004684-0.110748j)  (-0.009428-0.022409j)  (0.021767-0.076330j)  (0.044921-0.023253j)  (-0.952190-0.011670j)  (-0.013997-0.018574j)  (-0.016331-0.001994j)  (0.010152-0.001068j)  (-0.017835-0.089766j)  (-0.037017+0.004692j)  (-0.007161+0.006793j)
 (0.009234+0.003255j)  (0.032465-0.073129j)  (-0.037744-0.013030j)  (-0.019889-0.017971j)  (-0.016142+0.040747j)  (-0.000334+0.006923j)  (0.011326+0.004054j)  (-0.019802+0.006724j)  (-0.028349+0.000069j)  (-0.004406+0.020811j)  (0.030110-0.079883j)  (0.018549-0.007453j)  (-0.006481+0.006039j)  (-0.038734+0.014042j)  (0.001666-0.018996j)  (0.006603+0.008107j)  (-0.037288+0.094448j)  (0.011334-0.014760j)  (0.015410+0.000512j)  (0.044542+0.001831j)  (0.017762+0.077971j)  (-0.019732+0.087449j)  (-0.056616-0.024060j)  (0.023857+0.080483j)  (0.013270-0.007877j)  (0.001673-0.019607j)  (-0.963371+0.020454j)  (0.007630-0.004709j)  (0.032305+0.066267j)  (-0.001079-0.027439j)  (-0.006859-0.008894j)  (0.012381+0.060197j)
 (0.013879-0.005483j)  (0.007631+0.027423j)  (0.016932+0.003737j)  (0.010438-0.009478j)  (0.022746+0.085049j)  (0.012810+0.007384j)  (-0.037729+0.029923j)  (-0.023943+0.035799j)  (0.017520-0.009747j)  (0.033456+0.063210j)  (-0.006690+0.004923j)  (0.000652+0.001310j)  (-0.006504-0.013345j)  (0.003511+0.004219j)  (0.019859-0.095313j)  (0.008441+0.048604j)  (-0.030210-0.008645j)  (0.020720-0.014514j)  (0.019321-0.021515j)  (0.003040-0.002939j)  (-0.005711-0.012879j)  (0.010122+0.004249j)  (-0.032024-0.065582j)  (0.003668+0.005478j)  (-0.004806+0.029307j)  (0.017984-0.001629j)  (-0.000419-0.003839j)  (-0.975041-0.034770j)  (0.017032-0.029067j)  (-0.015827-0.018267j)  (-0.065236-0.035261j)  (0.003465-0.006022j)
 (0.065427-0.064117j)  (-0.009347-0.109585j)  (-0.027292-0.040193j)  (0.033062-0.003041j)  (-0.053096+0.071846j)  (0.014075+0.018228j)  (-0.027919+0.010459j)  (0.001134+0.021986j)  (-0.001792+0.064941j)  (-0.038300-0.016112j)  (-0.042332+0.042992j)  (-0.001442-0.027009j)  (-0.023401+0.074032j)  (0.014076+0.001032j)  (0.026945+0.080518j)  (-0.027271-0.005933j)  (-0.007792-0.073494j)  (-0.009810-0.008597j)  (0.003551+0.014012j)  (-0.029728+0.003696j)  (0.020674+0.046500j)  (-0.025345+0.046438j)  (0.007868+0.000421j)  (-0.000700-0.008388j)  (-0.013583-0.022248j)  (-0.000315+0.006943j)  (-0.019534+0.068389j)  (-0.019188-0.003131j)  (-0.947110-0.012789j)  (0.075279-0.053691j)  (-0.010204-0.115821j)  (-0.029748+0.055421j)
 (-0.016674+0.007327j)  (-0.023600+0.023994j)  (-0.011304+0.028479j)  (-0.070484-0.155432j)  (0.005820+0.029501j)  (-0.003253+0.004256j)  (0.008376+0.019951j)  (-0.002662+0.007623j)  (0.019806+0.002056j)  (-0.071908-0.065531j)  (0.002282+0.010022j)  (-0.018360-0.029229j)  (-0.040251+0.067526j)  (0.011854-0.086170j)  (-0.017652-0.027349j)  (-0.028710+0.004025j)  (-0.000673+0.019033j)  (0.003835-0.018137j)  (0.042501+0.013317j)  (0.014634+0.047426j)  (0.016275+0.011310j)  (-0.017936-0.011073j)  (0.016579-0.031273j)  (-0.021349-0.077990j)  (-0.014140+0.018867j)  (0.001767-0.088872j)  (-0.006942-0.017017j)  (0.015605-0.020989j)  (-0.074060-0.067362j)  (-0.951289+0.016289j)  (0.024040+0.014380j)  (0.020381+0.022327j)
 (-0.019379-0.009632j)  (-0.043244+0.002522j)  (-0.003194+0.012074j)  (-0.002966-0.015124j)  (-0.000314+0.000825j)  (-0.014617-0.049692j)  (-0.004833+0.004279j)  (-0.012354+0.012655j)  (0.004288+0.059051j)  (0.006228-0.003623j)  (0.005716-0.018254j)  (-0.002559-0.056346j)  (0.011964-0.005617j)  (0.022405+0.055140j)  (0.001156+0.097375j)  (-0.025204+0.003537j)  (-0.040803-0.043635j)  (0.010871+0.000138j)  (-0.001907-0.000366j)  (0.030657-0.018435j)  (0.001614-0.033207j)  (0.000719+0.072439j)  (0.012387-0.004258j)  (-0.011029-0.001398j)  (-0.009836-0.005683j)  (0.021998+0.002705j)  (-0.000496-0.020018j)  (0.062171-0.027370j)  (0.022280-0.127897j)  (-0.017015+0.032795j)  (-0.967813+0.013061j)  (0.013148+0.028132j)
