 (-0.000319+0.001887j)  (-0.001722+0.002022j)  (0.000301-0.001145j)  (0.000252+0.000106j)  (0.001320+0.001411j)  (0.000158+0.002510j)  (-0.000076-0.002128j)  (-0.000272-0.002514j)  (0.014076-0.000568j)  (-0.002382-0.003799j)  (0.006622+0.005522j)  (-0.002072+0.000693j)  (-0.001062+0.000387j)  (-0.003064+0.003000j)  (0.000626+0.001768j)  (0.000814-0.000963j)  (0.001452+0.000840j)  (0.001529-0.000847j)  (0.009424-0.044795j)  (-0.000715-0.001174j)  (0.001018-0.001020j)  (-0.994574-0.005448j)  (-0.001921+0.000592j)  (-0.001407+0.000951j)  (-0.002862+0.002000j)  (0.001395+0.000307j)  (0.002229+0.003368j)  (0.001673+0.000016j)  (0.022343-0.085791j)  (0.012593+0.016420j)  (-0.001050-0.001719j)  (-0.000632-0.000154j)
 (0.000334+0.001065j)  (0.003055+0.002893j)  (0.000276-0.000240j)  (-0.000199+0.001209j)  (-0.000282+0.000334j)  (-0.002503+0.003297j)  (0.004142+0.001506j)  (0.001702+0.000176j)  (0.001811-0.000959j)  (0.001168-0.001100j)  (-0.000296-0.000612j)  (-0.000892+0.001476j)  (-0.007158-0.000425j)  (0.003995+0.014880j)  (0.000178-0.001939j)  (0.001145-0.000950j)  (0.002558+0.002342j)  (0.002223+0.000498j)  (-0.003832-0.000411j)  (-0.001238-0.001046j)  (0.000709-0.000004j)  (0.001719+0.000148j)  (-0.995274-0.006190j)  (0.001369+0.000259j)  (-0.000755-0.002468j)  (0.000820+0.000816j)  (0.043815-0.083949j)  (-0.001710+0.000733j)  (0.000633+0.001352j)  (0.000660+0.001403j)  (-0.000146+0.000578j)  (-0.000561-0.001382j)
 (0.000258+0.000962j)  (-0.000914+0.002637j)  (-0.001291-0.000069j)  (0.000693-0.000251j)  (-0.000920-0.000636j)  (0.000341+0.001605j)  (-0.009335+0.001487j)  (0.001157-0.000317j)  (0.000035+0.000849j)  (-0.000648+0.001475j)  (0.001922+0.000333j)  (0.000028-0.000584j)  (-0.003642+0.002840j)  (0.002839+0.000999j)  (0.000192+0.004281j)  (0.048150+0.068514j)  (0.001828+0.000351j)  (-0.000025-0.000930j)  (-0.000894-0.000884j)  (0.000478+0.000636j)  (0.000666-0.000173j)  (0.001168+0.000742j)  (-0.001727+0.000236j)  (-0.986735+0.007559j)  (0.020553-0.001132j)  (0.001137-0.000808j)  (-0.003788+0.003419j)  (0.002725-0.001190j)  (-0.000925+0.001088j)  (0.000140+0.005193j)  (-0.036550+0.131471j)  (-0.000503+0.000921j)
 (-0.001307-0.000490j)  (-0.000456+0.001347j)  (0.001693+0.002693j)  (-0.001840+0.000037j)  (-0.001799-0.001001j)  (-0.002403+0.002228j)  (0.016905+0.112848j)  (0.000439-0.001053j)  (0.000782+0.000857j)  (-0.003420+0.000574j)  (0.004136+0.011424j)  (-0.000058-0.000321j)  (0.003390+0.001550j)  (-0.002466-0.000190j)  (-0.000097-0.000608j)  (0.000916+0.002085j)  (-0.004978-0.000276j)  (-0.002229+0.001341j)  (0.003255-0.001770j)  (0.003442+0.001789j)  (0.001182-0.001754j)  (0.002522+0.001630j)  (0.001809-0.000661j)  (-0.006715-0.010070j)  (-0.986164-0.005800j)  (-0.000277+0.002427j)  (0.016123-0.000884j)  (-0.017132+0.005753j)  (-0.002548+0.000540j)  (0.013895-0.006961j)  (0.026837+0.111430j)  (-0.001143+0.001068j)
 (0.000604+0.001085j)  (-0.000347-0.001150j)  (-0.000105-0.000860j)  (0.000052+0.001637j)  (-0.001088-0.000314j)  (0.000976-0.001389j)  (0.001540-0.002726j)  (-0.002393+0.001155j)  (-0.000869-0.000847j)  (-0.000721+0.000022j)  (-0.000844+0.000101j)  (0.000429+0.001680j)  (0.000904-0.000842j)  (-0.000481-0.000608j)  (0.001157+0.001098j)  (-0.000800-0.001267j)  (0.027101+0.026944j)  (-0.000595-0.001495j)  (-0.000741+0.001105j)  (-0.000778+0.000771j)  (0.000332+0.001929j)  (-0.001431+0.000403j)  (0.000009+0.001356j)  (-0.001522-0.000918j)  (-0.000091+0.001808j)  (-0.999183-0.002648j)  (0.008813-0.004236j)  (0.000052+0.000872j)  (0.002024+0.000686j)  (0.000395-0.001127j)  (0.001687-0.001092j)  (0.000351+0.000008j)
 (0.000444-0.001039j)  (0.001130+0.016437j)  (-0.004092+0.004483j)  (-0.000045+0.002659j)  (-0.002419+0.001637j)  (-0.003926-0.002683j)  (-0.004630+0.084588j)  (0.007268-0.001955j)  (0.000702+0.000236j)  (-0.002097+0.003839j)  (-0.003634-0.002761j)  (0.001667-0.000686j)  (-0.003603-0.009351j)  (-0.101796+0.165199j)  (0.008736-0.007900j)  (-0.001496-0.001598j)  (-0.003642+0.066006j)  (-0.002536-0.002699j)  (0.005937-0.004753j)  (-0.013862-0.013227j)  (0.000358+0.000820j)  (-0.001029+0.003376j)  (-0.041187-0.078489j)  (0.002918+0.002920j)  (-0.006066-0.000153j)  (-0.007340-0.002086j)  (-0.970074+0.016773j)  (-0.011405+0.008739j)  (0.000441-0.001087j)  (0.009892-0.005134j)  (0.003765-0.003535j)  (0.000629+0.001946j)
 (-0.000051+0.000789j)  (-0.001935-0.004131j)  (-0.001076-0.001258j)  (0.001466-0.002794j)  (0.003248+0.000366j)  (0.005440-0.003593j)  (0.074407-0.102152j)  (-0.000801-0.000954j)  (-0.000088+0.002209j)  (0.003597-0.001543j)  (0.003163+0.000693j)  (-0.001961+0.000608j)  (-0.001109-0.000648j)  (0.003666-0.000301j)  (-0.003683-0.000611j)  (0.000036-0.001156j)  (0.000687+0.011818j)  (0.003789-0.055325j)  (0.006447-0.001502j)  (0.018178+0.039793j)  (0.000312+0.001088j)  (-0.001119+0.000023j)  (0.001649+0.000280j)  (-0.002436-0.000046j)  (0.007547-0.003717j)  (0.000760+0.001221j)  (0.001890+0.002126j)  (-0.989187+0.003671j)  (-0.002305-0.003741j)  (0.001647-0.004591j)  (-0.004445+0.006416j)  (0.000581+0.000004j)
 (0.007593+0.038303j)  (0.001087+0.000438j)  (0.002171+0.003021j)  (0.000892+0.001555j)  (0.000274+0.002511j)  (0.003449+0.000034j)  (-0.001338+0.001765j)  (-0.040862+0.001778j)  (0.001786+0.001207j)  (-0.072171-0.090491j)  (-0.001666-0.000792j)  (-0.001154-0.005495j)  (0.007159-0.002350j)  (-0.004297+0.003590j)  (-0.033434+0.022018j)  (-0.001004+0.000201j)  (-0.000317+0.002956j)  (-0.003653+0.001815j)  (0.004904-0.000609j)  (0.001487+0.016338j)  (0.001076+0.000468j)  (-0.022452-0.084727j)  (-0.000797+0.001021j)  (0.000868+0.001038j)  (0.002775+0.000568j)  (-0.001743+0.001073j)  (-0.000668-0.000379j)  (0.002642-0.004189j)  (-0.986565+0.016014j)  (-0.002225-0.000892j)  (0.002319+0.000727j)  (0.003042-0.000605j)
 (0.008607-0.010231j)  (0.003387-0.004770j)  (-0.000270+0.000200j)  (0.000551-0.000264j)  (0.001000+0.000909j)  (-0.000697-0.000947j)  (0.033431+0.103479j)  (-0.003876+0.004895j)  (-0.001437+0.001389j)  (-0.000527-0.001430j)  (-0.002078-0.000471j)  (0.000554-0.001126j)  (-0.018166+0.016112j)  (0.004807+0.001016j)  (0.012812+0.058662j)  (-0.003922-0.002707j)  (-0.002835-0.002810j)  (-0.000559+0.000073j)  (-0.072396-0.099077j)  (-0.001818+0.002193j)  (-0.001775+0.001199j)  (-0.008514+0.012109j)  (0.000717+0.001330j)  (0.000377+0.002796j)  (-0.000460-0.010154j)  (-0.000727-0.000770j)  (-0.002223-0.009774j)  (-0.010107+0.005660j)  (0.001835-0.005432j)  (-0.983803+0.000556j)  (0.007944+0.006735j)  (-0.000234+0.000413j)
 (-0.003633-0.000536j)  (-0.000211+0.000339j)  (0.001424-0.001060j)  (0.002856-0.001102j)  (-0.000849-0.001544j)  (-0.002165-0.001839j)  (0.038484-0.012305j)  (0.000801+0.002013j)  (0.000761+0.002089j)  (0.000111-0.001404j)  (-0.003750-0.003050j)  (0.001728+0.002188j)  (0.002410+0.000627j)  (-0.002998-0.000748j)  (0.001834-0.004596j)  (0.005433-0.002869j)  (-0.006103-0.002306j)  (-0.000415+0.003010j)  (-0.000167+0.001676j)  (-0.001105-0.000562j)  (-0.004639+0.000566j)  (0.001005-0.001993j)  (0.000418-0.000115j)  (0.036788+0.132415j)  (-0.029623+0.105550j)  (-0.001794-0.001092j)  (-0.004502-0.006303j)  (0.007598+0.009800j)  (-0.002184+0.001630j)  (-0.009024+0.001320j)  (-0.983311+0.003467j)  (0.000119-0.000432j)
 (-0.001073+0.001531j)  (0.002021+0.001153j)  (-0.003147+0.002132j)  (-0.008868-0.010636j)  (-0.000626+0.000533j)  (-0.000724+0.001139j)  (0.000679+0.003210j)  (0.000894-0.001432j)  (0.001840+0.000454j)  (-0.002101+0.001060j)  (-0.001528-0.001547j)  (0.001044+0.000498j)  (-0.000163+0.001258j)  (-0.000017-0.001568j)  (0.000382-0.000356j)  (-0.000119+0.001124j)  (0.000098-0.001450j)  (-0.000288-0.001350j)  (-0.002432-0.002434j)  (-0.000515-0.001343j)  (-0.000067+0.001583j)  (0.000724-0.000577j)  (0.000368-0.001316j)  (0.000555+0.000961j)  (0.001480+0.001134j)  (-0.000440+0.000009j)  (-0.000529+0.002160j)  (-0.000888+0.000235j)  (-0.003074-0.000619j)  (0.000954+0.000321j)  (0.000069-0.000577j)  (-0.999843-0.004037j)
